Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
28/10/2017;0,18;0,21;Muy buena / Oso ona;6;21;42;Muy buena / Oso ona;30;17;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
27/10/2017;0,26;0,39;Muy buena / Oso ona;25;28;49;Muy buena / Oso ona;65;28;Buena / Ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
26/10/2017;0,36;;Sin datos / Daturik gabe;38;47;86;Buena / Ona;106;35;Buena / Ona;17;Buena / Ona;2;Muy buena / Oso ona;Buena / Ona
25/10/2017;;;Sin datos / Daturik gabe;85;59;121;Mejorable / Hobetzeko modukoa;188;36;Buena / Ona;17;Buena / Ona;2;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
24/10/2017;0,35;0,44;Muy buena / Oso ona;60;53;110;Mejorable / Hobetzeko modukoa;140;32;Buena / Ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
23/10/2017;0,24;0,32;Muy buena / Oso ona;19;40;59;Buena / Ona;69;23;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
22/10/2017;0,17;0,22;Muy buena / Oso ona;4;16;29;Muy buena / Oso ona;22;12;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
21/10/2017;0,17;0,19;Muy buena / Oso ona;5;15;24;Muy buena / Oso ona;23;12;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
20/10/2017;0,22;;Sin datos / Daturik gabe;11;25;59;Buena / Ona;43;14;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
19/10/2017;0,21;;Sin datos / Daturik gabe;11;29;70;Buena / Ona;45;11;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
18/10/2017;0,19;0,23;Muy buena / Oso ona;8;24;52;Buena / Ona;36;14;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
17/10/2017;;;Sin datos / Daturik gabe;5;19;;Sin datos / Daturik gabe;26;26;Buena / Ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
16/10/2017;;;Sin datos / Daturik gabe;4;19;60;Buena / Ona;25;30;Buena / Ona;15;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
15/10/2017;;;Sin datos / Daturik gabe;4;17;35;Muy buena / Oso ona;23;25;Muy buena / Oso ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
14/10/2017;;;Sin datos / Daturik gabe;14;32;82;Buena / Ona;53;34;Buena / Ona;19;Buena / Ona;1;Muy buena / Oso ona;Buena / Ona
13/10/2017;;;Sin datos / Daturik gabe;18;34;70;Buena / Ona;61;34;Buena / Ona;20;Buena / Ona;1;Muy buena / Oso ona;Buena / Ona
12/10/2017;0,29;;Sin datos / Daturik gabe;9;35;93;Buena / Ona;49;31;Buena / Ona;18;Buena / Ona;1;Muy buena / Oso ona;Buena / Ona
11/10/2017;0,29;;Sin datos / Daturik gabe;34;36;77;Buena / Ona;88;32;Buena / Ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
10/10/2017;0,31;;Sin datos / Daturik gabe;30;40;72;Buena / Ona;86;28;Buena / Ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
09/10/2017;0,24;;Sin datos / Daturik gabe;25;33;70;Buena / Ona;71;24;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
08/10/2017;0,21;;Sin datos / Daturik gabe;6;19;29;Muy buena / Oso ona;28;13;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
07/10/2017;;;Sin datos / Daturik gabe;8;25;42;Muy buena / Oso ona;37;17;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
06/10/2017;0,15;0,16;Muy buena / Oso ona;8;20;39;Muy buena / Oso ona;31;12;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
05/10/2017;0,22;;Sin datos / Daturik gabe;16;21;40;Muy buena / Oso ona;45;23;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
04/10/2017;;;Sin datos / Daturik gabe;16;26;55;Buena / Ona;49;19;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
03/10/2017;;;Sin datos / Daturik gabe;15;18;29;Muy buena / Oso ona;41;16;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
02/10/2017;0,22;0,27;Muy buena / Oso ona;20;25;42;Muy buena / Oso ona;56;16;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
01/10/2017;0,17;0,21;Muy buena / Oso ona;7;18;39;Muy buena / Oso ona;28;9;Muy buena / Oso ona;5;Muy buena / Oso ona;0;Muy buena / Oso ona;Muy buena / Oso ona
30/09/2017;0,19;0,23;Muy buena / Oso ona;6;17;25;Muy buena / Oso ona;25;17;Muy buena / Oso ona;8;Muy buena / Oso ona;0;Muy buena / Oso ona;Muy buena / Oso ona
29/09/2017;;;Sin datos / Daturik gabe;18;33;84;Buena / Ona;60;31;Buena / Ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
28/09/2017;;;Sin datos / Daturik gabe;21;38;81;Buena / Ona;71;30;Buena / Ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
27/09/2017;;;Sin datos / Daturik gabe;28;33;63;Buena / Ona;76;28;Buena / Ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
26/09/2017;0,27;0,35;Muy buena / Oso ona;6;24;51;Buena / Ona;32;13;Muy buena / Oso ona;7;Muy buena / Oso ona;0;Muy buena / Oso ona;Buena / Ona
25/09/2017;0,3;0,37;Muy buena / Oso ona;6;21;56;Buena / Ona;31;18;Muy buena / Oso ona;10;Muy buena / Oso ona;0;Muy buena / Oso ona;Buena / Ona
24/09/2017;0,31;0,39;Muy buena / Oso ona;6;20;40;Muy buena / Oso ona;28;26;Buena / Ona;15;Muy buena / Oso ona;0;Muy buena / Oso ona;Buena / Ona
23/09/2017;0,33;0,41;Muy buena / Oso ona;8;25;54;Buena / Ona;37;24;Muy buena / Oso ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
22/09/2017;0,33;0,4;Muy buena / Oso ona;9;25;41;Muy buena / Oso ona;38;16;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
21/09/2017;0,4;0,62;Muy buena / Oso ona;26;31;61;Buena / Ona;71;31;Buena / Ona;19;Buena / Ona;1;Muy buena / Oso ona;Buena / Ona
20/09/2017;0,33;0,41;Muy buena / Oso ona;15;34;72;Buena / Ona;57;20;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
19/09/2017;0,31;0,37;Muy buena / Oso ona;14;26;63;Buena / Ona;48;11;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
18/09/2017;0,33;0,4;Muy buena / Oso ona;8;23;40;Muy buena / Oso ona;36;11;Muy buena / Oso ona;6;Muy buena / Oso ona;0;Muy buena / Oso ona;Muy buena / Oso ona
17/09/2017;0,24;;Sin datos / Daturik gabe;5;13;22;Muy buena / Oso ona;21;6;Muy buena / Oso ona;4;Muy buena / Oso ona;0;Muy buena / Oso ona;Muy buena / Oso ona
16/09/2017;0,17;0,21;Muy buena / Oso ona;6;19;39;Muy buena / Oso ona;27;8;Muy buena / Oso ona;4;Muy buena / Oso ona;0;Muy buena / Oso ona;Muy buena / Oso ona
15/09/2017;0,21;0,27;Muy buena / Oso ona;15;25;59;Buena / Ona;48;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;0;Muy buena / Oso ona;Buena / Ona
14/09/2017;0,31;0,4;Muy buena / Oso ona;6;23;37;Muy buena / Oso ona;33;18;Muy buena / Oso ona;7;Muy buena / Oso ona;0;Muy buena / Oso ona;Muy buena / Oso ona
13/09/2017;0,37;0,44;Muy buena / Oso ona;20;22;43;Muy buena / Oso ona;52;19;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
12/09/2017;0,27;0,35;Muy buena / Oso ona;7;19;44;Muy buena / Oso ona;29;10;Muy buena / Oso ona;5;Muy buena / Oso ona;0;Muy buena / Oso ona;Muy buena / Oso ona
11/09/2017;0,26;0,32;Muy buena / Oso ona;10;21;48;Muy buena / Oso ona;36;15;Muy buena / Oso ona;6;Muy buena / Oso ona;0;Muy buena / Oso ona;Muy buena / Oso ona
10/09/2017;0,17;;Sin datos / Daturik gabe;3;9;20;Muy buena / Oso ona;14;11;Muy buena / Oso ona;4;Muy buena / Oso ona;0;Muy buena / Oso ona;Muy buena / Oso ona
09/09/2017;0,15;0,23;Muy buena / Oso ona;4;11;22;Muy buena / Oso ona;17;10;Muy buena / Oso ona;6;Muy buena / Oso ona;0;Muy buena / Oso ona;Muy buena / Oso ona
08/09/2017;0,21;0,24;Muy buena / Oso ona;12;25;43;Muy buena / Oso ona;42;25;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
07/09/2017;0,23;0,28;Muy buena / Oso ona;6;18;42;Muy buena / Oso ona;27;16;Muy buena / Oso ona;7;Muy buena / Oso ona;0;Muy buena / Oso ona;Muy buena / Oso ona
06/09/2017;0,28;;Sin datos / Daturik gabe;5;17;39;Muy buena / Oso ona;24;14;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
05/09/2017;0,36;;Sin datos / Daturik gabe;8;19;27;Muy buena / Oso ona;31;19;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
04/09/2017;0,32;0,38;Muy buena / Oso ona;7;17;38;Muy buena / Oso ona;28;13;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
03/09/2017;0,28;0,34;Muy buena / Oso ona;4;15;31;Muy buena / Oso ona;21;14;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
02/09/2017;0,27;0,35;Muy buena / Oso ona;3;11;23;Muy buena / Oso ona;15;13;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
01/09/2017;0,3;0,35;Muy buena / Oso ona;9;20;46;Muy buena / Oso ona;33;15;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
31/08/2017;0,31;0,36;Muy buena / Oso ona;4;15;32;Muy buena / Oso ona;21;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;Muy buena / Oso ona
30/08/2017;0,32;;Sin datos / Daturik gabe;4;15;40;Muy buena / Oso ona;21;18;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;Muy buena / Oso ona
29/08/2017;0,25;;Sin datos / Daturik gabe;5;19;40;Muy buena / Oso ona;27;16;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;Muy buena / Oso ona
28/08/2017;0,23;0,25;Muy buena / Oso ona;7;24;46;Muy buena / Oso ona;34;20;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;Muy buena / Oso ona
27/08/2017;0,25;0,27;Muy buena / Oso ona;3;14;31;Muy buena / Oso ona;18;25;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
26/08/2017;0,28;0,38;Muy buena / Oso ona;3;13;46;Muy buena / Oso ona;17;24;Muy buena / Oso ona;1;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
25/08/2017;0,33;0,42;Muy buena / Oso ona;5;14;33;Muy buena / Oso ona;22;20;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
24/08/2017;0,33;;Sin datos / Daturik gabe;3;11;20;Muy buena / Oso ona;16;18;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
23/08/2017;0,34;0,45;Muy buena / Oso ona;4;13;28;Muy buena / Oso ona;20;28;Buena / Ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
22/08/2017;0,36;0,42;Muy buena / Oso ona;5;24;68;Buena / Ona;31;27;Buena / Ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
21/08/2017;0,27;0,32;Muy buena / Oso ona;7;29;79;Buena / Ona;40;18;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;Buena / Ona
20/08/2017;0,21;0,24;Muy buena / Oso ona;2;10;20;Muy buena / Oso ona;12;12;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
19/08/2017;0,22;0,29;Muy buena / Oso ona;2;8;14;Muy buena / Oso ona;12;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;Muy buena / Oso ona
18/08/2017;0,3;0,37;Muy buena / Oso ona;4;12;20;Muy buena / Oso ona;17;12;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
17/08/2017;0,28;;Sin datos / Daturik gabe;6;16;37;Muy buena / Oso ona;25;13;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
16/08/2017;0,24;0,28;Muy buena / Oso ona;4;10;20;Muy buena / Oso ona;15;13;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
15/08/2017;0,31;0,4;Muy buena / Oso ona;2;8;10;Muy buena / Oso ona;11;18;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
14/08/2017;0,27;0,34;Muy buena / Oso ona;3;14;40;Muy buena / Oso ona;19;20;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
13/08/2017;0,22;0,27;Muy buena / Oso ona;2;9;16;Muy buena / Oso ona;12;15;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
12/08/2017;0,22;0,25;Muy buena / Oso ona;3;13;27;Muy buena / Oso ona;17;12;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
11/08/2017;0,16;;Sin datos / Daturik gabe;3;13;32;Muy buena / Oso ona;17;16;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
10/08/2017;0,13;0,14;Muy buena / Oso ona;4;11;22;Muy buena / Oso ona;17;13;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
09/08/2017;0,21;0,28;Muy buena / Oso ona;3;12;30;Muy buena / Oso ona;17;10;Muy buena / Oso ona;3;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
08/08/2017;0,24;0,29;Muy buena / Oso ona;3;9;16;Muy buena / Oso ona;14;10;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
07/08/2017;0,26;0,29;Muy buena / Oso ona;3;13;30;Muy buena / Oso ona;17;18;Muy buena / Oso ona;3;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
06/08/2017;0,2;0,25;Muy buena / Oso ona;2;6;10;Muy buena / Oso ona;9;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;Muy buena / Oso ona
05/08/2017;0,21;0,23;Muy buena / Oso ona;3;8;12;Muy buena / Oso ona;12;5;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;Muy buena / Oso ona
04/08/2017;0,22;0,28;Muy buena / Oso ona;4;11;27;Muy buena / Oso ona;17;11;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
03/08/2017;0,26;0,32;Muy buena / Oso ona;4;15;41;Muy buena / Oso ona;21;21;Muy buena / Oso ona;2;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
02/08/2017;0,26;0,3;Muy buena / Oso ona;3;13;24;Muy buena / Oso ona;18;21;Muy buena / Oso ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
01/08/2017;0,27;0,31;Muy buena / Oso ona;4;11;16;Muy buena / Oso ona;18;16;Muy buena / Oso ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
31/07/2017;0,29;0,32;Muy buena / Oso ona;6;12;21;Muy buena / Oso ona;20;16;Muy buena / Oso ona;2;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
30/07/2017;0,28;0,34;Muy buena / Oso ona;3;9;19;Muy buena / Oso ona;13;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;Muy buena / Oso ona
29/07/2017;0,26;0,33;Muy buena / Oso ona;4;17;31;Muy buena / Oso ona;23;16;Muy buena / Oso ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
28/07/2017;0,24;0,27;Muy buena / Oso ona;5;14;21;Muy buena / Oso ona;21;14;Muy buena / Oso ona;3;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
27/07/2017;0,22;0,31;Muy buena / Oso ona;9;16;35;Muy buena / Oso ona;31;17;Muy buena / Oso ona;10;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
26/07/2017;0,2;0,23;Muy buena / Oso ona;7;18;38;Muy buena / Oso ona;28;17;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
25/07/2017;0,19;0,24;Muy buena / Oso ona;3;9;16;Muy buena / Oso ona;13;10;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
24/07/2017;0,25;0,27;Muy buena / Oso ona;6;11;17;Muy buena / Oso ona;20;9;Muy buena / Oso ona;1;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
23/07/2017;0,21;0,27;Muy buena / Oso ona;2;7;11;Muy buena / Oso ona;11;14;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;Muy buena / Oso ona
