Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
14/04/2017;0,33;0,39;Muy buena / Oso ona;6;21;73;Buena / Ona;30;29;Buena / Ona;17;Buena / Ona;3;Muy buena / Oso ona;Buena / Ona
13/04/2017;0,36;0,5;Muy buena / Oso ona;7;27;76;Buena / Ona;37;24;Muy buena / Oso ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
12/04/2017;0,34;0,4;Muy buena / Oso ona;14;36;62;Buena / Ona;50;24;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
11/04/2017;0,34;0,43;Muy buena / Oso ona;5;25;44;Muy buena / Oso ona;29;29;Buena / Ona;20;Buena / Ona;;Sin datos / Daturik gabe;Buena / Ona
10/04/2017;0,37;0,48;Muy buena / Oso ona;16;38;59;Buena / Ona;55;25;Muy buena / Oso ona;18;Buena / Ona;;Sin datos / Daturik gabe;Buena / Ona
09/04/2017;0,31;0,42;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;31;14;Muy buena / Oso ona;9;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
08/04/2017;0,32;0,46;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;47;23;Muy buena / Oso ona;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
07/04/2017;0,36;0,44;Muy buena / Oso ona;9;42;57;Buena / Ona;47;32;Buena / Ona;15;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
06/04/2017;0,32;0,36;Muy buena / Oso ona;8;28;54;Buena / Ona;34;31;Buena / Ona;14;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
05/04/2017;0,29;0,33;Muy buena / Oso ona;7;31;;Sin datos / Daturik gabe;37;11;Muy buena / Oso ona;7;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
04/04/2017;0,34;0,42;Muy buena / Oso ona;8;32;49;Muy buena / Oso ona;37;19;Muy buena / Oso ona;12;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
03/04/2017;0,35;0,48;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;52;16;Muy buena / Oso ona;8;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
02/04/2017;0,23;0,24;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;24;8;Muy buena / Oso ona;4;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
01/04/2017;0,31;0,39;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;15;4;Muy buena / Oso ona;4;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
31/03/2017;0,31;0,34;Muy buena / Oso ona;4;28;74;Buena / Ona;34;13;Muy buena / Oso ona;9;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
30/03/2017;0,32;0,48;Muy buena / Oso ona;22;34;88;Buena / Ona;67;23;Muy buena / Oso ona;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
29/03/2017;;;Sin datos / Daturik gabe;16;35;69;Buena / Ona;60;17;Muy buena / Oso ona;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;Buena / Ona
28/03/2017;0,37;;Sin datos / Daturik gabe;13;30;66;Buena / Ona;50;;Sin datos / Daturik gabe;8;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
27/03/2017;0,23;0,29;Muy buena / Oso ona;2;15;32;Muy buena / Oso ona;19;9;Muy buena / Oso ona;6;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
26/03/2017;;;Sin datos / Daturik gabe;2;13;37;Muy buena / Oso ona;16;7;Muy buena / Oso ona;5;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
25/03/2017;0,29;0,38;Muy buena / Oso ona;2;17;45;Muy buena / Oso ona;20;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
24/03/2017;0,39;0,69;Muy buena / Oso ona;14;31;64;Buena / Ona;53;12;Muy buena / Oso ona;7;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
23/03/2017;0,27;0,42;Muy buena / Oso ona;3;17;45;Muy buena / Oso ona;21;6;Muy buena / Oso ona;3;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
22/03/2017;;;Sin datos / Daturik gabe;2;19;40;Muy buena / Oso ona;22;8;Muy buena / Oso ona;4;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
21/03/2017;;;Sin datos / Daturik gabe;6;28;49;Muy buena / Oso ona;37;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;Muy buena / Oso ona
20/03/2017;0,26;0,31;Muy buena / Oso ona;9;28;60;Buena / Ona;42;23;Muy buena / Oso ona;17;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
19/03/2017;0,23;0,3;Muy buena / Oso ona;12;31;67;Buena / Ona;48;19;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
18/03/2017;0,23;0,3;Muy buena / Oso ona;4;19;29;Muy buena / Oso ona;25;23;Muy buena / Oso ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
17/03/2017;0,27;0,33;Muy buena / Oso ona;16;43;74;Buena / Ona;68;31;Buena / Ona;17;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
16/03/2017;;;Sin datos / Daturik gabe;19;48;105;Mejorable / Hobetzeko modukoa;78;26;Buena / Ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
15/03/2017;;;Sin datos / Daturik gabe;7;32;72;Buena / Ona;42;32;Buena / Ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
14/03/2017;;;Sin datos / Daturik gabe;8;26;71;Buena / Ona;38;31;Buena / Ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
13/03/2017;0,2;0,24;Muy buena / Oso ona;21;48;82;Buena / Ona;81;9;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
12/03/2017;0,17;0,22;Muy buena / Oso ona;5;20;68;Buena / Ona;27;7;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
11/03/2017;0,26;0,54;Muy buena / Oso ona;11;30;60;Buena / Ona;47;28;Buena / Ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
10/03/2017;0,44;0,51;Muy buena / Oso ona;47;57;114;Mejorable / Hobetzeko modukoa;129;48;Buena / Ona;27;Buena / Ona;4;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
09/03/2017;0,34;0,41;Muy buena / Oso ona;22;47;77;Buena / Ona;81;39;Buena / Ona;24;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
08/03/2017;0,26;0,3;Muy buena / Oso ona;13;31;63;Buena / Ona;51;18;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
07/03/2017;0,22;0,28;Muy buena / Oso ona;9;30;77;Buena / Ona;43;21;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
06/03/2017;0,19;0,22;Muy buena / Oso ona;7;22;47;Muy buena / Oso ona;32;15;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
05/03/2017;0,21;0,25;Muy buena / Oso ona;1;13;34;Muy buena / Oso ona;15;6;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
04/03/2017;0,2;0,23;Muy buena / Oso ona;4;22;66;Buena / Ona;28;6;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
03/03/2017;0,24;0,36;Muy buena / Oso ona;13;32;89;Buena / Ona;52;21;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
02/03/2017;0,21;0,32;Muy buena / Oso ona;6;29;92;Buena / Ona;38;13;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
01/03/2017;0,25;0,39;Muy buena / Oso ona;11;28;72;Buena / Ona;45;12;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
28/02/2017;0,2;;Sin datos / Daturik gabe;4;22;58;Buena / Ona;28;8;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
27/02/2017;0,16;0,32;Muy buena / Oso ona;1;13;28;Muy buena / Oso ona;15;11;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
26/02/2017;0,31;0,58;Muy buena / Oso ona;11;37;63;Buena / Ona;53;23;Muy buena / Oso ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
25/02/2017;0,35;0,53;Muy buena / Oso ona;24;45;102;Mejorable / Hobetzeko modukoa;81;17;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
24/02/2017;0,22;0,25;Muy buena / Oso ona;12;37;63;Buena / Ona;54;17;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
23/02/2017;0,39;0,71;Muy buena / Oso ona;35;42;88;Buena / Ona;95;46;Buena / Ona;26;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
22/02/2017;0,44;0,71;Muy buena / Oso ona;48;57;109;Mejorable / Hobetzeko modukoa;130;31;Buena / Ona;17;Buena / Ona;4;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
21/02/2017;0,3;0,41;Muy buena / Oso ona;21;42;69;Buena / Ona;74;21;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
20/02/2017;0,23;0,26;Muy buena / Oso ona;6;26;56;Buena / Ona;35;20;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
19/02/2017;0,24;0,28;Muy buena / Oso ona;4;18;38;Muy buena / Oso ona;25;20;Muy buena / Oso ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
18/02/2017;0,35;0,47;Muy buena / Oso ona;38;42;82;Buena / Ona;99;26;Buena / Ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
17/02/2017;0,42;0,59;Muy buena / Oso ona;40;50;89;Buena / Ona;111;33;Buena / Ona;18;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
16/02/2017;0,42;0,52;Muy buena / Oso ona;46;51;85;Buena / Ona;121;36;Buena / Ona;19;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
15/02/2017;0,4;0,56;Muy buena / Oso ona;38;51;86;Buena / Ona;109;23;Muy buena / Oso ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
14/02/2017;0,3;0,38;Muy buena / Oso ona;19;40;82;Buena / Ona;69;14;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
13/02/2017;0,2;0,23;Muy buena / Oso ona;2;19;57;Buena / Ona;22;15;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
12/02/2017;0,2;0,33;Muy buena / Oso ona;1;10;32;Muy buena / Oso ona;12;25;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
11/02/2017;0,26;0,31;Muy buena / Oso ona;5;21;39;Muy buena / Oso ona;28;14;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
10/02/2017;0,24;0,43;Muy buena / Oso ona;6;28;62;Buena / Ona;38;17;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
09/02/2017;0,31;0,38;Muy buena / Oso ona;19;45;95;Buena / Ona;73;13;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
08/02/2017;0,21;0,28;Muy buena / Oso ona;7;30;60;Buena / Ona;40;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
07/02/2017;0,26;0,42;Muy buena / Oso ona;10;33;69;Buena / Ona;49;11;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
06/02/2017;0,34;0,45;Muy buena / Oso ona;26;45;75;Buena / Ona;84;13;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
05/02/2017;0,19;0,26;Muy buena / Oso ona;2;12;22;Muy buena / Oso ona;15;4;Muy buena / Oso ona;3;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
04/02/2017;0,21;0,25;Muy buena / Oso ona;2;15;42;Muy buena / Oso ona;18;5;Muy buena / Oso ona;3;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
03/02/2017;0,15;0,18;Muy buena / Oso ona;2;15;49;Muy buena / Oso ona;17;8;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
02/02/2017;0,16;0,2;Muy buena / Oso ona;3;18;39;Muy buena / Oso ona;23;5;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
01/02/2017;0,37;0,64;Muy buena / Oso ona;36;42;82;Buena / Ona;96;26;Buena / Ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
31/01/2017;0,44;0,58;Muy buena / Oso ona;65;51;87;Buena / Ona;150;26;Buena / Ona;17;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
30/01/2017;0,32;0,5;Muy buena / Oso ona;34;45;97;Buena / Ona;97;16;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
29/01/2017;0,28;0,4;Muy buena / Oso ona;12;37;82;Buena / Ona;55;11;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
28/01/2017;0,29;0,34;Muy buena / Oso ona;15;39;85;Buena / Ona;62;12;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
27/01/2017;0,27;0,32;Muy buena / Oso ona;5;30;52;Buena / Ona;37;15;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
26/01/2017;0,37;0,62;Muy buena / Oso ona;38;54;93;Buena / Ona;112;33;Buena / Ona;19;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
25/01/2017;0,48;0,52;Muy buena / Oso ona;36;54;97;Buena / Ona;109;29;Buena / Ona;18;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
24/01/2017;0,41;0,52;Muy buena / Oso ona;18;48;89;Buena / Ona;75;24;Muy buena / Oso ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
23/01/2017;0,39;0,5;Muy buena / Oso ona;20;49;88;Buena / Ona;80;20;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
22/01/2017;0,41;0,91;Muy buena / Oso ona;21;35;62;Buena / Ona;67;21;Muy buena / Oso ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
21/01/2017;0,62;0,92;Muy buena / Oso ona;66;60;92;Buena / Ona;161;34;Buena / Ona;21;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
20/01/2017;0,67;0,92;Muy buena / Oso ona;88;58;94;Buena / Ona;193;48;Buena / Ona;33;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
19/01/2017;0,33;0,41;Muy buena / Oso ona;18;34;63;Buena / Ona;63;23;Muy buena / Oso ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
18/01/2017;0,26;0,34;Muy buena / Oso ona;11;24;45;Muy buena / Oso ona;42;13;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
17/01/2017;0,26;0,3;Muy buena / Oso ona;12;24;46;Muy buena / Oso ona;42;6;Muy buena / Oso ona;3;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
16/01/2017;0,21;0,25;Muy buena / Oso ona;16;37;67;Buena / Ona;61;3;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;Buena / Ona
15/01/2017;0,2;;Sin datos / Daturik gabe;9;28;48;Muy buena / Oso ona;42;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;Muy buena / Oso ona
14/01/2017;0,26;0,35;Muy buena / Oso ona;5;28;54;Buena / Ona;35;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
13/01/2017;0,27;0,33;Muy buena / Oso ona;6;26;46;Muy buena / Oso ona;34;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
12/01/2017;0,3;0,49;Muy buena / Oso ona;30;35;54;Buena / Ona;82;12;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
11/01/2017;0,25;0,34;Muy buena / Oso ona;10;31;60;Buena / Ona;46;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
10/01/2017;0,39;0,54;Muy buena / Oso ona;24;51;82;Buena / Ona;88;11;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
09/01/2017;0,4;0,5;Muy buena / Oso ona;40;47;88;Buena / Ona;109;14;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
08/01/2017;0,34;0,66;Muy buena / Oso ona;17;34;56;Buena / Ona;59;13;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
07/01/2017;0,42;0,76;Muy buena / Oso ona;42;53;103;Mejorable / Hobetzeko modukoa;118;20;Muy buena / Oso ona;16;Muy buena / Oso ona;5;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
06/01/2017;0,4;;Sin datos / Daturik gabe;27;41;89;Buena / Ona;82;15;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
05/01/2017;0,4;;Sin datos / Daturik gabe;35;40;75;Buena / Ona;93;24;Muy buena / Oso ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
04/01/2017;0,55;1,07;Muy buena / Oso ona;72;50;88;Buena / Ona;160;41;Buena / Ona;26;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
03/01/2017;0,7;1,05;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;49;Buena / Ona;30;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
02/01/2017;0,35;0,46;Muy buena / Oso ona;25;35;57;Buena / Ona;73;16;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
01/01/2017;0,24;;Sin datos / Daturik gabe;6;18;41;Muy buena / Oso ona;27;12;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;Muy buena / Oso ona
