Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
03/06/2017;1;17;35;Muy buena / Oso ona;19;16;Muy buena / Oso ona;1;Muy buena / Oso ona;;;;61,7;;;Muy buena / Oso ona
02/06/2017;2;19;44;Muy buena / Oso ona;22;22;Muy buena / Oso ona;1;Muy buena / Oso ona;;;;76,1;;;Muy buena / Oso ona
01/06/2017;9;19;30;Muy buena / Oso ona;32;24;Muy buena / Oso ona;1;Muy buena / Oso ona;;;;317,4;;;Muy buena / Oso ona
31/05/2017;3;19;33;Muy buena / Oso ona;23;18;Muy buena / Oso ona;1;Muy buena / Oso ona;;;;295,9;;;Muy buena / Oso ona
30/05/2017;2;18;35;Muy buena / Oso ona;20;11;Muy buena / Oso ona;1;Muy buena / Oso ona;;;;81,1;;;Muy buena / Oso ona
29/05/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;Sin datos / Daturik gabe
28/05/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;Sin datos / Daturik gabe
27/05/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;Sin datos / Daturik gabe
26/05/2017;7;31;65;Buena / Ona;41;41;Buena / Ona;5;Muy buena / Oso ona;218;65;999,7;344,7;22,9;0,2;Buena / Ona
25/05/2017;8;24;55;Buena / Ona;36;31;Buena / Ona;2;Muy buena / Oso ona;123;59;1000,8;323,6;25,7;0,9;Buena / Ona
24/05/2017;3;22;73;Buena / Ona;26;26;Buena / Ona;2;Muy buena / Oso ona;116;66;1006,7;302,8;22,5;0,44;Buena / Ona
23/05/2017;2;17;46;Muy buena / Oso ona;19;25;Muy buena / Oso ona;2;Muy buena / Oso ona;326;70;1011,3;292,7;17,6;1,1;Muy buena / Oso ona
22/05/2017;6;19;71;Buena / Ona;28;36;Buena / Ona;3;Muy buena / Oso ona;359;72;1006,2;274,7;18;1,62;Buena / Ona
21/05/2017;5;18;38;Muy buena / Oso ona;26;18;Muy buena / Oso ona;4;Muy buena / Oso ona;149;57;1003,3;242,5;21;2,26;Muy buena / Oso ona
20/05/2017;4;20;43;Muy buena / Oso ona;25;18;Muy buena / Oso ona;3;Muy buena / Oso ona;106;71;1012,2;244,5;14,6;0,64;Muy buena / Oso ona
19/05/2017;7;21;50;Muy buena / Oso ona;32;21;Muy buena / Oso ona;4;Muy buena / Oso ona;17;71;1010,1;191,9;12,5;0,81;Muy buena / Oso ona
18/05/2017;2;18;42;Muy buena / Oso ona;20;12;Muy buena / Oso ona;2;Muy buena / Oso ona;336;84;1007;134,2;12,6;2,4;Muy buena / Oso ona
17/05/2017;9;34;66;Buena / Ona;47;28;Buena / Ona;2;Muy buena / Oso ona;17;80;1007,2;86,6;16,5;0,53;Buena / Ona
16/05/2017;10;39;59;Buena / Ona;55;31;Buena / Ona;5;Muy buena / Oso ona;331;62;1011,7;253,5;21,1;0,77;Buena / Ona
15/05/2017;11;33;58;Buena / Ona;50;25;Muy buena / Oso ona;4;Muy buena / Oso ona;230;60;1013,4;276,9;20,2;0,33;Buena / Ona
14/05/2017;2;17;43;Muy buena / Oso ona;19;12;Muy buena / Oso ona;3;Muy buena / Oso ona;160;57;1010,5;294,1;19,6;0,86;Muy buena / Oso ona
13/05/2017;2;16;36;Muy buena / Oso ona;18;12;Muy buena / Oso ona;2;Muy buena / Oso ona;96;69;1002,7;248,7;17,6;0,52;Muy buena / Oso ona
12/05/2017;1;16;43;Muy buena / Oso ona;17;12;Muy buena / Oso ona;2;Muy buena / Oso ona;211;60;992,1;131;18;1,96;Muy buena / Oso ona
11/05/2017;1;12;45;Muy buena / Oso ona;13;7;Muy buena / Oso ona;2;Muy buena / Oso ona;213;51;984,2;211,2;19,1;2,5;Muy buena / Oso ona
10/05/2017;6;33;70;Buena / Ona;41;28;Buena / Ona;2;Muy buena / Oso ona;216;70;987,8;261,3;18,3;0,49;Buena / Ona
09/05/2017;12;30;49;Muy buena / Oso ona;48;28;Buena / Ona;3;Muy buena / Oso ona;115;72;997,1;209,2;16,1;0,52;Buena / Ona
08/05/2017;10;22;46;Muy buena / Oso ona;37;15;Muy buena / Oso ona;4;Muy buena / Oso ona;115;63;1007,7;266,3;15,2;0,51;Muy buena / Oso ona
07/05/2017;4;17;48;Muy buena / Oso ona;23;11;Muy buena / Oso ona;4;Muy buena / Oso ona;85;60;1010,3;291,6;16,4;0,95;Muy buena / Oso ona
06/05/2017;1;13;33;Muy buena / Oso ona;15;12;Muy buena / Oso ona;2;Muy buena / Oso ona;82;61;1004,4;297,6;16;0,09;Muy buena / Oso ona
05/05/2017;4;24;57;Buena / Ona;30;29;Buena / Ona;3;Muy buena / Oso ona;137;72;994,2;158,3;17,6;1,5;Buena / Ona
04/05/2017;4;21;53;Buena / Ona;27;18;Muy buena / Oso ona;2;Muy buena / Oso ona;101;71;998,8;239,9;17,1;0,87;Buena / Ona
03/05/2017;10;24;45;Muy buena / Oso ona;39;27;Buena / Ona;3;Muy buena / Oso ona;344;75;1004,3;277,9;15,4;0,24;Buena / Ona
02/05/2017;19;29;64;Buena / Ona;58;24;Muy buena / Oso ona;2;Muy buena / Oso ona;11;80;1008,7;163,7;13,7;0,42;Buena / Ona
01/05/2017;2;18;36;Muy buena / Oso ona;21;15;Muy buena / Oso ona;3;Muy buena / Oso ona;98;68;1007,6;226,9;10,9;0,67;Muy buena / Oso ona
30/04/2017;1;17;35;Muy buena / Oso ona;16;13;Muy buena / Oso ona;2;Muy buena / Oso ona;193;69;995,7;72,4;11,8;1,18;Muy buena / Oso ona
29/04/2017;5;18;35;Muy buena / Oso ona;22;16;Muy buena / Oso ona;4;Muy buena / Oso ona;155;59;996,9;260,9;14,2;2,85;Muy buena / Oso ona
28/04/2017;16;31;56;Buena / Ona;48;21;Muy buena / Oso ona;4;Muy buena / Oso ona;81;69;1007;203,2;8,7;1,1;Buena / Ona
27/04/2017;9;29;54;Buena / Ona;42;18;Muy buena / Oso ona;2;Muy buena / Oso ona;41;74;1007,6;186,9;6,9;0,53;Buena / Ona
26/04/2017;3;28;58;Buena / Ona;27;12;Muy buena / Oso ona;1;Muy buena / Oso ona;344;84;1003,8;94,8;7,3;1,07;Buena / Ona
25/04/2017;9;42;63;Buena / Ona;50;25;Muy buena / Oso ona;2;Muy buena / Oso ona;358;89;998,5;53,1;11,6;0,55;Buena / Ona
24/04/2017;14;38;65;Buena / Ona;60;31;Buena / Ona;8;Muy buena / Oso ona;331;67;1001,9;267,5;14,9;0,98;Buena / Ona
23/04/2017;4;32;55;Buena / Ona;38;27;Buena / Ona;9;Muy buena / Oso ona;8;56;1005,8;277,9;16,1;0,45;Buena / Ona
22/04/2017;2;29;55;Buena / Ona;32;30;Buena / Ona;13;Muy buena / Oso ona;169;43;1008,5;279,2;17,8;0,51;Buena / Ona
21/04/2017;10;35;67;Buena / Ona;50;30;Buena / Ona;6;Muy buena / Oso ona;124;50;1011,7;277,3;14,8;1,53;Buena / Ona
20/04/2017;10;28;65;Buena / Ona;44;21;Muy buena / Oso ona;3;Muy buena / Oso ona;76;51;1013,4;278,8;11,6;1,16;Buena / Ona
19/04/2017;5;21;75;Buena / Ona;28;23;Muy buena / Oso ona;2;Muy buena / Oso ona;53;51;1012,5;272,2;12;1,33;Buena / Ona
18/04/2017;12;26;57;Buena / Ona;43;27;Buena / Ona;3;Muy buena / Oso ona;55;71;1010,5;167,8;12,9;0,74;Buena / Ona
17/04/2017;5;18;36;Muy buena / Oso ona;25;25;Muy buena / Oso ona;3;Muy buena / Oso ona;73;70;1009;256,6;14;0,83;Muy buena / Oso ona
16/04/2017;2;12;28;Muy buena / Oso ona;15;13;Muy buena / Oso ona;2;Muy buena / Oso ona;83;72;1012,5;221,8;13,9;0,85;Muy buena / Oso ona
15/04/2017;2;14;33;Muy buena / Oso ona;17;18;Muy buena / Oso ona;2;Muy buena / Oso ona;347;74;1012,1;168,6;14;1,06;Muy buena / Oso ona
14/04/2017;2;22;47;Muy buena / Oso ona;25;33;Buena / Ona;2;Muy buena / Oso ona;156;77;1009,1;61,9;13,2;0,09;Buena / Ona
13/04/2017;6;24;39;Muy buena / Oso ona;33;22;Muy buena / Oso ona;4;Muy buena / Oso ona;322;73;1006,8;249,2;13,6;0,66;Muy buena / Oso ona
12/04/2017;9;31;47;Muy buena / Oso ona;45;28;Buena / Ona;3;Muy buena / Oso ona;346;73;1009,2;243,1;14,1;0,54;Buena / Ona
11/04/2017;2;20;38;Muy buena / Oso ona;23;25;Muy buena / Oso ona;3;Muy buena / Oso ona;352;72;1013,7;192,9;14,2;1,02;Muy buena / Oso ona
10/04/2017;6;24;57;Buena / Ona;32;50;Buena / Ona;4;Muy buena / Oso ona;349;83;1013,6;130,6;13,3;1,1;Buena / Ona
09/04/2017;4;31;51;Buena / Ona;37;42;Buena / Ona;8;Muy buena / Oso ona;343;65;1008,7;244,4;16,1;0,63;Buena / Ona
08/04/2017;5;38;85;Buena / Ona;46;29;Buena / Ona;5;Muy buena / Oso ona;174;57;1005,5;243,6;17,9;1,04;Buena / Ona
07/04/2017;13;39;69;Buena / Ona;59;37;Buena / Ona;4;Muy buena / Oso ona;280;75;1008,7;235,8;13,2;0,24;Buena / Ona
06/04/2017;3;25;63;Buena / Ona;28;27;Buena / Ona;1;Muy buena / Oso ona;349;78;1013,3;138,7;12,9;1,51;Buena / Ona
05/04/2017;2;17;54;Buena / Ona;20;15;Muy buena / Oso ona;1;Muy buena / Oso ona;340;85;1015,1;81,2;11,7;2,07;Buena / Ona
04/04/2017;3;23;77;Buena / Ona;27;18;Muy buena / Oso ona;2;Muy buena / Oso ona;342;79;1015,7;139;12,4;1,88;Buena / Ona
03/04/2017;10;30;47;Muy buena / Oso ona;46;26;Buena / Ona;8;Muy buena / Oso ona;187;73;1012,9;227,6;12,5;0,21;Buena / Ona
02/04/2017;2;15;54;Buena / Ona;17;21;Muy buena / Oso ona;2;Muy buena / Oso ona;326;78;1012,4;161,9;10,8;1,79;Buena / Ona
01/04/2017;2;17;47;Muy buena / Oso ona;20;16;Muy buena / Oso ona;2;Muy buena / Oso ona;321;77;1008,6;130,4;11,6;2,38;Muy buena / Oso ona
31/03/2017;13;32;86;Buena / Ona;51;27;Buena / Ona;2;Muy buena / Oso ona;337;73;1005,8;145,3;15,1;0,25;Buena / Ona
30/03/2017;9;33;89;Buena / Ona;46;22;Muy buena / Oso ona;4;Muy buena / Oso ona;162;48;1007,1;170,6;19,8;2,18;Buena / Ona
29/03/2017;15;51;104;Mejorable / Hobetzeko modukoa;73;32;Buena / Ona;7;Muy buena / Oso ona;177;54;1011,5;216,8;17,5;1,89;Mejorable / Hobetzeko modukoa
28/03/2017;10;37;82;Buena / Ona;52;19;Muy buena / Oso ona;4;Muy buena / Oso ona;172;54;1012,3;209,1;16,1;1,25;Buena / Ona
27/03/2017;2;20;66;Buena / Ona;23;12;Muy buena / Oso ona;2;Muy buena / Oso ona;159;53;1003,9;171,1;15,5;2,44;Buena / Ona
26/03/2017;2;14;43;Muy buena / Oso ona;17;13;Muy buena / Oso ona;2;Muy buena / Oso ona;150;60;1000,7;149,9;13,2;3,04;Muy buena / Oso ona
25/03/2017;1;27;44;Muy buena / Oso ona;28;11;Muy buena / Oso ona;2;Muy buena / Oso ona;162;90;1000,3;23;7,4;1,09;Muy buena / Oso ona
24/03/2017;14;32;68;Buena / Ona;54;26;Buena / Ona;8;Muy buena / Oso ona;108;64;1003,1;171,4;8,6;0,89;Buena / Ona
23/03/2017;8;32;73;Buena / Ona;44;13;Muy buena / Oso ona;3;Muy buena / Oso ona;182;60;997;210,5;8;2,02;Buena / Ona
22/03/2017;3;29;55;Buena / Ona;33;13;Muy buena / Oso ona;2;Muy buena / Oso ona;206;82;998,4;53,3;7,5;0,28;Buena / Ona
21/03/2017;9;37;69;Buena / Ona;49;20;Muy buena / Oso ona;2;Muy buena / Oso ona;28;85;1006,2;43,9;9,7;0,4;Buena / Ona
20/03/2017;3;23;39;Muy buena / Oso ona;27;26;Buena / Ona;;Sin datos / Daturik gabe;51;75;1006,4;46,2;10,9;0,44;Buena / Ona
19/03/2017;5;16;29;Muy buena / Oso ona;23;19;Muy buena / Oso ona;;Sin datos / Daturik gabe;350;77;1009,6;167,3;10,4;0,56;Muy buena / Oso ona
18/03/2017;2;18;41;Muy buena / Oso ona;20;21;Muy buena / Oso ona;;Sin datos / Daturik gabe;75;72;1013,2;111;12,1;0,45;Muy buena / Oso ona
17/03/2017;5;23;56;Buena / Ona;30;33;Buena / Ona;;Sin datos / Daturik gabe;351;79;1012,3;110,4;12;0,91;Buena / Ona
16/03/2017;15;39;77;Buena / Ona;62;35;Buena / Ona;3;Muy buena / Oso ona;180;56;1008,1;163,9;16,6;2,54;Buena / Ona
15/03/2017;11;38;62;Buena / Ona;54;36;Buena / Ona;;Sin datos / Daturik gabe;230;79;1015,6;152,7;13,3;0,17;Buena / Ona
14/03/2017;5;24;56;Buena / Ona;30;26;Buena / Ona;;Sin datos / Daturik gabe;350;84;1020,9;103,3;12,2;1,39;Buena / Ona
13/03/2017;2;15;32;Muy buena / Oso ona;17;22;Muy buena / Oso ona;4;Muy buena / Oso ona;330;88;1016,9;20,7;9,9;3,75;Muy buena / Oso ona
12/03/2017;1;10;19;Muy buena / Oso ona;11;19;Muy buena / Oso ona;4;Muy buena / Oso ona;330;76;1009,3;59,9;11,4;3,66;Muy buena / Oso ona
11/03/2017;10;28;58;Buena / Ona;43;31;Buena / Ona;9;Muy buena / Oso ona;358;67;1005,6;136,8;14,8;1,31;Buena / Ona
10/03/2017;46;57;113;Mejorable / Hobetzeko modukoa;127;46;Buena / Ona;10;Muy buena / Oso ona;165;69;1008,5;162,1;16,2;1,25;Mejorable / Hobetzeko modukoa
09/03/2017;14;42;82;Buena / Ona;62;35;Buena / Ona;5;Muy buena / Oso ona;233;78;1014,1;142,8;14;0,37;Buena / Ona
08/03/2017;10;22;56;Buena / Ona;37;20;Muy buena / Oso ona;4;Muy buena / Oso ona;9;79;1016,1;147,1;14,3;0,48;Buena / Ona
07/03/2017;18;40;63;Buena / Ona;67;39;Buena / Ona;4;Muy buena / Oso ona;41;84;1015,1;39,8;11,9;0,48;Buena / Ona
06/03/2017;4;30;61;Buena / Ona;36;36;Buena / Ona;4;Muy buena / Oso ona;322;70;1010,4;52,9;14;1,55;Buena / Ona
05/03/2017;2;17;39;Muy buena / Oso ona;19;26;Buena / Ona;4;Muy buena / Oso ona;184;70;1001,9;88,6;12,8;1,16;Buena / Ona
04/03/2017;2;25;57;Buena / Ona;28;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;277;65;993,3;109,3;8,8;0,51;Buena / Ona
03/03/2017;3;23;42;Muy buena / Oso ona;27;17;Muy buena / Oso ona;5;Muy buena / Oso ona;188;67;989,8;86,3;12,9;0,61;Muy buena / Oso ona
02/03/2017;23;39;71;Buena / Ona;73;22;Muy buena / Oso ona;5;Muy buena / Oso ona;167;66;1003,8;116;14;1,41;Buena / Ona
01/03/2017;15;43;72;Buena / Ona;66;23;Muy buena / Oso ona;6;Muy buena / Oso ona;181;68;1005,1;127,5;11,4;1,53;Buena / Ona
28/02/2017;3;29;67;Buena / Ona;34;19;Muy buena / Oso ona;4;Muy buena / Oso ona;274;76;1000,2;37,4;10;1,48;Buena / Ona
27/02/2017;5;27;52;Buena / Ona;34;28;Buena / Ona;5;Muy buena / Oso ona;213;67;998,8;128;13,2;1,28;Buena / Ona
26/02/2017;10;29;55;Buena / Ona;44;33;Buena / Ona;7;Muy buena / Oso ona;136;74;1007,6;129,9;11,7;0,22;Buena / Ona
25/02/2017;14;40;82;Buena / Ona;62;32;Buena / Ona;8;Muy buena / Oso ona;169;73;1008,1;131;9,9;1,28;Buena / Ona
24/02/2017;4;31;74;Buena / Ona;38;20;Muy buena / Oso ona;4;Muy buena / Oso ona;5;83;1009,1;71,9;9,6;0,95;Buena / Ona
23/02/2017;19;39;68;Buena / Ona;67;54;Mejorable / Hobetzeko modukoa;5;Muy buena / Oso ona;9;83;1005;71,1;10,7;0,85;Mejorable / Hobetzeko modukoa
22/02/2017;21;46;84;Buena / Ona;78;40;Buena / Ona;5;Muy buena / Oso ona;169;81;1009,1;106,5;10,7;0,43;Buena / Ona
21/02/2017;18;37;63;Buena / Ona;65;26;Buena / Ona;4;Muy buena / Oso ona;137;80;1014,5;86,7;10,4;0,54;Buena / Ona
20/02/2017;19;42;70;Buena / Ona;71;40;Buena / Ona;4;Muy buena / Oso ona;75;76;1016,4;111,4;11,4;0,4;Buena / Ona
19/02/2017;3;22;66;Buena / Ona;26;20;Muy buena / Oso ona;3;Muy buena / Oso ona;342;84;1015,8;48;11,4;1,07;Buena / Ona
18/02/2017;14;26;46;Muy buena / Oso ona;47;29;Buena / Ona;5;Muy buena / Oso ona;9;80;1010,2;101;10,3;0,5;Buena / Ona
17/02/2017;28;51;81;Buena / Ona;94;41;Buena / Ona;8;Muy buena / Oso ona;171;72;1014,3;113,2;12;1,37;Buena / Ona
16/02/2017;23;44;85;Buena / Ona;78;39;Buena / Ona;5;Muy buena / Oso ona;178;65;1017,7;106,8;13,5;2,01;Buena / Ona
15/02/2017;8;31;77;Buena / Ona;42;18;Muy buena / Oso ona;4;Muy buena / Oso ona;150;57;1016,9;106,3;14,4;2,01;Buena / Ona
14/02/2017;11;34;65;Buena / Ona;51;18;Muy buena / Oso ona;5;Muy buena / Oso ona;161;60;1007,8;100,7;13;2,27;Buena / Ona
13/02/2017;5;21;64;Buena / Ona;28;21;Muy buena / Oso ona;3;Muy buena / Oso ona;158;65;993,3;77,2;13,7;5,09;Buena / Ona
12/02/2017;1;11;28;Muy buena / Oso ona;13;23;Muy buena / Oso ona;3;Muy buena / Oso ona;156;71;992;58,9;11,8;4,86;Muy buena / Oso ona
11/02/2017;23;39;60;Buena / Ona;74;33;Buena / Ona;5;Muy buena / Oso ona;106;83;1002,1;47,2;7,4;0,57;Buena / Ona
10/02/2017;21;45;85;Buena / Ona;77;50;Buena / Ona;11;Muy buena / Oso ona;163;55;999,3;84,3;10,3;2,17;Buena / Ona
09/02/2017;10;39;64;Buena / Ona;55;17;Muy buena / Oso ona;4;Muy buena / Oso ona;144;75;1005,7;90,1;8,3;2,28;Buena / Ona
08/02/2017;3;31;69;Buena / Ona;35;13;Muy buena / Oso ona;3;Muy buena / Oso ona;333;79;1015,9;54,7;7,8;2,31;Buena / Ona
07/02/2017;12;37;81;Buena / Ona;55;16;Muy buena / Oso ona;3;Muy buena / Oso ona;323;86;1011,2;44;10,2;1,16;Buena / Ona
06/02/2017;20;42;64;Buena / Ona;72;20;Muy buena / Oso ona;3;Muy buena / Oso ona;151;91;1011,6;38,3;9,4;1,71;Buena / Ona
05/02/2017;1;8;14;Muy buena / Oso ona;9;11;Muy buena / Oso ona;3;Muy buena / Oso ona;306;68;1001,9;47,8;9,4;4;Muy buena / Oso ona
04/02/2017;3;24;57;Buena / Ona;28;14;Muy buena / Oso ona;3;Muy buena / Oso ona;221;81;994,8;27,3;12;0,67;Buena / Ona
03/02/2017;1;9;29;Muy buena / Oso ona;11;11;Muy buena / Oso ona;4;Muy buena / Oso ona;226;44;994,2;79,8;15,2;3,89;Muy buena / Oso ona
02/02/2017;1;11;27;Muy buena / Oso ona;12;8;Muy buena / Oso ona;4;Muy buena / Oso ona;206;48;994,5;49;15,2;3,98;Muy buena / Oso ona
01/02/2017;7;28;73;Buena / Ona;38;18;Muy buena / Oso ona;6;Muy buena / Oso ona;184;52;1000,2;68,2;16,1;2,19;Buena / Ona
31/01/2017;5;26;58;Buena / Ona;34;22;Muy buena / Oso ona;6;Muy buena / Oso ona;181;54;1001,4;83;15,5;2,54;Buena / Ona
30/01/2017;8;29;52;Buena / Ona;41;12;Muy buena / Oso ona;4;Muy buena / Oso ona;151;65;1005,3;58,8;15,5;2,1;Buena / Ona
29/01/2017;2;23;45;Muy buena / Oso ona;26;9;Muy buena / Oso ona;4;Muy buena / Oso ona;158;64;1008;58,4;12,4;1,93;Muy buena / Oso ona
28/01/2017;8;34;76;Buena / Ona;47;20;Muy buena / Oso ona;4;Muy buena / Oso ona;156;75;1008;77,6;8,6;1,05;Buena / Ona
27/01/2017;4;22;56;Buena / Ona;27;16;Muy buena / Oso ona;4;Muy buena / Oso ona;149;61;996;44,2;10,8;3,14;Buena / Ona
26/01/2017;7;31;59;Buena / Ona;41;25;Muy buena / Oso ona;5;Muy buena / Oso ona;154;60;999,2;65,1;8,3;3,73;Buena / Ona
25/01/2017;37;43;86;Buena / Ona;99;33;Buena / Ona;5;Muy buena / Oso ona;141;76;1010,2;65,1;3,9;1,19;Buena / Ona
24/01/2017;50;49;86;Buena / Ona;124;35;Buena / Ona;5;Muy buena / Oso ona;84;80;1014,6;63,8;5,9;0,54;Buena / Ona
23/01/2017;41;45;74;Buena / Ona;108;29;Buena / Ona;4;Muy buena / Oso ona;3;81;1011,5;48,4;7,8;0,63;Buena / Ona
22/01/2017;13;32;62;Buena / Ona;51;32;Buena / Ona;3;Muy buena / Oso ona;30;83;1009,5;58,4;7,1;0,33;Buena / Ona
21/01/2017;28;40;64;Buena / Ona;82;34;Buena / Ona;3;Muy buena / Oso ona;144;81;1009,1;67,4;5;0,89;Buena / Ona
20/01/2017;48;44;75;Buena / Ona;117;40;Buena / Ona;4;Muy buena / Oso ona;165;80;1011,2;65,9;5,2;0,94;Buena / Ona
19/01/2017;17;34;58;Buena / Ona;60;26;Buena / Ona;3;Muy buena / Oso ona;130;77;1013,3;31,5;3,3;0,97;Buena / Ona
18/01/2017;11;33;57;Buena / Ona;50;18;Muy buena / Oso ona;3;Muy buena / Oso ona;53;73;1014,1;11,4;2,3;0,73;Buena / Ona
17/01/2017;4;16;61;Buena / Ona;22;7;Muy buena / Oso ona;3;Muy buena / Oso ona;11;62;1015,2;59,1;5,6;1,71;Buena / Ona
16/01/2017;1;14;29;Muy buena / Oso ona;14;9;Muy buena / Oso ona;3;Muy buena / Oso ona;330;94;1014,3;20,5;9,8;4,45;Muy buena / Oso ona
15/01/2017;1;14;25;Muy buena / Oso ona;14;10;Muy buena / Oso ona;3;Muy buena / Oso ona;335;84;1017,4;28,1;9;2,97;Muy buena / Oso ona
14/01/2017;2;30;68;Buena / Ona;34;10;Muy buena / Oso ona;3;Muy buena / Oso ona;353;88;1016,3;47,2;6,1;0,45;Buena / Ona
13/01/2017;3;26;64;Buena / Ona;30;16;Muy buena / Oso ona;3;Muy buena / Oso ona;329;81;1012;37,2;7,1;2,34;Buena / Ona
12/01/2017;24;37;56;Buena / Ona;74;23;Muy buena / Oso ona;3;Muy buena / Oso ona;254;89;1009,5;37,8;11;0,25;Buena / Ona
11/01/2017;4;27;62;Buena / Ona;33;10;Muy buena / Oso ona;2;Muy buena / Oso ona;330;98;1012,6;18,2;11,4;3,31;Buena / Ona
10/01/2017;6;26;52;Buena / Ona;34;20;Muy buena / Oso ona;3;Muy buena / Oso ona;336;96;1009;8,6;8,7;2,7;Buena / Ona
09/01/2017;41;44;78;Buena / Ona;106;27;Buena / Ona;4;Muy buena / Oso ona;146;76;1016,9;55,6;8,2;1,18;Buena / Ona
08/01/2017;15;34;58;Buena / Ona;56;24;Muy buena / Oso ona;4;Muy buena / Oso ona;136;72;1020,9;50,8;8,4;0,74;Buena / Ona
07/01/2017;33;43;78;Buena / Ona;92;40;Buena / Ona;5;Muy buena / Oso ona;154;75;1020,9;56,4;4,9;0,91;Buena / Ona
06/01/2017;22;34;56;Buena / Ona;66;31;Buena / Ona;4;Muy buena / Oso ona;144;80;1020,2;53,3;4;0,84;Buena / Ona
05/01/2017;26;39;79;Buena / Ona;78;34;Buena / Ona;5;Muy buena / Oso ona;142;77;1018,4;47,7;4,6;1,47;Buena / Ona
04/01/2017;76;40;62;Buena / Ona;155;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;147;87;1015,8;50,1;5,4;0,9;Buena / Ona
03/01/2017;56;42;68;Buena / Ona;127;37;Buena / Ona;4;Muy buena / Oso ona;170;80;1012,7;48;5,4;1,2;Buena / Ona
02/01/2017;9;27;51;Buena / Ona;41;15;Muy buena / Oso ona;3;Muy buena / Oso ona;155;65;1008,4;48,4;6,4;2,82;Buena / Ona
01/01/2017;6;24;38;Muy buena / Oso ona;33;23;Muy buena / Oso ona;3;Muy buena / Oso ona;139;71;1011,3;48,6;4,5;1,87;Muy buena / Oso ona
