Date;Benceno (µg/m3);CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
24/07/2017;;0,13;0,14;Muy buena / Oso ona;0,12;3;10;24;Muy buena / Oso ona;15;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;1;Muy buena / Oso ona;0,52;288;82;999,8;0,1;130,6;19,1;0,2;Muy buena / Oso ona
23/07/2017;;0,14;0,15;Muy buena / Oso ona;;1;6;14;Muy buena / Oso ona;8;12;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;0,55;39;64;998,6;0;245,7;20,9;0,9;Muy buena / Oso ona
22/07/2017;;0,14;0,19;Muy buena / Oso ona;0,27;4;9;20;Muy buena / Oso ona;15;18;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;0,83;40;68;994,4;0;223,4;19,8;0,75;Muy buena / Oso ona
21/07/2017;;0,14;0,17;Muy buena / Oso ona;0,34;3;14;29;Muy buena / Oso ona;19;12;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;1,12;28;75;991,9;0;92,9;18,3;0,51;Muy buena / Oso ona
20/07/2017;;0,16;0,17;Muy buena / Oso ona;0,47;3;16;24;Muy buena / Oso ona;20;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;2;Muy buena / Oso ona;1,28;40;82;995,1;0;66,7;18,2;0,42;Muy buena / Oso ona
19/07/2017;0,17;0,18;0,21;Muy buena / Oso ona;0,59;2;12;30;Muy buena / Oso ona;15;23;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;1,48;40;71;990,6;0;212,7;22,4;1,12;Muy buena / Oso ona
18/07/2017;0,23;0,24;0,38;Muy buena / Oso ona;0,28;1;18;34;Muy buena / Oso ona;20;37;Buena / Ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;1,4;230;50;988,4;0;257,8;28;1,34;Buena / Ona
17/07/2017;;0,21;;Sin datos / Daturik gabe;0,4;4;20;40;Muy buena / Oso ona;27;28;Buena / Ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;2,04;356;51;991,3;0;260;28,8;0,19;Buena / Ona
16/07/2017;0,2;0,19;0,25;Muy buena / Oso ona;0,22;1;10;19;Muy buena / Oso ona;12;18;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;0,94;39;68;997,6;0;309;23,2;0,82;Muy buena / Oso ona
15/07/2017;;0,14;0,15;Muy buena / Oso ona;0,17;1;8;19;Muy buena / Oso ona;9;12;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;0,74;43;67;1000,1;0;299,1;21;1,52;Muy buena / Oso ona
14/07/2017;;0,15;0,17;Muy buena / Oso ona;0,32;3;13;30;Muy buena / Oso ona;18;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;2;Muy buena / Oso ona;1,5;35;72;1000,9;0;85,1;19,7;0,66;Muy buena / Oso ona
13/07/2017;0,17;0,15;0,16;Muy buena / Oso ona;0,26;2;11;21;Muy buena / Oso ona;13;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;2;Muy buena / Oso ona;1,63;36;74;1000,2;0;73,5;20,1;0,98;Muy buena / Oso ona
12/07/2017;0,31;0,17;0,2;Muy buena / Oso ona;1,07;9;14;25;Muy buena / Oso ona;27;18;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;9,34;39;73;998,6;0;159,4;20,6;1;Muy buena / Oso ona
11/07/2017;0,25;0,17;0,21;Muy buena / Oso ona;0,38;5;12;23;Muy buena / Oso ona;19;12;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;2,13;40;68;994,4;0;307,2;21,7;0,82;Muy buena / Oso ona
10/07/2017;;0,15;0,19;Muy buena / Oso ona;0,34;4;15;34;Muy buena / Oso ona;21;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;2;Muy buena / Oso ona;1,96;34;82;994,7;0;63,1;18,9;0,44;Muy buena / Oso ona
09/07/2017;;0,17;0,21;Muy buena / Oso ona;;1;8;14;Muy buena / Oso ona;10;18;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;0,67;46;74;992,9;0,1;247,6;21,6;0,95;Muy buena / Oso ona
08/07/2017;;0,16;0,17;Muy buena / Oso ona;0,16;1;8;13;Muy buena / Oso ona;10;10;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;0,9;46;80;994,9;0;153,8;20,6;1,27;Muy buena / Oso ona
07/07/2017;0,34;0,2;0,25;Muy buena / Oso ona;1,27;6;20;43;Muy buena / Oso ona;29;26;Buena / Ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona;4,7;46;68;994,9;0;260,9;23,7;1,15;Buena / Ona
06/07/2017;0,32;0,22;0,33;Muy buena / Oso ona;0,72;4;23;36;Muy buena / Oso ona;28;26;Buena / Ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;3,17;15;57;993,6;0;203,7;25,5;0,08;Buena / Ona
05/07/2017;0,24;0,19;0,23;Muy buena / Oso ona;0,37;1;16;45;Muy buena / Oso ona;18;22;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;1,41;27;43;990,7;0;309,6;26,8;0,73;Muy buena / Oso ona
04/07/2017;;0,17;0,19;Muy buena / Oso ona;0,71;6;17;27;Muy buena / Oso ona;26;22;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;2,38;48;50;992,7;0;337,2;26,9;0,38;Muy buena / Oso ona
03/07/2017;0,82;0,16;0,2;Muy buena / Oso ona;1,65;8;14;24;Muy buena / Oso ona;26;18;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;2,57;43;71;1001,3;0;309,2;19,3;0,99;Muy buena / Oso ona
02/07/2017;;0,12;0,13;Muy buena / Oso ona;0,38;3;9;15;Muy buena / Oso ona;13;13;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;1,09;37;69;1005;0;201,1;17,2;0,79;Muy buena / Oso ona
01/07/2017;0,46;0,12;0,14;Muy buena / Oso ona;0,21;3;15;26;Muy buena / Oso ona;18;10;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;0,73;224;80;1003,2;0;77;14,5;0,61;Muy buena / Oso ona
30/06/2017;0,7;0,12;0,14;Muy buena / Oso ona;1,33;6;18;28;Muy buena / Oso ona;27;11;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;2,22;208;75;995,2;0;114,8;14,8;1,05;Muy buena / Oso ona
29/06/2017;;0,13;0,16;Muy buena / Oso ona;;6;16;33;Muy buena / Oso ona;26;12;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;;239;71;988,8;0;193,1;15,9;0,27;Muy buena / Oso ona
28/06/2017;;0,18;0,2;Muy buena / Oso ona;;5;18;35;Muy buena / Oso ona;25;11;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;;212;77;984,7;0,1;150,7;18,5;0,16;Muy buena / Oso ona
27/06/2017;;0,19;0,23;Muy buena / Oso ona;;5;15;26;Muy buena / Oso ona;22;11;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;;49;78;987,2;0;130,8;20,3;0,22;Muy buena / Oso ona
26/06/2017;;0,23;0,27;Muy buena / Oso ona;;5;17;33;Muy buena / Oso ona;25;15;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;;238;77;988,6;0;167,2;21,9;0,2;Muy buena / Oso ona
25/06/2017;;0,15;0,17;Muy buena / Oso ona;;1;9;22;Muy buena / Oso ona;11;12;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;;42;74;994,9;0;164,5;20,6;0,83;Muy buena / Oso ona
24/06/2017;;0,18;0,21;Muy buena / Oso ona;;1;7;14;Muy buena / Oso ona;8;22;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;;40;70;999,5;0;113,1;20,8;0,75;Muy buena / Oso ona
23/06/2017;;0,21;0,23;Muy buena / Oso ona;;1;8;13;Muy buena / Oso ona;9;23;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;;45;76;1001;0;86,5;20,3;1,25;Muy buena / Oso ona
22/06/2017;;0,25;0,3;Muy buena / Oso ona;;1;14;28;Muy buena / Oso ona;16;24;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;;43;79;996,1;0;199,5;22,3;1,31;Muy buena / Oso ona
21/06/2017;;0,37;0,51;Muy buena / Oso ona;;5;22;59;Buena / Ona;30;34;Buena / Ona;17;Buena / Ona;2;Muy buena / Oso ona;;37;54;992,7;0;300,8;28,5;0,57;Buena / Ona
20/06/2017;;0,24;0,29;Muy buena / Oso ona;;3;25;60;Buena / Ona;30;26;Buena / Ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;;340;49;993,8;0;240,4;28,1;0,23;Buena / Ona
19/06/2017;;0,21;0,33;Muy buena / Oso ona;;2;19;35;Muy buena / Oso ona;22;28;Buena / Ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;;232;40;992,1;0;311,1;30;1,42;Buena / Ona
18/06/2017;;0,26;0,33;Muy buena / Oso ona;;3;14;28;Muy buena / Oso ona;18;29;Buena / Ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;;44;65;992,2;0;326;24,7;0,91;Buena / Ona
17/06/2017;;0,18;0,21;Muy buena / Oso ona;;2;10;16;Muy buena / Oso ona;13;22;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;;53;68;998,1;0;328,9;22,1;1,03;Muy buena / Oso ona
16/06/2017;;0,19;0,22;Muy buena / Oso ona;;2;12;32;Muy buena / Oso ona;15;17;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;;45;77;1001,9;0;191,1;20;1,37;Muy buena / Oso ona
15/06/2017;;0,21;0,25;Muy buena / Oso ona;;1;10;19;Muy buena / Oso ona;12;8;Muy buena / Oso ona;2;Muy buena / Oso ona;2;Muy buena / Oso ona;;42;84;999,2;0;63,1;19;1,46;Muy buena / Oso ona
14/06/2017;;0,23;0,27;Muy buena / Oso ona;;1;12;18;Muy buena / Oso ona;14;29;Buena / Ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;;44;73;992,2;0;311,1;23,4;1,59;Buena / Ona
13/06/2017;;0,22;0,27;Muy buena / Oso ona;;2;13;25;Muy buena / Oso ona;16;30;Buena / Ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;;43;70;992;0;279,2;22,3;1,41;Buena / Ona
12/06/2017;;0,19;0,21;Muy buena / Oso ona;;3;13;21;Muy buena / Oso ona;17;15;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;;40;75;997;0;135,1;19,9;0,78;Muy buena / Oso ona
11/06/2017;;0,22;0,25;Muy buena / Oso ona;;2;10;22;Muy buena / Oso ona;12;21;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;;43;71;996,7;0;212,7;21,3;1,47;Muy buena / Oso ona
10/06/2017;;0,18;0,2;Muy buena / Oso ona;;2;11;22;Muy buena / Oso ona;13;21;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;;41;62;995,1;0;305,6;24,1;1,11;Muy buena / Oso ona
09/06/2017;;0,2;0,23;Muy buena / Oso ona;;3;18;30;Muy buena / Oso ona;23;23;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;;40;73;994,8;0;205,2;19,3;0,98;Muy buena / Oso ona
08/06/2017;;0,23;0,32;Muy buena / Oso ona;;9;20;37;Muy buena / Oso ona;33;25;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;;237;64;992;0;271,7;22,3;0,43;Muy buena / Oso ona
07/06/2017;;0,15;0,18;Muy buena / Oso ona;;6;14;24;Muy buena / Oso ona;23;18;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;;37;62;998,5;0;336,1;18,4;0,67;Muy buena / Oso ona
06/06/2017;;0,14;0,17;Muy buena / Oso ona;;2;15;32;Muy buena / Oso ona;19;11;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;0,12;254;70;996,7;0;51,8;15,7;0,1;Muy buena / Oso ona
05/06/2017;;0,15;0,16;Muy buena / Oso ona;;4;16;36;Muy buena / Oso ona;21;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;0,12;21;65;993,4;0;289,3;18,6;0,48;Muy buena / Oso ona
04/06/2017;;0,13;0,15;Muy buena / Oso ona;;3;14;36;Muy buena / Oso ona;18;8;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;0,11;234;86;998,3;0,1;33,5;13,8;0,3;Muy buena / Oso ona
03/06/2017;;0,16;0,19;Muy buena / Oso ona;;2;12;31;Muy buena / Oso ona;14;12;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;0,12;283;84;997,7;0,1;40,1;16,1;0,14;Muy buena / Oso ona
02/06/2017;;0,21;0,28;Muy buena / Oso ona;;2;16;36;Muy buena / Oso ona;20;19;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;0,13;43;81;995,7;0;178,6;19,4;1,07;Muy buena / Oso ona
01/06/2017;;0,2;0,22;Muy buena / Oso ona;;3;16;33;Muy buena / Oso ona;20;20;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;0,13;40;66;995,4;0;280,4;23,1;1,29;Muy buena / Oso ona
31/05/2017;;0,18;0,2;Muy buena / Oso ona;;2;12;28;Muy buena / Oso ona;15;12;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;;38;68;996,8;0;306,5;20,8;1,09;Muy buena / Oso ona
30/05/2017;;0,18;0,2;Muy buena / Oso ona;;2;13;33;Muy buena / Oso ona;16;8;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;;41;81;996,9;0;58,8;17,5;0,95;Muy buena / Oso ona
29/05/2017;;0,2;0,22;Muy buena / Oso ona;;2;18;46;Muy buena / Oso ona;21;16;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;;45;75;993,2;0,1;157,9;19,4;0,97;Muy buena / Oso ona
28/05/2017;;0,16;0,21;Muy buena / Oso ona;;1;12;50;Muy buena / Oso ona;13;17;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;;234;41;991,5;0;147,3;25,9;0,89;Muy buena / Oso ona
27/05/2017;;0,21;0,23;Muy buena / Oso ona;;1;12;22;Muy buena / Oso ona;14;26;Buena / Ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;;260;55;991,4;0;247,6;25,2;0,32;Buena / Ona
26/05/2017;0,25;0,2;0,22;Muy buena / Oso ona;0,4;4;20;57;Buena / Ona;26;26;Buena / Ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;;27;55;990,2;0;289;24,2;0,1;Buena / Ona
25/05/2017;0,39;0,32;0,53;Muy buena / Oso ona;1,16;8;23;47;Muy buena / Oso ona;36;30;Buena / Ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;4,01;40;51;990,8;0;321,2;26,5;0,26;Buena / Ona
24/05/2017;0,21;0,21;0,24;Muy buena / Oso ona;0,34;3;19;42;Muy buena / Oso ona;23;21;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;2,24;50;64;996,4;0;305,3;22,4;0,91;Muy buena / Oso ona
23/05/2017;;0,16;0,18;Muy buena / Oso ona;;2;14;36;Muy buena / Oso ona;17;21;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;1,89;41;66;1000,6;0;243,9;17,5;0,83;Muy buena / Oso ona
22/05/2017;;0,21;0,24;Muy buena / Oso ona;;6;19;72;Buena / Ona;28;24;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;;38;60;994,9;0;307,4;20,3;1,58;Buena / Ona
21/05/2017;;0,17;0,2;Muy buena / Oso ona;;8;13;23;Muy buena / Oso ona;25;19;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;;246;52;994,2;0;246,3;20,6;0,39;Muy buena / Oso ona
20/05/2017;;0,13;0,17;Muy buena / Oso ona;;4;13;30;Muy buena / Oso ona;19;12;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;;39;67;1001,7;0;240,7;14,1;0,6;Muy buena / Oso ona
19/05/2017;;0,13;0,16;Muy buena / Oso ona;;5;14;29;Muy buena / Oso ona;21;9;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;;4;65;999,5;0;192,4;13,1;0,21;Muy buena / Oso ona
18/05/2017;;0,14;0,19;Muy buena / Oso ona;;4;24;57;Buena / Ona;31;9;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;;250;83;996,2;0,1;71,3;13;0,02;Buena / Ona
17/05/2017;;0,22;0,28;Muy buena / Oso ona;;6;27;59;Buena / Ona;36;19;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;;32;69;996,1;0;96,4;18,7;0,73;Buena / Ona
16/05/2017;;0,24;0,28;Muy buena / Oso ona;;7;27;54;Buena / Ona;38;24;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;;40;56;1001;0;228,2;22,9;0,91;Buena / Ona
15/05/2017;;0,19;0,26;Muy buena / Oso ona;;9;21;42;Muy buena / Oso ona;35;14;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;;37;54;1003,2;0;267,4;21,3;0,58;Muy buena / Oso ona
14/05/2017;;0,15;0,17;Muy buena / Oso ona;;2;14;25;Muy buena / Oso ona;18;9;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;;260;56;1000,3;0;279,9;19,2;0,12;Muy buena / Oso ona
13/05/2017;;0,14;0,15;Muy buena / Oso ona;;2;14;27;Muy buena / Oso ona;18;9;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;;229;58;992,1;0;275,3;17,9;0,89;Muy buena / Oso ona
12/05/2017;;0,14;0,15;Muy buena / Oso ona;;3;19;38;Muy buena / Oso ona;24;4;Muy buena / Oso ona;2;Muy buena / Oso ona;2;Muy buena / Oso ona;;221;53;982,4;0;128,8;18,5;1,58;Muy buena / Oso ona
11/05/2017;;0,16;0,19;Muy buena / Oso ona;;3;19;32;Muy buena / Oso ona;24;7;Muy buena / Oso ona;2;Muy buena / Oso ona;2;Muy buena / Oso ona;;219;57;975,2;0;131,9;17,4;2,55;Muy buena / Oso ona
10/05/2017;0,15;0,18;0,23;Muy buena / Oso ona;0,34;2;19;36;Muy buena / Oso ona;23;14;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;;247;65;978,1;0,1;224,6;19;0,59;Muy buena / Oso ona
09/05/2017;0,32;0,23;0,25;Muy buena / Oso ona;0,71;6;29;47;Muy buena / Oso ona;38;23;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;3,01;28;72;986,8;0;184,3;16,1;0,66;Muy buena / Oso ona
08/05/2017;0,37;0,2;0,24;Muy buena / Oso ona;0,87;8;19;43;Muy buena / Oso ona;31;12;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;4,72;40;60;997,2;0;267,4;14,8;0,89;Muy buena / Oso ona
07/05/2017;0,3;0,15;0,18;Muy buena / Oso ona;0,26;3;13;33;Muy buena / Oso ona;17;9;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;;41;56;999,8;0;294,3;15,4;1,03;Muy buena / Oso ona
06/05/2017;0,26;0,14;0,15;Muy buena / Oso ona;0,36;3;12;31;Muy buena / Oso ona;16;8;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;3,46;42;60;994;0;263,7;15,7;0,62;Muy buena / Oso ona
05/05/2017;0,39;0,17;0,21;Muy buena / Oso ona;1,35;2;20;34;Muy buena / Oso ona;23;18;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;6,06;224;59;984,5;0;212;19,7;1,29;Muy buena / Oso ona
04/05/2017;0,48;0,22;0,25;Muy buena / Oso ona;0,7;7;24;48;Muy buena / Oso ona;35;15;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;6,28;39;68;988,4;0;233,7;17;1,03;Muy buena / Oso ona
03/05/2017;0,38;0,2;0,23;Muy buena / Oso ona;0,57;6;17;32;Muy buena / Oso ona;27;13;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;4,14;45;69;993,7;0;264,4;15,7;0,68;Muy buena / Oso ona
02/05/2017;0,62;0,3;0,5;Muy buena / Oso ona;0,82;10;23;43;Muy buena / Oso ona;39;12;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;5,18;268;75;998;0;117;14,1;0,22;Muy buena / Oso ona
01/05/2017;0,27;0,16;0,19;Muy buena / Oso ona;0,22;2;15;31;Muy buena / Oso ona;18;11;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;;116;66;997,1;0;246,6;11;0,14;Muy buena / Oso ona
30/04/2017;0,3;0,18;;Sin datos / Daturik gabe;0,21;1;13;;Sin datos / Daturik gabe;13;7;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;;218;72;986;0,1;76,6;11,6;1,93;Muy buena / Oso ona
29/04/2017;0,41;0,19;0,21;Muy buena / Oso ona;1,29;3;15;32;Muy buena / Oso ona;18;17;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;2,54;192;56;987,9;0;261,4;13,8;0,63;Muy buena / Oso ona
28/04/2017;0,4;0,18;0,21;Muy buena / Oso ona;1,77;6;20;40;Muy buena / Oso ona;29;11;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;3,9;45;61;996;0;264,1;9,3;0,92;Muy buena / Oso ona
27/04/2017;0,4;0,15;0,19;Muy buena / Oso ona;1,01;4;17;40;Muy buena / Oso ona;23;12;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;;22;59;996,2;0;211,9;8,4;0,59;Muy buena / Oso ona
26/04/2017;0,36;0,19;0,25;Muy buena / Oso ona;0,35;2;15;29;Muy buena / Oso ona;17;6;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;;17;70;992,1;0;123;9,1;0,56;Muy buena / Oso ona
25/04/2017;0,55;0,22;0,27;Muy buena / Oso ona;0,74;4;28;53;Buena / Ona;34;18;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;4,71;25;74;987,5;0;74,9;13,2;0,31;Buena / Ona
24/04/2017;0,54;0,25;0,31;Muy buena / Oso ona;0,96;8;28;55;Buena / Ona;41;23;Muy buena / Oso ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;5,85;44;56;991,1;0;275,1;16,8;0,96;Buena / Ona
23/04/2017;0,38;0,2;0,23;Muy buena / Oso ona;0,81;3;22;42;Muy buena / Oso ona;23;17;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;;40;50;995,3;0;281,1;16,3;0,87;Muy buena / Oso ona
22/04/2017;0,34;0,19;0,22;Muy buena / Oso ona;0,93;1;21;43;Muy buena / Oso ona;23;18;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;;26;35;998,4;0;282,8;18,1;0,64;Muy buena / Oso ona
21/04/2017;0,49;0,22;0,27;Muy buena / Oso ona;0,75;9;32;56;Buena / Ona;45;18;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;5,91;213;45;1001,9;0;279,6;14,5;0,45;Buena / Ona
20/04/2017;0,43;0,2;0,22;Muy buena / Oso ona;0,61;9;29;55;Buena / Ona;43;15;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;4,86;44;48;1002,4;0;281,4;11;0,67;Buena / Ona
19/04/2017;0,27;0,17;0,2;Muy buena / Oso ona;0,35;5;23;46;Muy buena / Oso ona;31;13;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;;41;51;1000,9;0;276,3;11,1;0,69;Muy buena / Oso ona
18/04/2017;0,29;0,21;0,24;Muy buena / Oso ona;0,51;5;25;49;Muy buena / Oso ona;32;15;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;3,74;34;67;999,3;0;154,8;13,5;0,64;Muy buena / Oso ona
17/04/2017;0,21;0,16;0,18;Muy buena / Oso ona;0,09;2;14;24;Muy buena / Oso ona;17;17;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;;43;68;998;0;265,2;14,3;1,15;Muy buena / Oso ona
16/04/2017;0,22;0,14;0,15;Muy buena / Oso ona;0,08;1;12;21;Muy buena / Oso ona;15;10;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;;42;67;1001,8;0;233,8;13,6;0,94;Muy buena / Oso ona
15/04/2017;0,23;0,16;0,18;Muy buena / Oso ona;0,13;2;14;30;Muy buena / Oso ona;17;15;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;;32;68;1001,3;0;86,7;14,1;0,64;Muy buena / Oso ona
