Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;10;25;56;Buena / Ona;41;33;49;Muy buena / Oso ona;13;Muy buena / Oso ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;306;88;1015,4;0;41,4;14,8;0,56;Buena / Ona
27/10/2017;32;33;75;Buena / Ona;82;24;44;Muy buena / Oso ona;30;Buena / Ona;26;Buena / Ona;3;Muy buena / Oso ona;299;90;1017;0;56,1;14,8;0,77;Buena / Ona
26/10/2017;22;45;81;Buena / Ona;78;25;46;Muy buena / Oso ona;27;Buena / Ona;21;Buena / Ona;4;Muy buena / Oso ona;233;62;1011,2;0;145,8;18,8;0,45;Buena / Ona
25/10/2017;46;46;82;Buena / Ona;116;15;31;Muy buena / Oso ona;34;Buena / Ona;23;Buena / Ona;3;Muy buena / Oso ona;132;68;1007;0;149,7;17,2;0,9;Buena / Ona
24/10/2017;;;;Sin datos / Daturik gabe;;13;24;Muy buena / Oso ona;26;Buena / Ona;18;Buena / Ona;2;Muy buena / Oso ona;135;69;1008,4;0;145,8;15,4;0,82;Buena / Ona
23/10/2017;;;;Sin datos / Daturik gabe;;19;41;Muy buena / Oso ona;18;Muy buena / Oso ona;15;Muy buena / Oso ona;1;Muy buena / Oso ona;146;79;1012,1;0;155,7;13,5;0,57;Muy buena / Oso ona
22/10/2017;;;;Sin datos / Daturik gabe;;35;52;Muy buena / Oso ona;7;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona;274;88;1014,1;0;62,6;13,3;0,26;Muy buena / Oso ona
21/10/2017;;;;Sin datos / Daturik gabe;;44;56;Muy buena / Oso ona;13;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;299;75;1009,3;0;66,2;16,4;1,2;Muy buena / Oso ona
20/10/2017;29;37;75;Buena / Ona;81;23;41;Muy buena / Oso ona;21;Muy buena / Oso ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;125;60;1001,2;0;134,2;19,9;0,35;Buena / Ona
19/10/2017;12;30;52;Buena / Ona;49;23;47;Muy buena / Oso ona;16;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona;146;75;996,9;0;148,6;16;1,15;Buena / Ona
18/10/2017;13;40;66;Buena / Ona;57;23;33;Muy buena / Oso ona;19;Muy buena / Oso ona;20;Buena / Ona;1;Muy buena / Oso ona;210;83;995,9;0,1;31;16,4;0,5;Buena / Ona
17/10/2017;8;29;88;Buena / Ona;41;35;61;Buena / Ona;30;Buena / Ona;18;Buena / Ona;1;Muy buena / Oso ona;159;65;1001,4;0;109,5;20,5;1,04;Buena / Ona
16/10/2017;12;31;86;Buena / Ona;42;45;65;Buena / Ona;28;Buena / Ona;19;Buena / Ona;1;Muy buena / Oso ona;198;64;1006,8;0;156,5;21,8;1,14;Buena / Ona
15/10/2017;7;26;59;Buena / Ona;29;45;65;Buena / Ona;21;Muy buena / Oso ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;160;54;1006,7;0;154,2;24;2,16;Buena / Ona
14/10/2017;4;23;50;Muy buena / Oso ona;27;49;79;Buena / Ona;31;Buena / Ona;27;Buena / Ona;1;Muy buena / Oso ona;163;66;1007,8;0;166;22,5;1,47;Buena / Ona
13/10/2017;17;24;51;Buena / Ona;51;39;72;Buena / Ona;30;Buena / Ona;29;Buena / Ona;1;Muy buena / Oso ona;286;80;1008,9;0;159;18,7;0,65;Buena / Ona
12/10/2017;11;20;43;Muy buena / Oso ona;36;20;52;Muy buena / Oso ona;21;Muy buena / Oso ona;22;Buena / Ona;1;Muy buena / Oso ona;164;81;1009,6;0;172,1;17;0,19;Buena / Ona
11/10/2017;14;32;58;Buena / Ona;53;26;59;Muy buena / Oso ona;28;Buena / Ona;22;Buena / Ona;2;Muy buena / Oso ona;212;74;1006,3;0;168,2;17,2;0,46;Buena / Ona
10/10/2017;19;26;50;Muy buena / Oso ona;55;15;42;Muy buena / Oso ona;22;Muy buena / Oso ona;20;Buena / Ona;2;Muy buena / Oso ona;167;82;1005,9;0;168,3;15,5;0,33;Buena / Ona
09/10/2017;23;26;53;Buena / Ona;61;20;51;Muy buena / Oso ona;17;Muy buena / Oso ona;15;Muy buena / Oso ona;1;Muy buena / Oso ona;208;78;1007,4;0;190;14,4;0,27;Buena / Ona
08/10/2017;8;18;47;Muy buena / Oso ona;28;24;59;Muy buena / Oso ona;9;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona;217;78;1008,1;0;192,2;13,7;0,31;Muy buena / Oso ona
07/10/2017;10;18;44;Muy buena / Oso ona;33;22;57;Muy buena / Oso ona;10;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;179;81;1009,8;0;186;13,4;0,42;Muy buena / Oso ona
06/10/2017;10;28;53;Buena / Ona;43;25;45;Muy buena / Oso ona;14;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;289;91;1011,1;0;77,1;16;1,39;Buena / Ona
05/10/2017;13;27;43;Muy buena / Oso ona;47;21;41;Muy buena / Oso ona;21;Muy buena / Oso ona;22;Buena / Ona;1;Muy buena / Oso ona;287;93;1009,4;0;66,3;18,9;1,33;Buena / Ona
04/10/2017;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
03/10/2017;14;17;26;Muy buena / Oso ona;39;6;17;Muy buena / Oso ona;13;Muy buena / Oso ona;16;Muy buena / Oso ona;0;Muy buena / Oso ona;258;91;1008,9;0;113,9;19,2;0,5;Muy buena / Oso ona
02/10/2017;17;30;53;Buena / Ona;57;6;12;Muy buena / Oso ona;17;Muy buena / Oso ona;22;Buena / Ona;1;Muy buena / Oso ona;306;97;1010,1;0;63,3;18,9;0,61;Buena / Ona
01/10/2017;10;20;31;Muy buena / Oso ona;35;5;11;Muy buena / Oso ona;9;Muy buena / Oso ona;17;Buena / Ona;1;Muy buena / Oso ona;176;99;1009;0;24,7;16,3;0,27;Buena / Ona
30/09/2017;5;19;27;Muy buena / Oso ona;27;27;46;Muy buena / Oso ona;9;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona;225;93;1007,6;0;43,5;16,9;0,44;Muy buena / Oso ona
29/09/2017;17;31;58;Buena / Ona;58;34;78;Buena / Ona;37;Buena / Ona;26;Buena / Ona;2;Muy buena / Oso ona;288;80;1006,6;0;180,6;19,4;1,04;Buena / Ona
28/09/2017;20;38;80;Buena / Ona;69;26;71;Buena / Ona;30;Buena / Ona;22;Buena / Ona;1;Muy buena / Oso ona;144;70;1005,9;0;200,2;21;0,87;Buena / Ona
27/09/2017;16;31;66;Buena / Ona;55;28;69;Buena / Ona;20;Muy buena / Oso ona;19;Buena / Ona;1;Muy buena / Oso ona;173;69;1004,5;0;214,8;19,3;0,51;Buena / Ona
26/09/2017;13;21;35;Muy buena / Oso ona;41;25;55;Muy buena / Oso ona;20;Muy buena / Oso ona;20;Buena / Ona;1;Muy buena / Oso ona;148;81;1006,7;0;184,1;18;0,6;Buena / Ona
25/09/2017;17;29;47;Muy buena / Oso ona;54;21;56;Muy buena / Oso ona;22;Muy buena / Oso ona;19;Buena / Ona;1;Muy buena / Oso ona;307;90;1007,5;0,1;97,9;17,4;1,07;Buena / Ona
24/09/2017;5;17;35;Muy buena / Oso ona;24;45;75;Buena / Ona;18;Muy buena / Oso ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona;292;76;1003,8;0;206,8;20,4;0,88;Buena / Ona
23/09/2017;9;22;56;Buena / Ona;35;32;73;Buena / Ona;16;Muy buena / Oso ona;15;Muy buena / Oso ona;1;Muy buena / Oso ona;129;72;1003,9;0;215,1;20,2;0,48;Buena / Ona
22/09/2017;10;28;41;Muy buena / Oso ona;43;20;40;Muy buena / Oso ona;17;Muy buena / Oso ona;17;Buena / Ona;1;Muy buena / Oso ona;303;94;1006,9;0;95,4;16,5;1,11;Buena / Ona
21/09/2017;21;30;67;Buena / Ona;62;28;65;Buena / Ona;25;Muy buena / Oso ona;22;Buena / Ona;2;Muy buena / Oso ona;287;78;1003,7;0;187,9;16,6;0,77;Buena / Ona
20/09/2017;13;26;61;Buena / Ona;46;21;54;Muy buena / Oso ona;16;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona;134;71;1005,1;0;227,5;16;0,74;Buena / Ona
19/09/2017;10;25;40;Muy buena / Oso ona;40;25;58;Muy buena / Oso ona;17;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;280;83;1010;0;165,4;15,3;0,44;Muy buena / Oso ona
18/09/2017;12;28;50;Muy buena / Oso ona;46;20;31;Muy buena / Oso ona;12;Muy buena / Oso ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona;256;94;1005,2;0,1;61,7;15,1;0,47;Muy buena / Oso ona
17/09/2017;5;14;32;Muy buena / Oso ona;21;31;64;Buena / Ona;6;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;296;77;1003,4;0;181,9;14,7;0,71;Buena / Ona
16/09/2017;5;18;34;Muy buena / Oso ona;25;29;57;Muy buena / Oso ona;7;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;288;85;1002,4;0;162,2;12,7;0,71;Muy buena / Oso ona
15/09/2017;17;26;37;Muy buena / Oso ona;51;17;34;Muy buena / Oso ona;14;Muy buena / Oso ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona;269;94;1003,6;0,2;115,3;12,2;0,45;Muy buena / Oso ona
14/09/2017;9;24;43;Muy buena / Oso ona;37;27;50;Muy buena / Oso ona;14;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;299;82;1007,2;0,1;120,9;15,9;1,19;Muy buena / Oso ona
13/09/2017;16;22;45;Muy buena / Oso ona;47;23;53;Muy buena / Oso ona;18;Muy buena / Oso ona;17;Buena / Ona;2;Muy buena / Oso ona;280;77;1006,1;0;230;19,5;0,69;Buena / Ona
12/09/2017;7;24;46;Muy buena / Oso ona;34;28;52;Muy buena / Oso ona;9;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona;280;84;1004,6;0;171,2;17,1;0,21;Muy buena / Oso ona
11/09/2017;6;24;47;Muy buena / Oso ona;32;29;41;Muy buena / Oso ona;14;Muy buena / Oso ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;300;88;1000,1;0,1;59,4;17,1;1,74;Muy buena / Oso ona
10/09/2017;4;18;29;Muy buena / Oso ona;24;37;59;Muy buena / Oso ona;8;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;307;83;999,6;0,2;129,1;16,1;1,08;Muy buena / Oso ona
09/09/2017;4;20;35;Muy buena / Oso ona;27;35;49;Muy buena / Oso ona;8;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;297;89;996;0,3;138,3;15,8;1,6;Muy buena / Oso ona
08/09/2017;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
07/09/2017;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
06/09/2017;7;23;41;Muy buena / Oso ona;34;25;40;Muy buena / Oso ona;14;Muy buena / Oso ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;285;89;1011,5;0;73,3;18,3;1,43;Muy buena / Oso ona
05/09/2017;12;19;44;Muy buena / Oso ona;37;26;53;Muy buena / Oso ona;16;Muy buena / Oso ona;17;Buena / Ona;2;Muy buena / Oso ona;303;80;1008,3;0;210;20,4;1,15;Buena / Ona
04/09/2017;12;21;29;Muy buena / Oso ona;39;18;39;Muy buena / Oso ona;12;Muy buena / Oso ona;15;Muy buena / Oso ona;1;Muy buena / Oso ona;289;83;1002,8;0;154,5;20,3;0,82;Muy buena / Oso ona
03/09/2017;3;14;24;Muy buena / Oso ona;19;31;66;Buena / Ona;6;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;248;73;1000,6;0;191,4;19,9;0,33;Buena / Ona
02/09/2017;4;15;24;Muy buena / Oso ona;20;38;69;Buena / Ona;10;Muy buena / Oso ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;126;75;1008,8;0;248,3;17,7;0,52;Buena / Ona
01/09/2017;9;20;33;Muy buena / Oso ona;33;29;63;Buena / Ona;12;Muy buena / Oso ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;302;80;1008,8;0;186,6;16,7;1,09;Buena / Ona
31/08/2017;8;22;44;Muy buena / Oso ona;35;31;55;Muy buena / Oso ona;9;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;277;85;1007,2;0;131,3;16,9;0,49;Muy buena / Oso ona
30/08/2017;9;20;33;Muy buena / Oso ona;34;34;57;Muy buena / Oso ona;17;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;295;86;1000,6;0,2;172;20,3;1,07;Muy buena / Oso ona
29/08/2017;8;26;42;Muy buena / Oso ona;37;37;67;Buena / Ona;14;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;262;81;999,2;0;219,6;21,6;0,58;Buena / Ona
28/08/2017;9;23;41;Muy buena / Oso ona;37;25;42;Muy buena / Oso ona;16;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;165;75;1000;0,1;67,2;22;1,09;Muy buena / Oso ona
27/08/2017;8;22;40;Muy buena / Oso ona;35;12;22;Muy buena / Oso ona;17;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;149;80;999,8;0,1;56,5;22,1;0,54;Muy buena / Oso ona
26/08/2017;3;14;32;Muy buena / Oso ona;19;37;62;Buena / Ona;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;278;79;999,3;0;191,7;23,3;0,6;Buena / Ona
25/08/2017;4;14;27;Muy buena / Oso ona;20;37;52;Muy buena / Oso ona;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;292;82;1001,1;0;233,3;22,1;1,22;Muy buena / Oso ona
24/08/2017;3;14;34;Muy buena / Oso ona;19;39;55;Muy buena / Oso ona;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;300;85;1001,6;0;211,9;21,7;1,63;Muy buena / Oso ona
23/08/2017;3;13;31;Muy buena / Oso ona;17;40;52;Muy buena / Oso ona;16;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;280;79;1003,2;0;188,6;21,8;0,68;Muy buena / Oso ona
22/08/2017;10;27;77;Buena / Ona;43;52;86;Buena / Ona;26;Buena / Ona;18;Buena / Ona;1;Muy buena / Oso ona;294;63;1001,2;0;265,2;24,9;1,53;Buena / Ona
21/08/2017;5;19;42;Muy buena / Oso ona;27;53;103;Mejorable / Hobetzeko modukoa;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;135;60;1002;0;296,2;23,9;1,22;Mejorable / Hobetzeko modukoa
20/08/2017;3;9;20;Muy buena / Oso ona;14;36;64;Buena / Ona;6;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;159;68;1009,8;0;295,9;19;0,61;Buena / Ona
19/08/2017;4;13;22;Muy buena / Oso ona;19;35;59;Muy buena / Oso ona;6;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;330;75;1008,8;0;229,5;20,1;0,55;Muy buena / Oso ona
18/08/2017;6;19;42;Muy buena / Oso ona;28;29;49;Muy buena / Oso ona;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;284;86;1006,2;0;111,6;20,3;0,75;Muy buena / Oso ona
17/08/2017;6;16;31;Muy buena / Oso ona;26;38;64;Buena / Ona;8;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;293;70;1005,6;0;295,1;21,6;0,87;Buena / Ona
16/08/2017;6;15;41;Muy buena / Oso ona;24;28;52;Muy buena / Oso ona;9;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;289;76;1007,1;0;272;21,6;0,84;Muy buena / Oso ona
15/08/2017;4;14;20;Muy buena / Oso ona;20;26;44;Muy buena / Oso ona;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;280;91;1004,9;0;74,4;20;1,06;Muy buena / Oso ona
14/08/2017;6;16;33;Muy buena / Oso ona;25;42;84;Buena / Ona;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;205;70;999,4;0;274,6;23,6;0,57;Buena / Ona
13/08/2017;7;14;29;Muy buena / Oso ona;24;32;60;Muy buena / Oso ona;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;287;76;1004,8;0;281;20;0,75;Muy buena / Oso ona
12/08/2017;4;12;28;Muy buena / Oso ona;18;36;64;Buena / Ona;6;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;284;71;1008,7;0;308;18,1;0,56;Buena / Ona
11/08/2017;10;17;33;Muy buena / Oso ona;32;33;64;Buena / Ona;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;303;72;1010,7;0;258,4;16,9;0,82;Buena / Ona
10/08/2017;9;26;49;Muy buena / Oso ona;40;30;48;Muy buena / Oso ona;9;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;297;88;1011,6;0,1;94,7;15,6;1,38;Muy buena / Oso ona
09/08/2017;7;21;37;Muy buena / Oso ona;32;36;63;Buena / Ona;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;302;78;1007,4;0;200,5;16,5;1,79;Buena / Ona
08/08/2017;8;22;42;Muy buena / Oso ona;35;36;55;Muy buena / Oso ona;8;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;295;82;1004,8;0;144;17;1,13;Muy buena / Oso ona
07/08/2017;7;18;30;Muy buena / Oso ona;28;42;65;Buena / Ona;18;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;293;77;1000,5;0;281,6;20,7;1,23;Buena / Ona
06/08/2017;4;11;20;Muy buena / Oso ona;17;43;60;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;327;72;1007,4;0;172,8;19,6;1,02;Muy buena / Oso ona
05/08/2017;5;15;25;Muy buena / Oso ona;22;26;37;Muy buena / Oso ona;5;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;284;94;1006,4;0;68;19,2;1,82;Muy buena / Oso ona
04/08/2017;6;16;29;Muy buena / Oso ona;25;31;49;Muy buena / Oso ona;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;308;68;1003;0;282,9;25,4;0,46;Muy buena / Oso ona
03/08/2017;12;18;41;Muy buena / Oso ona;36;37;68;Buena / Ona;27;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;302;74;1003,7;0;307;23,2;1,37;Buena / Ona
02/08/2017;11;19;32;Muy buena / Oso ona;36;37;68;Buena / Ona;19;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;297;75;1003,4;0;301,1;22;1,13;Buena / Ona
01/08/2017;12;22;39;Muy buena / Oso ona;41;22;41;Muy buena / Oso ona;17;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;199;84;1002;0;110,7;20;0,12;Muy buena / Oso ona
31/07/2017;6;19;26;Muy buena / Oso ona;27;21;33;Muy buena / Oso ona;12;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;286;92;998,8;0;61,2;18,9;1,04;Muy buena / Oso ona
30/07/2017;5;15;28;Muy buena / Oso ona;23;25;38;Muy buena / Oso ona;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;280;84;1000,5;0;107,5;20,1;1,08;Muy buena / Oso ona
29/07/2017;5;16;31;Muy buena / Oso ona;23;44;83;Buena / Ona;11;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;249;61;1000,5;0;318,5;23,5;0,19;Buena / Ona
28/07/2017;7;19;32;Muy buena / Oso ona;29;29;45;Muy buena / Oso ona;12;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;292;83;1003,2;0;235,3;21,6;1,4;Muy buena / Oso ona
27/07/2017;9;18;33;Muy buena / Oso ona;32;33;61;Buena / Ona;17;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;304;73;1001,5;0;306,4;21,7;1,06;Buena / Ona
26/07/2017;7;19;34;Muy buena / Oso ona;30;37;68;Buena / Ona;17;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;296;75;1002,9;0;310,2;19,7;0,52;Buena / Ona
25/07/2017;6;20;32;Muy buena / Oso ona;29;29;50;Muy buena / Oso ona;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;304;87;1006,8;0;92,7;17,5;1,25;Muy buena / Oso ona
24/07/2017;8;18;29;Muy buena / Oso ona;30;25;33;Muy buena / Oso ona;6;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;297;95;1007,7;0,1;142,9;18,2;2,39;Muy buena / Oso ona
