Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;SH2 (µg/m3);SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;16;27;52;Buena / Ona;51;15;Muy buena / Oso ona;7;5;Muy buena / Oso ona;339;87;1025,8;49,8;14,8;0,32;Buena / Ona
27/10/2017;20;28;44;Muy buena / Oso ona;58;25;Muy buena / Oso ona;3;5;Muy buena / Oso ona;259;86;1027,4;35,2;15,3;0,62;Muy buena / Oso ona
26/10/2017;32;41;73;Buena / Ona;89;28;Buena / Ona;12;4;Muy buena / Oso ona;260;72;1021,4;128,9;17,9;0,33;Buena / Ona
25/10/2017;22;41;62;Buena / Ona;75;29;Buena / Ona;4;5;Muy buena / Oso ona;217;74;1017,5;99,3;17,3;1,31;Buena / Ona
24/10/2017;32;38;71;Buena / Ona;84;20;Muy buena / Oso ona;6;7;Muy buena / Oso ona;201;72;1018,9;123,4;16,2;1,38;Buena / Ona
23/10/2017;17;32;62;Buena / Ona;56;15;Muy buena / Oso ona;7;7;Muy buena / Oso ona;207;82;1022,7;134,2;14,2;0,88;Buena / Ona
22/10/2017;4;13;33;Muy buena / Oso ona;19;9;Muy buena / Oso ona;2;5;Muy buena / Oso ona;229;86;1024,4;63,1;13,6;1,15;Muy buena / Oso ona
21/10/2017;4;12;31;Muy buena / Oso ona;19;17;Muy buena / Oso ona;3;5;Muy buena / Oso ona;263;77;1019,6;47,6;16,7;1,02;Muy buena / Oso ona
20/10/2017;22;34;56;Buena / Ona;67;19;Muy buena / Oso ona;4;6;Muy buena / Oso ona;213;70;1011,7;114,5;18,7;0,85;Buena / Ona
19/10/2017;12;34;55;Buena / Ona;53;14;Muy buena / Oso ona;3;5;Muy buena / Oso ona;224;82;1007,2;125;16,3;0,39;Buena / Ona
18/10/2017;14;35;58;Buena / Ona;57;22;Muy buena / Oso ona;4;5;Muy buena / Oso ona;258;90;1006;25,6;16,7;0,38;Buena / Ona
17/10/2017;5;21;35;Muy buena / Oso ona;28;33;Buena / Ona;4;4;Muy buena / Oso ona;207;61;1011,6;102,1;21,8;1,59;Buena / Ona
16/10/2017;9;18;41;Muy buena / Oso ona;32;32;Buena / Ona;14;5;Muy buena / Oso ona;195;63;1016,8;146,1;22,9;0,94;Buena / Ona
15/10/2017;5;12;57;Buena / Ona;19;30;Buena / Ona;3;4;Muy buena / Oso ona;208;52;1016,4;140,7;25,4;2,27;Buena / Ona
14/10/2017;12;27;56;Buena / Ona;46;36;Buena / Ona;10;4;Muy buena / Oso ona;153;72;1018,1;146,3;22,6;0,25;Buena / Ona
13/10/2017;30;30;70;Buena / Ona;76;38;Buena / Ona;46;4;Muy buena / Oso ona;352;79;1019,3;145,3;19,3;0,36;Buena / Ona
12/10/2017;10;25;46;Muy buena / Oso ona;40;29;Buena / Ona;4;4;Muy buena / Oso ona;220;83;1020,2;150,5;17,5;0,76;Buena / Ona
11/10/2017;13;34;54;Buena / Ona;54;30;Buena / Ona;3;5;Muy buena / Oso ona;232;73;1016,5;153,7;18,4;1,09;Buena / Ona
10/10/2017;17;29;48;Muy buena / Oso ona;56;20;Muy buena / Oso ona;3;5;Muy buena / Oso ona;222;85;1016,4;143,3;16,3;0,46;Muy buena / Oso ona
09/10/2017;18;31;51;Buena / Ona;58;14;Muy buena / Oso ona;5;5;Muy buena / Oso ona;219;81;1018;165,9;15;0,62;Buena / Ona
08/10/2017;7;23;51;Buena / Ona;33;14;Muy buena / Oso ona;3;5;Muy buena / Oso ona;214;80;1018,8;171,4;13,7;0,75;Buena / Ona
07/10/2017;9;25;50;Muy buena / Oso ona;39;14;Muy buena / Oso ona;4;5;Muy buena / Oso ona;219;81;1020,5;172,4;13,7;0,43;Muy buena / Oso ona
06/10/2017;7;23;42;Muy buena / Oso ona;32;12;Muy buena / Oso ona;2;4;Muy buena / Oso ona;331;86;1021,5;57,9;16,1;0,57;Muy buena / Oso ona
05/10/2017;18;22;42;Muy buena / Oso ona;49;15;Muy buena / Oso ona;3;5;Muy buena / Oso ona;296;91;1019,7;48,1;18,9;0,43;Muy buena / Oso ona
04/10/2017;29;21;46;Muy buena / Oso ona;66;17;Muy buena / Oso ona;8;4;Muy buena / Oso ona;313;91;1018,6;136,7;19,3;0,36;Muy buena / Oso ona
03/10/2017;32;19;28;Muy buena / Oso ona;67;12;Muy buena / Oso ona;4;5;Muy buena / Oso ona;345;94;1019,3;86,2;19;0,45;Muy buena / Oso ona
02/10/2017;21;31;56;Buena / Ona;62;9;Muy buena / Oso ona;3;4;Muy buena / Oso ona;248;97;1020,4;29;18,7;0,29;Buena / Ona
01/10/2017;13;24;35;Muy buena / Oso ona;43;13;Muy buena / Oso ona;3;4;Muy buena / Oso ona;210;95;1019,1;24;16,6;0,98;Muy buena / Oso ona
30/09/2017;9;27;41;Muy buena / Oso ona;37;12;Muy buena / Oso ona;4;2;Muy buena / Oso ona;29;89;1018;52;16,4;0,19;Muy buena / Oso ona
29/09/2017;29;32;61;Buena / Ona;75;31;Buena / Ona;22;3;Muy buena / Oso ona;329;81;1016,9;177,3;19,5;0,45;Buena / Ona
28/09/2017;28;36;63;Buena / Ona;79;27;Buena / Ona;20;3;Muy buena / Oso ona;202;71;1016,1;186,6;21,9;0,82;Buena / Ona
27/09/2017;18;34;59;Buena / Ona;61;20;Muy buena / Oso ona;4;3;Muy buena / Oso ona;224;75;1014,9;193,2;19,1;0,71;Buena / Ona
26/09/2017;16;28;45;Muy buena / Oso ona;52;11;Muy buena / Oso ona;6;3;Muy buena / Oso ona;354;83;1017,3;178,2;17,8;0,29;Muy buena / Oso ona
25/09/2017;11;18;47;Muy buena / Oso ona;34;12;Muy buena / Oso ona;11;4;Muy buena / Oso ona;307;85;1017,7;94,8;18,2;0,63;Muy buena / Oso ona
24/09/2017;10;25;58;Buena / Ona;40;23;Muy buena / Oso ona;13;3;Muy buena / Oso ona;287;83;1014,2;189,4;19,9;0,58;Buena / Ona
23/09/2017;18;24;76;Buena / Ona;51;20;Muy buena / Oso ona;32;2;Muy buena / Oso ona;206;74;1014;194,8;20,4;0,8;Buena / Ona
22/09/2017;19;33;58;Buena / Ona;62;15;Muy buena / Oso ona;11;4;Muy buena / Oso ona;107;87;1017,2;72,9;17;0,05;Buena / Ona
21/09/2017;15;31;48;Muy buena / Oso ona;48;20;Muy buena / Oso ona;2;4;Muy buena / Oso ona;236;76;1014;180,8;16,9;0,68;Muy buena / Oso ona
20/09/2017;18;32;51;Buena / Ona;60;13;Muy buena / Oso ona;5;3;Muy buena / Oso ona;195;75;1015,9;209,4;15,8;0,65;Buena / Ona
19/09/2017;17;28;48;Muy buena / Oso ona;55;10;Muy buena / Oso ona;5;3;Muy buena / Oso ona;275;82;1020,6;135,5;15,4;0,23;Muy buena / Oso ona
18/09/2017;13;24;36;Muy buena / Oso ona;43;9;Muy buena / Oso ona;4;2;Muy buena / Oso ona;308;87;1015,7;98,4;16;0,27;Muy buena / Oso ona
17/09/2017;5;18;34;Muy buena / Oso ona;26;12;Muy buena / Oso ona;2;2;Muy buena / Oso ona;242;75;1013,8;136;15,4;1;Muy buena / Oso ona
16/09/2017;5;19;43;Muy buena / Oso ona;27;8;Muy buena / Oso ona;3;3;Muy buena / Oso ona;243;76;1012,5;157,4;13,8;0,85;Muy buena / Oso ona
15/09/2017;9;19;35;Muy buena / Oso ona;31;11;Muy buena / Oso ona;2;2;Muy buena / Oso ona;246;83;1013,6;115,9;14,2;1,12;Muy buena / Oso ona
14/09/2017;6;23;41;Muy buena / Oso ona;32;15;Muy buena / Oso ona;2;1;Muy buena / Oso ona;296;78;1017,5;125,6;16,8;0,75;Muy buena / Oso ona
13/09/2017;12;19;29;Muy buena / Oso ona;36;14;Muy buena / Oso ona;3;1;Muy buena / Oso ona;254;78;1016,5;219,4;19,9;0,49;Muy buena / Oso ona
12/09/2017;7;25;53;Buena / Ona;32;13;Muy buena / Oso ona;2;1;Muy buena / Oso ona;241;81;1014,9;139,5;17,5;0,85;Buena / Ona
11/09/2017;4;12;26;Muy buena / Oso ona;17;14;Muy buena / Oso ona;2;1;Muy buena / Oso ona;267;86;1010,4;89,9;17,5;0,95;Muy buena / Oso ona
10/09/2017;;;;Sin datos / Daturik gabe;13;15;Muy buena / Oso ona;2;1;Muy buena / Oso ona;286;79;1009,6;107,5;17,1;1,14;Muy buena / Oso ona
09/09/2017;;;;Sin datos / Daturik gabe;14;10;Muy buena / Oso ona;2;1;Muy buena / Oso ona;250;88;1006;106,4;16;1,34;Muy buena / Oso ona
08/09/2017;11;24;40;Muy buena / Oso ona;38;16;Muy buena / Oso ona;3;2;Muy buena / Oso ona;226;75;1010,8;212;17,7;0,47;Muy buena / Oso ona
07/09/2017;11;22;42;Muy buena / Oso ona;37;16;Muy buena / Oso ona;5;1;Muy buena / Oso ona;319;74;1017,9;129,5;18,4;0,18;Muy buena / Oso ona
06/09/2017;10;22;40;Muy buena / Oso ona;37;14;Muy buena / Oso ona;6;2;Muy buena / Oso ona;342;82;1021,6;99,8;19,3;0,67;Muy buena / Oso ona
05/09/2017;13;21;29;Muy buena / Oso ona;40;12;Muy buena / Oso ona;3;2;Muy buena / Oso ona;325;81;1018,7;160,9;20,5;0,29;Muy buena / Oso ona
04/09/2017;12;19;31;Muy buena / Oso ona;38;12;Muy buena / Oso ona;5;3;Muy buena / Oso ona;264;83;1013,2;151,5;20,3;0,51;Muy buena / Oso ona
03/09/2017;6;19;40;Muy buena / Oso ona;27;13;Muy buena / Oso ona;8;3;Muy buena / Oso ona;214;70;1011,1;169,3;19,5;0,47;Muy buena / Oso ona
02/09/2017;4;20;30;Muy buena / Oso ona;26;11;Muy buena / Oso ona;5;2;Muy buena / Oso ona;248;80;1019,3;125,1;17,3;0,51;Muy buena / Oso ona
01/09/2017;9;22;39;Muy buena / Oso ona;32;13;Muy buena / Oso ona;2;3;Muy buena / Oso ona;258;83;1018,9;151,7;16,8;0,73;Muy buena / Oso ona
31/08/2017;5;22;40;Muy buena / Oso ona;29;10;Muy buena / Oso ona;2;2;Muy buena / Oso ona;304;83;1017,4;140,4;17,7;0,48;Muy buena / Oso ona
30/08/2017;8;19;36;Muy buena / Oso ona;30;15;Muy buena / Oso ona;3;2;Muy buena / Oso ona;329;89;1010,7;152,7;20,3;0,69;Muy buena / Oso ona
29/08/2017;10;23;35;Muy buena / Oso ona;38;14;Muy buena / Oso ona;4;2;Muy buena / Oso ona;309;86;1009,5;201,7;21,5;0,43;Muy buena / Oso ona
28/08/2017;15;27;58;Buena / Ona;50;27;Buena / Ona;10;6;Muy buena / Oso ona;214;76;1009,9;139,3;23,3;0,5;Buena / Ona
27/08/2017;13;26;48;Muy buena / Oso ona;46;26;Buena / Ona;16;5;Muy buena / Oso ona;193;82;1009,9;82,5;22,8;0,25;Buena / Ona
26/08/2017;7;21;41;Muy buena / Oso ona;31;13;Muy buena / Oso ona;2;4;Muy buena / Oso ona;345;86;1009,9;151,2;22,1;0,72;Muy buena / Oso ona
25/08/2017;8;15;33;Muy buena / Oso ona;26;15;Muy buena / Oso ona;4;4;Muy buena / Oso ona;352;87;1011,7;109,3;21,2;0,75;Muy buena / Oso ona
24/08/2017;6;14;30;Muy buena / Oso ona;22;21;Muy buena / Oso ona;3;4;Muy buena / Oso ona;339;82;1012;160,3;22,2;0,76;Muy buena / Oso ona
23/08/2017;7;19;36;Muy buena / Oso ona;30;27;Buena / Ona;3;4;Muy buena / Oso ona;2;80;1013,7;130,7;21,6;0,81;Buena / Ona
22/08/2017;13;26;77;Buena / Ona;46;35;Buena / Ona;8;5;Muy buena / Oso ona;324;68;1011,5;236,9;24,8;0,87;Buena / Ona
21/08/2017;8;29;55;Buena / Ona;41;19;Muy buena / Oso ona;7;4;Muy buena / Oso ona;166;66;1012,8;278,7;23,5;0,42;Buena / Ona
20/08/2017;4;13;25;Muy buena / Oso ona;20;16;Muy buena / Oso ona;11;3;Muy buena / Oso ona;10;70;1020,5;278,3;19,6;0,8;Muy buena / Oso ona
19/08/2017;5;15;27;Muy buena / Oso ona;22;13;Muy buena / Oso ona;13;3;Muy buena / Oso ona;25;75;1019,4;265,7;20,3;1,09;Muy buena / Oso ona
18/08/2017;5;19;30;Muy buena / Oso ona;27;13;Muy buena / Oso ona;3;4;Muy buena / Oso ona;230;86;1016,6;76;20,3;0,5;Muy buena / Oso ona
17/08/2017;6;18;31;Muy buena / Oso ona;27;12;Muy buena / Oso ona;4;4;Muy buena / Oso ona;306;74;1016,1;280,9;21,2;0,31;Muy buena / Oso ona
16/08/2017;5;18;26;Muy buena / Oso ona;25;9;Muy buena / Oso ona;6;4;Muy buena / Oso ona;293;86;1017,7;123,4;20,4;0,19;Muy buena / Oso ona
15/08/2017;2;9;20;Muy buena / Oso ona;13;12;Muy buena / Oso ona;2;4;Muy buena / Oso ona;340;86;1015,3;72,4;20,9;0,86;Muy buena / Oso ona
14/08/2017;9;21;56;Buena / Ona;34;24;Muy buena / Oso ona;4;5;Muy buena / Oso ona;208;68;1009,5;270,4;25,1;0,52;Buena / Ona
13/08/2017;4;14;36;Muy buena / Oso ona;20;13;Muy buena / Oso ona;20;4;Muy buena / Oso ona;1;77;1015,4;283;20,3;0,69;Muy buena / Oso ona
12/08/2017;4;14;26;Muy buena / Oso ona;21;14;Muy buena / Oso ona;16;4;Muy buena / Oso ona;324;76;1019,4;291,7;18,3;0,28;Muy buena / Oso ona
11/08/2017;6;15;31;Muy buena / Oso ona;24;16;Muy buena / Oso ona;2;4;Muy buena / Oso ona;269;74;1021,1;246,9;17,4;0,84;Muy buena / Oso ona
10/08/2017;2;12;43;Muy buena / Oso ona;15;13;Muy buena / Oso ona;2;4;Muy buena / Oso ona;265;85;1021,4;85,9;16,6;1,13;Muy buena / Oso ona
09/08/2017;2;9;29;Muy buena / Oso ona;12;11;Muy buena / Oso ona;2;3;Muy buena / Oso ona;280;78;1017,5;148,3;16,9;1,03;Muy buena / Oso ona
08/08/2017;2;12;38;Muy buena / Oso ona;15;11;Muy buena / Oso ona;2;3;Muy buena / Oso ona;270;80;1014,9;140,6;17,8;0,75;Muy buena / Oso ona
07/08/2017;4;16;38;Muy buena / Oso ona;22;21;Muy buena / Oso ona;2;3;Muy buena / Oso ona;280;79;1010,8;143,7;20,4;0,68;Muy buena / Oso ona
06/08/2017;3;12;27;Muy buena / Oso ona;17;15;Muy buena / Oso ona;8;3;Muy buena / Oso ona;8;68;1017,7;231,6;20,4;1,13;Muy buena / Oso ona
05/08/2017;6;14;24;Muy buena / Oso ona;22;9;Muy buena / Oso ona;6;3;Muy buena / Oso ona;5;85;1016,6;69,2;20,2;1,42;Muy buena / Oso ona
04/08/2017;8;16;27;Muy buena / Oso ona;28;13;Muy buena / Oso ona;13;4;Muy buena / Oso ona;20;71;1013,6;298,1;25,1;0,71;Muy buena / Oso ona
03/08/2017;9;19;32;Muy buena / Oso ona;32;18;Muy buena / Oso ona;10;4;Muy buena / Oso ona;1;77;1014,3;254,6;23,1;1,12;Muy buena / Oso ona
02/08/2017;9;17;29;Muy buena / Oso ona;31;15;Muy buena / Oso ona;4;4;Muy buena / Oso ona;348;76;1014,1;255,7;21,9;0,67;Muy buena / Oso ona
01/08/2017;8;23;41;Muy buena / Oso ona;35;15;Muy buena / Oso ona;3;4;Muy buena / Oso ona;5;79;1012,4;146,3;20,7;0,4;Muy buena / Oso ona
31/07/2017;5;11;23;Muy buena / Oso ona;18;16;Muy buena / Oso ona;6;3;Muy buena / Oso ona;356;78;1009;107,6;20,7;0,73;Muy buena / Oso ona
30/07/2017;4;14;23;Muy buena / Oso ona;20;15;Muy buena / Oso ona;3;3;Muy buena / Oso ona;309;80;1010,8;93,4;20,6;0,33;Muy buena / Oso ona
29/07/2017;9;22;79;Buena / Ona;36;17;Muy buena / Oso ona;8;4;Muy buena / Oso ona;340;71;1011;296,4;23,3;0,36;Buena / Ona
28/07/2017;7;18;32;Muy buena / Oso ona;29;11;Muy buena / Oso ona;2;3;Muy buena / Oso ona;1;84;1013,9;156,4;21,4;0,92;Muy buena / Oso ona
27/07/2017;10;20;42;Muy buena / Oso ona;34;19;Muy buena / Oso ona;3;4;Muy buena / Oso ona;335;74;1012;305,7;21,8;0,5;Muy buena / Oso ona
26/07/2017;9;24;33;Muy buena / Oso ona;38;16;Muy buena / Oso ona;4;4;Muy buena / Oso ona;298;77;1013,6;269,9;19,8;0,43;Muy buena / Oso ona
25/07/2017;1;8;27;Muy buena / Oso ona;10;13;Muy buena / Oso ona;2;4;Muy buena / Oso ona;302;81;1016,9;90,5;18,7;0,86;Muy buena / Oso ona
24/07/2017;1;6;16;Muy buena / Oso ona;8;8;Muy buena / Oso ona;2;4;Muy buena / Oso ona;290;89;1018;124,6;18,9;1,17;Muy buena / Oso ona
23/07/2017;2;11;27;Muy buena / Oso ona;14;17;Muy buena / Oso ona;2;4;Muy buena / Oso ona;330;73;1017;270,6;20,4;0,6;Muy buena / Oso ona
22/07/2017;6;16;29;Muy buena / Oso ona;25;17;Muy buena / Oso ona;2;4;Muy buena / Oso ona;316;77;1012,8;220,7;19,4;0,41;Muy buena / Oso ona
21/07/2017;8;22;32;Muy buena / Oso ona;35;18;Muy buena / Oso ona;3;4;Muy buena / Oso ona;311;82;1010,1;95,2;18,5;0,29;Muy buena / Oso ona
20/07/2017;4;18;32;Muy buena / Oso ona;24;11;Muy buena / Oso ona;3;4;Muy buena / Oso ona;;;;;;;Muy buena / Oso ona
19/07/2017;4;18;35;Muy buena / Oso ona;24;23;Muy buena / Oso ona;4;4;Muy buena / Oso ona;340;81;1009,1;110,4;21,5;0,79;Muy buena / Oso ona
18/07/2017;4;21;42;Muy buena / Oso ona;26;28;Buena / Ona;3;4;Muy buena / Oso ona;192;61;1005,6;279;27,1;0,44;Buena / Ona
17/07/2017;14;41;70;Buena / Ona;62;;Sin datos / Daturik gabe;12;3;Muy buena / Oso ona;52;68;1008,8;268,6;27;0,56;Buena / Ona
16/07/2017;5;22;44;Muy buena / Oso ona;29;19;Muy buena / Oso ona;10;4;Muy buena / Oso ona;1;78;1016,2;326,9;21,9;0,51;Muy buena / Oso ona
15/07/2017;4;13;25;Muy buena / Oso ona;19;11;Muy buena / Oso ona;5;2;Muy buena / Oso ona;8;78;1019;225,9;20,1;1,66;Muy buena / Oso ona
14/07/2017;10;18;39;Muy buena / Oso ona;33;10;Muy buena / Oso ona;3;2;Muy buena / Oso ona;360;82;1019,2;134,3;19,7;1,19;Muy buena / Oso ona
13/07/2017;5;13;36;Muy buena / Oso ona;20;8;Muy buena / Oso ona;3;2;Muy buena / Oso ona;334;83;1018,5;131,9;20,2;0,87;Muy buena / Oso ona
12/07/2017;10;18;33;Muy buena / Oso ona;33;16;Muy buena / Oso ona;5;2;Muy buena / Oso ona;338;83;1016,9;179,2;20,2;0,54;Muy buena / Oso ona
11/07/2017;9;22;45;Muy buena / Oso ona;35;9;Muy buena / Oso ona;3;2;Muy buena / Oso ona;360;81;1013;241,5;20,4;0,63;Muy buena / Oso ona
10/07/2017;3;13;39;Muy buena / Oso ona;17;9;Muy buena / Oso ona;2;2;Muy buena / Oso ona;285;88;1012,8;113,4;19,1;0,64;Muy buena / Oso ona
09/07/2017;1;8;21;Muy buena / Oso ona;10;16;Muy buena / Oso ona;2;1;Muy buena / Oso ona;343;84;1011,4;265,7;20,2;1;Muy buena / Oso ona
08/07/2017;1;9;24;Muy buena / Oso ona;11;13;Muy buena / Oso ona;3;1;Muy buena / Oso ona;332;92;1013,3;48,9;19,4;1,03;Muy buena / Oso ona
07/07/2017;7;20;45;Muy buena / Oso ona;31;21;Muy buena / Oso ona;2;2;Muy buena / Oso ona;316;82;1013,6;260,7;21,6;0,79;Muy buena / Oso ona
06/07/2017;8;30;47;Muy buena / Oso ona;42;25;Muy buena / Oso ona;3;1;Muy buena / Oso ona;360;80;1011,9;185,9;21,6;0,55;Muy buena / Oso ona
05/07/2017;5;21;49;Muy buena / Oso ona;29;30;Buena / Ona;3;1;Muy buena / Oso ona;349;58;1008,7;299,1;24,7;1,01;Buena / Ona
04/07/2017;14;31;57;Buena / Ona;53;22;Muy buena / Oso ona;19;1;Muy buena / Oso ona;12;71;1010,5;333,3;24,7;0,41;Buena / Ona
03/07/2017;12;17;31;Muy buena / Oso ona;35;10;Muy buena / Oso ona;4;1;Muy buena / Oso ona;338;82;1020,2;292,1;18,3;0,76;Muy buena / Oso ona
02/07/2017;4;15;24;Muy buena / Oso ona;20;12;Muy buena / Oso ona;5;1;Muy buena / Oso ona;320;81;1023,7;266,3;16,8;0,67;Muy buena / Oso ona
01/07/2017;1;5;19;Muy buena / Oso ona;7;12;Muy buena / Oso ona;2;1;Muy buena / Oso ona;264;86;1021,3;67;14,7;1,12;Muy buena / Oso ona
30/06/2017;3;13;41;Muy buena / Oso ona;18;13;Muy buena / Oso ona;2;1;Muy buena / Oso ona;243;80;1013;133,3;15,5;1,28;Muy buena / Oso ona
29/06/2017;2;14;31;Muy buena / Oso ona;17;17;Muy buena / Oso ona;3;1;Muy buena / Oso ona;272;66;1006,8;174,6;17,2;0,87;Muy buena / Oso ona
28/06/2017;5;14;37;Muy buena / Oso ona;22;12;Muy buena / Oso ona;2;1;Muy buena / Oso ona;287;73;1002,6;154,5;19,5;1,06;Muy buena / Oso ona
27/06/2017;8;17;27;Muy buena / Oso ona;28;12;Muy buena / Oso ona;4;1;Muy buena / Oso ona;298;84;1005,1;114,3;20,2;0,64;Muy buena / Oso ona
26/06/2017;9;19;34;Muy buena / Oso ona;33;16;Muy buena / Oso ona;3;2;Muy buena / Oso ona;275;84;1006,5;193;21,7;0,68;Muy buena / Oso ona
25/06/2017;5;16;27;Muy buena / Oso ona;23;13;Muy buena / Oso ona;5;2;Muy buena / Oso ona;25;79;1013,1;184,1;20,9;0,47;Muy buena / Oso ona
24/06/2017;5;16;26;Muy buena / Oso ona;24;20;Muy buena / Oso ona;6;2;Muy buena / Oso ona;2;74;1017,7;216,3;21,4;0,97;Muy buena / Oso ona
23/06/2017;4;20;45;Muy buena / Oso ona;27;32;Buena / Ona;3;2;Muy buena / Oso ona;322;82;1019,2;93,4;20,5;0,52;Buena / Ona
22/06/2017;4;16;44;Muy buena / Oso ona;22;25;Muy buena / Oso ona;3;0;Muy buena / Oso ona;332;90;1014,7;47,9;20,9;1,09;Muy buena / Oso ona
21/06/2017;8;37;73;Buena / Ona;49;30;Buena / Ona;7;0;Muy buena / Oso ona;358;61;1010,1;318,6;28,6;0,15;Buena / Ona
20/06/2017;9;35;70;Buena / Ona;48;31;Buena / Ona;13;0;Muy buena / Oso ona;231;55;1011,2;303,7;27,9;0,52;Buena / Ona
19/06/2017;8;21;64;Buena / Ona;33;24;Muy buena / Oso ona;14;0;Muy buena / Oso ona;225;54;1009,1;311;28,7;0,93;Buena / Ona
18/06/2017;3;24;42;Muy buena / Oso ona;29;24;Muy buena / Oso ona;3;0;Muy buena / Oso ona;296;74;1010,4;343,9;23;0,36;Muy buena / Oso ona
17/06/2017;6;22;39;Muy buena / Oso ona;30;23;Muy buena / Oso ona;6;1;Muy buena / Oso ona;326;80;1016,8;322,5;20,5;0,42;Muy buena / Oso ona
16/06/2017;8;22;49;Muy buena / Oso ona;34;16;Muy buena / Oso ona;2;1;Muy buena / Oso ona;5;88;1020,5;118,7;19,1;1,04;Muy buena / Oso ona
15/06/2017;2;12;29;Muy buena / Oso ona;15;12;Muy buena / Oso ona;2;0;Muy buena / Oso ona;324;95;1017,5;39,7;18,2;0,82;Muy buena / Oso ona
14/06/2017;8;19;43;Muy buena / Oso ona;32;24;Muy buena / Oso ona;2;0;Muy buena / Oso ona;343;84;1010,9;248,1;21,7;0,87;Muy buena / Oso ona
13/06/2017;7;17;39;Muy buena / Oso ona;28;25;Muy buena / Oso ona;3;0;Muy buena / Oso ona;343;81;1010,7;237,7;20,6;0,72;Muy buena / Oso ona
12/06/2017;11;17;34;Muy buena / Oso ona;34;18;Muy buena / Oso ona;2;1;Muy buena / Oso ona;351;85;1015,3;136,4;19,5;1,17;Muy buena / Oso ona
11/06/2017;2;7;20;Muy buena / Oso ona;9;18;Muy buena / Oso ona;3;1;Muy buena / Oso ona;319;83;1015,4;228,4;20,1;0,96;Muy buena / Oso ona
10/06/2017;5;17;30;Muy buena / Oso ona;25;21;Muy buena / Oso ona;4;1;Muy buena / Oso ona;332;79;1013,7;313,2;21,7;0,68;Muy buena / Oso ona
09/06/2017;8;22;39;Muy buena / Oso ona;35;17;Muy buena / Oso ona;3;1;Muy buena / Oso ona;343;82;1013,3;175,2;18,6;0,85;Muy buena / Oso ona
08/06/2017;11;27;70;Buena / Ona;44;27;Buena / Ona;13;1;Muy buena / Oso ona;207;68;1009,6;282,5;22,7;0,55;Buena / Ona
07/06/2017;11;27;44;Muy buena / Oso ona;44;24;Muy buena / Oso ona;3;1;Muy buena / Oso ona;312;74;1017,2;324,7;17,4;0,34;Muy buena / Oso ona
06/06/2017;3;12;31;Muy buena / Oso ona;17;20;Muy buena / Oso ona;2;1;Muy buena / Oso ona;289;74;1015;141,4;16,6;1,08;Muy buena / Oso ona
05/06/2017;13;28;52;Buena / Ona;47;10;Muy buena / Oso ona;4;1;Muy buena / Oso ona;124;78;1011,5;245,1;18;0,06;Buena / Ona
