Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;SH2 (µg/m3);SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
04/06/2017;4;12;26;Muy buena / Oso ona;19;9;Muy buena / Oso ona;2;1;Muy buena / Oso ona;285;92;1016,6;49;14;0,5;Muy buena / Oso ona
03/06/2017;2;12;29;Muy buena / Oso ona;16;10;Muy buena / Oso ona;2;1;Muy buena / Oso ona;290;94;1015,8;35,9;15,7;0,49;Muy buena / Oso ona
02/06/2017;5;14;37;Muy buena / Oso ona;21;13;Muy buena / Oso ona;3;1;Muy buena / Oso ona;309;88;1014,1;78;18,7;0,79;Muy buena / Oso ona
01/06/2017;10;23;47;Muy buena / Oso ona;38;19;Muy buena / Oso ona;7;2;Muy buena / Oso ona;349;80;1013,9;314,1;20,8;0,77;Muy buena / Oso ona
31/05/2017;9;18;29;Muy buena / Oso ona;31;14;Muy buena / Oso ona;4;1;Muy buena / Oso ona;351;81;1015,5;315;19,5;0,9;Muy buena / Oso ona
30/05/2017;10;19;42;Muy buena / Oso ona;34;8;Muy buena / Oso ona;2;1;Muy buena / Oso ona;352;90;1015,2;77;17,1;1,09;Muy buena / Oso ona
29/05/2017;8;18;45;Muy buena / Oso ona;30;16;Muy buena / Oso ona;3;1;Muy buena / Oso ona;333;88;1011,6;132,6;18,3;0,91;Muy buena / Oso ona
28/05/2017;3;17;37;Muy buena / Oso ona;21;21;Muy buena / Oso ona;4;1;Muy buena / Oso ona;128;69;1009,1;169,1;22,7;0,25;Muy buena / Oso ona
27/05/2017;6;28;61;Buena / Ona;37;32;Buena / Ona;9;1;Muy buena / Oso ona;358;81;1009,4;274;21,9;0,58;Buena / Ona
26/05/2017;6;28;64;Buena / Ona;37;30;Buena / Ona;8;2;Muy buena / Oso ona;305;66;1008,2;299,5;22,8;0,39;Buena / Ona
25/05/2017;12;39;62;Buena / Ona;57;29;Buena / Ona;14;2;Muy buena / Oso ona;1;60;1008,3;311,4;25,8;0,2;Buena / Ona
24/05/2017;12;32;74;Buena / Ona;50;26;Buena / Ona;9;2;Muy buena / Oso ona;3;77;1015;323,4;20,2;0,71;Buena / Ona
23/05/2017;6;18;40;Muy buena / Oso ona;26;19;Muy buena / Oso ona;3;2;Muy buena / Oso ona;358;74;1019,6;287,5;17,1;0,98;Muy buena / Oso ona
22/05/2017;5;16;69;Buena / Ona;24;32;Buena / Ona;3;2;Muy buena / Oso ona;332;72;1014;217;18,8;1,14;Buena / Ona
21/05/2017;5;19;42;Muy buena / Oso ona;27;15;Muy buena / Oso ona;9;2;Muy buena / Oso ona;185;53;1011,4;254,1;22;0,99;Muy buena / Oso ona
20/05/2017;5;22;38;Muy buena / Oso ona;29;14;Muy buena / Oso ona;3;2;Muy buena / Oso ona;281;72;1020,4;208,8;14,2;0,44;Muy buena / Oso ona
19/05/2017;5;19;49;Muy buena / Oso ona;27;14;Muy buena / Oso ona;3;2;Muy buena / Oso ona;287;75;1018,1;150,4;12,9;0,74;Muy buena / Oso ona
18/05/2017;3;11;28;Muy buena / Oso ona;16;8;Muy buena / Oso ona;2;2;Muy buena / Oso ona;283;89;1014,4;68,9;12,9;1,06;Muy buena / Oso ona
17/05/2017;9;25;57;Buena / Ona;38;19;Muy buena / Oso ona;6;2;Muy buena / Oso ona;312;82;1014,5;104;17,1;0,46;Buena / Ona
16/05/2017;9;36;56;Buena / Ona;50;22;Muy buena / Oso ona;6;2;Muy buena / Oso ona;312;66;1019,3;250,1;21,1;0,3;Buena / Ona
15/05/2017;9;32;67;Buena / Ona;45;16;Muy buena / Oso ona;9;1;Muy buena / Oso ona;236;61;1021,2;280,7;20,9;0,33;Buena / Ona
14/05/2017;4;21;37;Muy buena / Oso ona;27;14;Muy buena / Oso ona;6;1;Muy buena / Oso ona;321;66;1018,8;322,2;18,4;0,47;Muy buena / Oso ona
13/05/2017;3;19;41;Muy buena / Oso ona;24;10;Muy buena / Oso ona;6;2;Muy buena / Oso ona;358;74;1010,9;257,7;16,3;0,67;Muy buena / Oso ona
12/05/2017;1;11;24;Muy buena / Oso ona;12;11;Muy buena / Oso ona;2;1;Muy buena / Oso ona;226;55;999,7;213,8;19,5;2,05;Muy buena / Oso ona
11/05/2017;3;18;56;Buena / Ona;23;8;Muy buena / Oso ona;2;1;Muy buena / Oso ona;216;56;992,2;180,7;19,1;1,98;Buena / Ona
10/05/2017;8;30;55;Buena / Ona;42;16;Muy buena / Oso ona;5;1;Muy buena / Oso ona;205;73;995,6;225,5;18,8;0,68;Buena / Ona
09/05/2017;10;34;70;Buena / Ona;48;18;Muy buena / Oso ona;4;1;Muy buena / Oso ona;294;80;1005,3;209,3;14,7;0,46;Buena / Ona
08/05/2017;10;26;39;Muy buena / Oso ona;41;11;Muy buena / Oso ona;4;0;Muy buena / Oso ona;329;75;1016,3;278,5;13,4;0,53;Muy buena / Oso ona
07/05/2017;5;18;29;Muy buena / Oso ona;25;9;Muy buena / Oso ona;4;0;Muy buena / Oso ona;308;61;1018,7;303,3;15;0,43;Muy buena / Oso ona
06/05/2017;5;18;36;Muy buena / Oso ona;26;8;Muy buena / Oso ona;6;0;Muy buena / Oso ona;338;64;1012,5;302,5;15,8;0,58;Muy buena / Oso ona
05/05/2017;13;26;52;Buena / Ona;45;18;Muy buena / Oso ona;9;0;Muy buena / Oso ona;245;72;1002;90,9;18,1;0,6;Buena / Ona
04/05/2017;13;28;39;Muy buena / Oso ona;47;18;Muy buena / Oso ona;7;0;Muy buena / Oso ona;327;81;1007,2;224,1;14,9;0,55;Muy buena / Oso ona
03/05/2017;11;23;32;Muy buena / Oso ona;40;10;Muy buena / Oso ona;5;0;Muy buena / Oso ona;3;80;1012,6;270,4;14,8;0,76;Muy buena / Oso ona
02/05/2017;10;25;58;Buena / Ona;41;12;Muy buena / Oso ona;3;1;Muy buena / Oso ona;265;85;1016,4;92,7;13,5;0,66;Buena / Ona
01/05/2017;2;16;33;Muy buena / Oso ona;19;13;Muy buena / Oso ona;3;1;Muy buena / Oso ona;241;70;1015,8;232;11,1;0,96;Muy buena / Oso ona
30/04/2017;;;;Sin datos / Daturik gabe;14;9;Muy buena / Oso ona;3;1;Muy buena / Oso ona;219;72;1003,6;69,8;12,6;1,69;Muy buena / Oso ona
29/04/2017;;;;Sin datos / Daturik gabe;26;13;Muy buena / Oso ona;11;1;Muy buena / Oso ona;185;57;1005,5;248,4;14,8;1,76;Muy buena / Oso ona
28/04/2017;12;28;47;Muy buena / Oso ona;43;12;Muy buena / Oso ona;5;1;Muy buena / Oso ona;9;67;1015,2;281,2;9,7;0,71;Muy buena / Oso ona
27/04/2017;11;24;38;Muy buena / Oso ona;38;10;Muy buena / Oso ona;11;1;Muy buena / Oso ona;357;66;1015,3;276,5;8,9;1,03;Muy buena / Oso ona
26/04/2017;7;23;57;Buena / Ona;32;9;Muy buena / Oso ona;6;1;Muy buena / Oso ona;355;76;1010,9;149,1;9,1;1,34;Buena / Ona
25/04/2017;11;38;69;Buena / Ona;46;17;Muy buena / Oso ona;4;1;Muy buena / Oso ona;302;82;1005,8;63,7;12,8;0,43;Buena / Ona
24/04/2017;12;37;63;Buena / Ona;53;20;Muy buena / Oso ona;4;1;Muy buena / Oso ona;305;69;1010;251,3;14,5;0,4;Buena / Ona
23/04/2017;5;28;51;Buena / Ona;35;21;Muy buena / Oso ona;9;2;Muy buena / Oso ona;296;61;1014,1;287,3;15,2;0,36;Buena / Ona
22/04/2017;5;37;64;Buena / Ona;45;20;Muy buena / Oso ona;4;2;Muy buena / Oso ona;339;43;1016,6;290,7;17,8;0,35;Buena / Ona
21/04/2017;13;45;71;Buena / Ona;63;25;Muy buena / Oso ona;6;2;Muy buena / Oso ona;312;52;1020,4;285,7;14,4;0,27;Buena / Ona
20/04/2017;10;34;59;Buena / Ona;48;18;Muy buena / Oso ona;3;1;Muy buena / Oso ona;15;45;1021,6;289,5;11,9;0,94;Buena / Ona
19/04/2017;10;27;65;Buena / Ona;38;14;Muy buena / Oso ona;3;1;Muy buena / Oso ona;22;42;1020,3;282,2;12,4;2,23;Buena / Ona
18/04/2017;11;29;60;Buena / Ona;40;19;Muy buena / Oso ona;6;1;Muy buena / Oso ona;357;70;1017,9;222,2;14,1;1,19;Buena / Ona
17/04/2017;5;19;36;Muy buena / Oso ona;25;18;Muy buena / Oso ona;13;1;Muy buena / Oso ona;357;79;1017,1;268,9;13,2;0,93;Muy buena / Oso ona
16/04/2017;4;17;35;Muy buena / Oso ona;22;10;Muy buena / Oso ona;7;1;Muy buena / Oso ona;8;77;1020,9;194,3;12,8;0,53;Muy buena / Oso ona
15/04/2017;4;19;34;Muy buena / Oso ona;24;15;Muy buena / Oso ona;7;1;Muy buena / Oso ona;325;80;1019,8;84,4;13,8;0,58;Muy buena / Oso ona
14/04/2017;;;;Sin datos / Daturik gabe;21;16;Muy buena / Oso ona;3;1;Muy buena / Oso ona;275;79;1016,7;119,8;13,4;0,48;Muy buena / Oso ona
13/04/2017;4;23;38;Muy buena / Oso ona;28;18;Muy buena / Oso ona;5;2;Muy buena / Oso ona;319;76;1014,9;264;13,5;0,44;Muy buena / Oso ona
12/04/2017;10;33;51;Buena / Ona;46;20;Muy buena / Oso ona;4;3;Muy buena / Oso ona;331;76;1017,4;257,8;13,8;0,68;Buena / Ona
11/04/2017;6;19;39;Muy buena / Oso ona;27;21;Muy buena / Oso ona;3;3;Muy buena / Oso ona;337;78;1021,6;171,4;14;1,04;Muy buena / Oso ona
10/04/2017;;;;Sin datos / Daturik gabe;35;25;Muy buena / Oso ona;5;4;Muy buena / Oso ona;324;88;1021,3;80,8;13,3;0,56;Muy buena / Oso ona
09/04/2017;12;38;60;Buena / Ona;52;26;Buena / Ona;12;4;Muy buena / Oso ona;6;74;1016,6;256,4;16,2;0,89;Buena / Ona
08/04/2017;15;37;69;Buena / Ona;53;19;Muy buena / Oso ona;16;2;Muy buena / Oso ona;220;55;1013,3;260,1;19,1;0,68;Buena / Ona
07/04/2017;11;39;64;Buena / Ona;55;23;Muy buena / Oso ona;3;2;Muy buena / Oso ona;286;79;1017,1;249,5;12,2;0,49;Buena / Ona
06/04/2017;18;28;55;Buena / Ona;51;24;Muy buena / Oso ona;7;2;Muy buena / Oso ona;352;80;1020,9;222,3;12,8;1,07;Buena / Ona
05/04/2017;8;25;45;Muy buena / Oso ona;31;16;Muy buena / Oso ona;3;2;Muy buena / Oso ona;341;84;1022,2;93,9;12,4;1,97;Muy buena / Oso ona
04/04/2017;5;17;29;Muy buena / Oso ona;22;12;Muy buena / Oso ona;3;3;Muy buena / Oso ona;321;83;1023,2;111,6;12,5;1,3;Muy buena / Oso ona
03/04/2017;12;30;47;Muy buena / Oso ona;46;16;Muy buena / Oso ona;3;3;Muy buena / Oso ona;340;84;1021,2;238,3;11,9;0,78;Muy buena / Oso ona
02/04/2017;4;13;34;Muy buena / Oso ona;18;14;Muy buena / Oso ona;3;3;Muy buena / Oso ona;312;82;1019,9;147,9;11,2;1,5;Muy buena / Oso ona
01/04/2017;4;17;42;Muy buena / Oso ona;21;13;Muy buena / Oso ona;3;2;Muy buena / Oso ona;279;83;1016,2;79,7;11,3;1,45;Muy buena / Oso ona
31/03/2017;11;30;83;Buena / Ona;48;20;Muy buena / Oso ona;4;3;Muy buena / Oso ona;297;70;1013,6;141,4;16,2;0,63;Buena / Ona
30/03/2017;4;24;78;Buena / Ona;30;15;Muy buena / Oso ona;3;3;Muy buena / Oso ona;207;43;1014,8;194;21,1;2,2;Buena / Ona
29/03/2017;10;43;81;Buena / Ona;58;21;Muy buena / Oso ona;3;3;Muy buena / Oso ona;228;56;1019,8;231,4;17,1;0,85;Buena / Ona
28/03/2017;12;39;77;Buena / Ona;57;17;Muy buena / Oso ona;3;3;Muy buena / Oso ona;283;60;1020,6;232;15,1;0,43;Buena / Ona
27/03/2017;3;16;26;Muy buena / Oso ona;20;12;Muy buena / Oso ona;4;2;Muy buena / Oso ona;189;49;1012,2;105,9;16;1,88;Muy buena / Oso ona
26/03/2017;4;15;42;Muy buena / Oso ona;22;10;Muy buena / Oso ona;23;2;Muy buena / Oso ona;181;50;1009,3;175,4;15,4;1,69;Muy buena / Oso ona
25/03/2017;3;24;44;Muy buena / Oso ona;28;6;Muy buena / Oso ona;3;2;Muy buena / Oso ona;216;87;1007,5;24,6;8,4;1,38;Muy buena / Oso ona
24/03/2017;10;42;79;Buena / Ona;58;14;Muy buena / Oso ona;4;3;Muy buena / Oso ona;340;67;1011,3;165,1;9,7;0,43;Buena / Ona
23/03/2017;7;34;77;Buena / Ona;44;12;Muy buena / Oso ona;4;2;Muy buena / Oso ona;221;66;1005,5;157,8;8,4;1,04;Buena / Ona
22/03/2017;6;30;81;Buena / Ona;39;9;Muy buena / Oso ona;3;1;Muy buena / Oso ona;234;81;1006,2;64,5;8,8;0,84;Buena / Ona
21/03/2017;10;37;65;Buena / Ona;51;15;Muy buena / Oso ona;3;1;Muy buena / Oso ona;274;86;1012,3;40,6;10;0,48;Buena / Ona
20/03/2017;5;24;53;Buena / Ona;31;17;Muy buena / Oso ona;4;1;Muy buena / Oso ona;304;77;1014,1;54,4;11,5;0,34;Buena / Ona
19/03/2017;4;20;39;Muy buena / Oso ona;26;15;Muy buena / Oso ona;2;1;Muy buena / Oso ona;295;79;1017,6;192,1;10,1;0,5;Muy buena / Oso ona
18/03/2017;5;27;60;Buena / Ona;35;14;Muy buena / Oso ona;3;1;Muy buena / Oso ona;345;74;1021,2;73,8;11,5;0,56;Buena / Ona
17/03/2017;5;24;61;Buena / Ona;32;25;Muy buena / Oso ona;3;1;Muy buena / Oso ona;326;76;1019,8;103,4;13,2;0,82;Buena / Ona
16/03/2017;11;33;79;Buena / Ona;50;16;Muy buena / Oso ona;19;1;Muy buena / Oso ona;205;50;1016,2;205,9;17,7;1,55;Buena / Ona
15/03/2017;9;34;64;Buena / Ona;48;27;Buena / Ona;3;1;Muy buena / Oso ona;328;84;1023,7;161,1;12,8;0,55;Buena / Ona
14/03/2017;15;29;59;Buena / Ona;51;22;Muy buena / Oso ona;4;1;Muy buena / Oso ona;336;88;1028,6;114;12,1;0,82;Buena / Ona
13/03/2017;8;26;44;Muy buena / Oso ona;38;20;Muy buena / Oso ona;2;1;Muy buena / Oso ona;351;92;1023,6;12,2;10,6;3,22;Muy buena / Oso ona
12/03/2017;1;7;20;Muy buena / Oso ona;10;16;Muy buena / Oso ona;2;1;Muy buena / Oso ona;305;86;1016,3;38,7;11,4;1,95;Muy buena / Oso ona
11/03/2017;5;27;56;Buena / Ona;35;25;Muy buena / Oso ona;3;1;Muy buena / Oso ona;251;60;1013,3;145,3;15,9;1,05;Buena / Ona
10/03/2017;30;51;87;Buena / Ona;97;28;Buena / Ona;7;2;Muy buena / Oso ona;213;71;1016,9;189,7;15,1;0,65;Buena / Ona
09/03/2017;15;33;69;Buena / Ona;56;21;Muy buena / Oso ona;5;3;Muy buena / Oso ona;311;82;1022,4;172,3;12,8;0,47;Buena / Ona
08/03/2017;11;31;61;Buena / Ona;48;11;Muy buena / Oso ona;3;6;Muy buena / Oso ona;356;83;1024,2;122,1;13,7;0,82;Buena / Ona
07/03/2017;8;24;72;Buena / Ona;37;26;Buena / Ona;3;4;Muy buena / Oso ona;281;86;1022,5;29,8;12,2;1,05;Buena / Ona
06/03/2017;4;17;45;Muy buena / Oso ona;23;31;Buena / Ona;2;4;Muy buena / Oso ona;304;75;1017,8;52;13,7;1,24;Buena / Ona
05/03/2017;4;22;59;Buena / Ona;29;20;Muy buena / Oso ona;2;5;Muy buena / Oso ona;231;71;1009,8;64;12,7;1,18;Buena / Ona
04/03/2017;4;17;57;Buena / Ona;23;12;Muy buena / Oso ona;2;7;Muy buena / Oso ona;236;68;1001,1;103,4;9;1,51;Buena / Ona
03/03/2017;4;13;26;Muy buena / Oso ona;19;12;Muy buena / Oso ona;2;7;Muy buena / Oso ona;213;58;997,1;105,9;15,5;2,25;Muy buena / Oso ona
02/03/2017;27;47;86;Buena / Ona;89;21;Muy buena / Oso ona;5;7;Muy buena / Oso ona;242;69;1011,8;144,4;13,7;0,36;Buena / Ona
01/03/2017;9;33;80;Buena / Ona;46;15;Muy buena / Oso ona;3;4;Muy buena / Oso ona;220;66;1013;154,5;12,2;2,12;Buena / Ona
28/02/2017;3;22;51;Buena / Ona;26;17;Muy buena / Oso ona;9;3;Muy buena / Oso ona;249;74;1007,7;45,2;10,5;1,37;Buena / Ona
27/02/2017;4;26;52;Buena / Ona;32;19;Muy buena / Oso ona;4;3;Muy buena / Oso ona;219;66;1006,8;149,9;13,3;1,88;Buena / Ona
26/02/2017;10;37;75;Buena / Ona;51;27;Buena / Ona;6;4;Muy buena / Oso ona;234;77;1015,7;149,1;10,7;0,71;Buena / Ona
25/02/2017;12;39;73;Buena / Ona;57;21;Muy buena / Oso ona;6;4;Muy buena / Oso ona;221;76;1016,5;153,9;9,4;0,56;Buena / Ona
24/02/2017;11;39;67;Buena / Ona;56;17;Muy buena / Oso ona;7;4;Muy buena / Oso ona;9;88;1016,7;72,6;9,5;0,45;Buena / Ona
23/02/2017;14;32;47;Muy buena / Oso ona;53;30;Buena / Ona;11;;Sin datos / Daturik gabe;312;87;1012,8;49,7;10,5;0,33;Buena / Ona
22/02/2017;;;;Sin datos / Daturik gabe;;28;Buena / Ona;3;;Sin datos / Daturik gabe;230;86;1017,5;117,2;8,9;0,65;Buena / Ona
21/02/2017;;;;Sin datos / Daturik gabe;;17;Muy buena / Oso ona;3;;Sin datos / Daturik gabe;230;82;1022,6;121,1;8,9;0,72;Muy buena / Oso ona
20/02/2017;;;;Sin datos / Daturik gabe;;19;Muy buena / Oso ona;2;;Sin datos / Daturik gabe;288;85;1024,4;53,3;10,7;0,38;Muy buena / Oso ona
19/02/2017;10;33;69;Buena / Ona;47;22;Muy buena / Oso ona;14;2;Muy buena / Oso ona;331;85;1023,4;39,5;11,4;0,65;Buena / Ona
18/02/2017;8;27;46;Muy buena / Oso ona;39;27;Buena / Ona;5;2;Muy buena / Oso ona;245;79;1018;111,8;10,9;0,8;Buena / Ona
17/02/2017;21;49;81;Buena / Ona;80;27;Buena / Ona;2;3;Muy buena / Oso ona;222;70;1022,3;135,7;12,3;0,99;Buena / Ona
16/02/2017;41;53;99;Buena / Ona;116;30;Buena / Ona;9;3;Muy buena / Oso ona;236;64;1025,6;118,5;14,3;0,35;Buena / Ona
15/02/2017;14;31;90;Buena / Ona;53;17;Muy buena / Oso ona;4;3;Muy buena / Oso ona;210;54;1024,8;130,6;15,7;1,83;Buena / Ona
14/02/2017;22;32;70;Buena / Ona;65;12;Muy buena / Oso ona;4;2;Muy buena / Oso ona;203;63;1016,3;134,7;13,4;1,52;Buena / Ona
13/02/2017;6;24;55;Buena / Ona;33;30;Buena / Ona;3;2;Muy buena / Oso ona;162;59;1002;80,5;15,1;2,22;Buena / Ona
12/02/2017;11;21;36;Muy buena / Oso ona;38;41;Buena / Ona;6;1;Muy buena / Oso ona;153;64;1000,8;62,5;12,5;1,57;Buena / Ona
11/02/2017;20;42;59;Buena / Ona;73;26;Buena / Ona;12;2;Muy buena / Oso ona;355;85;1010,4;50,2;7,5;0,36;Buena / Ona
10/02/2017;25;42;97;Buena / Ona;81;23;Muy buena / Oso ona;6;2;Muy buena / Oso ona;210;49;1007,3;83;11,6;1,2;Buena / Ona
09/02/2017;20;43;72;Buena / Ona;74;11;Muy buena / Oso ona;12;2;Muy buena / Oso ona;143;77;1014,4;119,9;8,2;0,29;Buena / Ona
08/02/2017;8;21;55;Buena / Ona;33;14;Muy buena / Oso ona;4;2;Muy buena / Oso ona;341;74;1022,9;65,4;8,9;2,78;Buena / Ona
07/02/2017;7;26;53;Buena / Ona;38;11;Muy buena / Oso ona;2;3;Muy buena / Oso ona;271;89;1018,5;29,1;10,6;1,04;Buena / Ona
06/02/2017;25;52;84;Buena / Ona;91;18;Muy buena / Oso ona;4;5;Muy buena / Oso ona;235;89;1019,4;25,2;9,8;0,72;Buena / Ona
05/02/2017;1;6;13;Muy buena / Oso ona;8;15;Muy buena / Oso ona;3;3;Muy buena / Oso ona;289;70;1009;38,3;10,1;2,47;Muy buena / Oso ona
04/02/2017;9;33;73;Buena / Ona;46;11;Muy buena / Oso ona;4;4;Muy buena / Oso ona;234;83;1002,9;22,1;12,1;1;Buena / Ona
03/02/2017;5;17;55;Buena / Ona;25;12;Muy buena / Oso ona;3;3;Muy buena / Oso ona;216;48;1002,8;80,3;14,7;2,93;Buena / Ona
02/02/2017;4;18;57;Buena / Ona;24;8;Muy buena / Oso ona;3;3;Muy buena / Oso ona;210;56;1002,8;47;14,5;2,67;Buena / Ona
01/02/2017;54;47;92;Buena / Ona;130;26;Buena / Ona;8;5;Muy buena / Oso ona;234;59;1008,3;51,5;15,2;0,63;Buena / Ona
31/01/2017;12;26;76;Buena / Ona;44;11;Muy buena / Oso ona;4;4;Muy buena / Oso ona;213;54;1009;107,2;16,9;1,69;Buena / Ona
30/01/2017;21;38;68;Buena / Ona;71;11;Muy buena / Oso ona;4;4;Muy buena / Oso ona;202;64;1013,3;54,9;15,4;0,75;Buena / Ona
29/01/2017;5;25;42;Muy buena / Oso ona;32;8;Muy buena / Oso ona;4;4;Muy buena / Oso ona;200;65;1015,9;85,9;12,2;1,48;Muy buena / Oso ona
28/01/2017;11;34;73;Buena / Ona;50;14;Muy buena / Oso ona;5;4;Muy buena / Oso ona;225;77;1016,1;78,2;9,8;1,1;Buena / Ona
27/01/2017;8;27;76;Buena / Ona;38;13;Muy buena / Oso ona;4;4;Muy buena / Oso ona;202;57;1003,8;76,2;12,5;1,97;Buena / Ona
26/01/2017;14;32;83;Buena / Ona;54;18;Muy buena / Oso ona;15;4;Muy buena / Oso ona;196;60;1007,9;88,7;9,3;1,61;Buena / Ona
25/01/2017;26;45;59;Buena / Ona;85;23;Muy buena / Oso ona;5;5;Muy buena / Oso ona;209;78;1018,9;85,5;3,6;0,42;Buena / Ona
24/01/2017;49;56;84;Buena / Ona;131;31;Buena / Ona;3;5;Muy buena / Oso ona;273;82;1022,5;62,8;6;0,48;Buena / Ona
23/01/2017;51;50;74;Buena / Ona;129;26;Buena / Ona;2;5;Muy buena / Oso ona;249;84;1019,3;55,8;6,4;0,67;Buena / Ona
22/01/2017;28;52;83;Buena / Ona;95;27;Buena / Ona;3;5;Muy buena / Oso ona;208;83;1017,3;41,6;5;1,39;Buena / Ona
21/01/2017;26;48;74;Buena / Ona;88;24;Muy buena / Oso ona;3;5;Muy buena / Oso ona;213;77;1017,4;90,4;4,7;1,16;Buena / Ona
20/01/2017;37;46;74;Buena / Ona;103;27;Buena / Ona;2;5;Muy buena / Oso ona;211;83;1020;77,7;;0,96;Buena / Ona
19/01/2017;29;43;77;Buena / Ona;87;20;Muy buena / Oso ona;4;5;Muy buena / Oso ona;209;75;1022;58,9;2,7;0,46;Buena / Ona
18/01/2017;21;44;65;Buena / Ona;75;17;Muy buena / Oso ona;3;4;Muy buena / Oso ona;34;75;1022,8;13,2;;0,22;Buena / Ona
17/01/2017;15;30;57;Buena / Ona;53;9;Muy buena / Oso ona;2;4;Muy buena / Oso ona;30;68;1023,4;90,5;3,8;1,88;Buena / Ona
16/01/2017;10;22;54;Buena / Ona;36;10;Muy buena / Oso ona;2;3;Muy buena / Oso ona;353;92;1021,1;20,6;10,1;3,64;Buena / Ona
15/01/2017;4;19;52;Buena / Ona;24;11;Muy buena / Oso ona;3;4;Muy buena / Oso ona;337;88;1024,4;13,2;8,5;1,75;Buena / Ona
14/01/2017;7;31;50;Muy buena / Oso ona;41;11;Muy buena / Oso ona;3;3;Muy buena / Oso ona;238;88;1023,6;43,3;5,9;0,77;Muy buena / Oso ona
13/01/2017;5;17;40;Muy buena / Oso ona;24;14;Muy buena / Oso ona;2;2;Muy buena / Oso ona;334;77;1019,2;34,1;7,9;2,68;Muy buena / Oso ona
12/01/2017;14;29;53;Buena / Ona;51;12;Muy buena / Oso ona;2;3;Muy buena / Oso ona;244;89;1016,9;52,1;11,9;0,99;Buena / Ona
11/01/2017;4;13;26;Muy buena / Oso ona;19;4;Muy buena / Oso ona;2;4;Muy buena / Oso ona;336;98;1020;10,9;11,7;2,08;Muy buena / Oso ona
10/01/2017;7;26;59;Buena / Ona;36;11;Muy buena / Oso ona;2;4;Muy buena / Oso ona;337;91;1016;7,6;9,5;2,02;Buena / Ona
09/01/2017;37;51;81;Buena / Ona;108;16;Muy buena / Oso ona;5;4;Muy buena / Oso ona;217;85;1025;57,4;7,7;0,49;Buena / Ona
08/01/2017;13;43;59;Buena / Ona;63;24;Muy buena / Oso ona;3;4;Muy buena / Oso ona;201;77;1029,2;55,1;;1,23;Buena / Ona
07/01/2017;26;45;77;Buena / Ona;84;24;Muy buena / Oso ona;4;4;Muy buena / Oso ona;208;77;1029,4;80,5;;1,43;Buena / Ona
06/01/2017;24;43;70;Buena / Ona;80;21;Muy buena / Oso ona;2;5;Muy buena / Oso ona;219;82;1028,6;77,8;;1,13;Buena / Ona
05/01/2017;43;53;81;Buena / Ona;119;25;Muy buena / Oso ona;3;5;Muy buena / Oso ona;211;80;1027;56,5;;1,03;Buena / Ona
04/01/2017;46;43;67;Buena / Ona;113;27;Buena / Ona;6;5;Muy buena / Oso ona;214;87;1024,4;75,7;3,9;1,05;Buena / Ona
03/01/2017;31;40;48;Muy buena / Oso ona;87;27;Buena / Ona;2;6;Muy buena / Oso ona;221;83;1021,4;70,7;4,9;0,94;Buena / Ona
02/01/2017;26;37;74;Buena / Ona;77;21;Muy buena / Oso ona;3;6;Muy buena / Oso ona;219;65;1016,7;54;6,6;1,16;Buena / Ona
01/01/2017;13;25;45;Muy buena / Oso ona;45;17;Muy buena / Oso ona;15;5;Muy buena / Oso ona;216;78;1019,5;75,8;4,6;1,01;Muy buena / Oso ona
