Date;O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);Tº (ºC);V.vien (m/s);ICA Estación
27/05/2017;100;112;Mejorable / Hobetzeko modukoa;121;66;955,6;0;21,8;3,55;Mejorable / Hobetzeko modukoa
26/05/2017;119;131;Mejorable / Hobetzeko modukoa;253;60;954,4;0,1;21,2;2,03;Mejorable / Hobetzeko modukoa
25/05/2017;114;127;Mejorable / Hobetzeko modukoa;157;46;955,3;0;25,6;1,97;Mejorable / Hobetzeko modukoa
24/05/2017;88;115;Mejorable / Hobetzeko modukoa;82;74;960,4;0;19,2;7,67;Mejorable / Hobetzeko modukoa
23/05/2017;73;83;Buena / Ona;341;93;963,9;0;12;1,01;Buena / Ona
22/05/2017;89;101;Mejorable / Hobetzeko modukoa;272;84;958,8;0;14,6;5,51;Mejorable / Hobetzeko modukoa
21/05/2017;96;101;Mejorable / Hobetzeko modukoa;148;38;957,2;0;21,1;7,46;Mejorable / Hobetzeko modukoa
20/05/2017;78;85;Buena / Ona;268;82;964,3;0;11;1,36;Buena / Ona
19/05/2017;79;87;Buena / Ona;265;90;961,7;0;8,6;8,31;Buena / Ona
18/05/2017;81;86;Buena / Ona;279;99;958,1;0,3;9,1;8,72;Buena / Ona
17/05/2017;91;118;Mejorable / Hobetzeko modukoa;261;80;959,4;0;15,3;3,13;Mejorable / Hobetzeko modukoa
16/05/2017;105;128;Mejorable / Hobetzeko modukoa;68;52;964,8;0;21,9;3,79;Mejorable / Hobetzeko modukoa
15/05/2017;96;101;Mejorable / Hobetzeko modukoa;78;45;966,7;0;21,1;1,45;Mejorable / Hobetzeko modukoa
14/05/2017;84;92;Buena / Ona;79;60;963,7;0;16,6;0,22;Buena / Ona
13/05/2017;81;92;Buena / Ona;162;82;955,7;0;13,2;1,09;Buena / Ona
12/05/2017;80;89;Buena / Ona;189;65;945,4;0;14,9;6,32;Buena / Ona
11/05/2017;83;88;Buena / Ona;185;62;938,2;0;15,2;9,54;Buena / Ona
10/05/2017;93;100;Buena / Ona;151;64;941,8;0;17,1;5,75;Buena / Ona
09/05/2017;85;108;Mejorable / Hobetzeko modukoa;86;80;950,3;0;13,8;4,69;Mejorable / Hobetzeko modukoa
08/05/2017;87;101;Mejorable / Hobetzeko modukoa;48;80;960,4;0;11,3;3,34;Mejorable / Hobetzeko modukoa
07/05/2017;86;93;Buena / Ona;13;49;962,9;0;13,2;1,99;Buena / Ona
06/05/2017;89;101;Mejorable / Hobetzeko modukoa;257;64;957,1;0;12;2,8;Mejorable / Hobetzeko modukoa
05/05/2017;94;102;Mejorable / Hobetzeko modukoa;166;68;947,8;0,1;16,8;3,75;Mejorable / Hobetzeko modukoa
04/05/2017;87;104;Mejorable / Hobetzeko modukoa;80;76;952,1;0;14,2;6,38;Mejorable / Hobetzeko modukoa
03/05/2017;84;99;Buena / Ona;32;88;957;0;11,1;1,33;Buena / Ona
02/05/2017;78;83;Buena / Ona;267;98;960,2;0,1;9,2;7,22;Buena / Ona
01/05/2017;88;97;Buena / Ona;259;75;959,2;0;7,6;8;Buena / Ona
30/04/2017;91;102;Mejorable / Hobetzeko modukoa;214;80;947,5;0,1;8,8;8,11;Mejorable / Hobetzeko modukoa
29/04/2017;96;101;Mejorable / Hobetzeko modukoa;149;54;949,9;0;12,1;10,14;Mejorable / Hobetzeko modukoa
28/04/2017;95;100;Buena / Ona;27;76;958,5;0;6,6;2,96;Buena / Ona
27/04/2017;93;99;Buena / Ona;353;73;958,3;0;4,9;3,67;Buena / Ona
26/04/2017;87;99;Buena / Ona;348;85;954,1;0,2;4,8;5,39;Buena / Ona
25/04/2017;85;104;Mejorable / Hobetzeko modukoa;306;81;950,1;0,2;9,5;2,3;Mejorable / Hobetzeko modukoa
24/04/2017;94;104;Mejorable / Hobetzeko modukoa;46;46;954,8;0;15,2;1,02;Mejorable / Hobetzeko modukoa
23/04/2017;110;137;Mejorable / Hobetzeko modukoa;56;41;958,8;0;16,4;3,2;Mejorable / Hobetzeko modukoa
22/04/2017;128;139;Mejorable / Hobetzeko modukoa;117;30;961,6;0;16,9;3,32;Mejorable / Hobetzeko modukoa
21/04/2017;112;121;Mejorable / Hobetzeko modukoa;98;37;964,7;0;14,2;4,85;Mejorable / Hobetzeko modukoa
20/04/2017;93;105;Mejorable / Hobetzeko modukoa;78;41;964,8;0;8,7;9,74;Mejorable / Hobetzeko modukoa
19/04/2017;97;110;Mejorable / Hobetzeko modukoa;69;48;963,5;0;7,9;9,54;Mejorable / Hobetzeko modukoa
18/04/2017;91;103;Mejorable / Hobetzeko modukoa;8;85;961,8;0;9,9;4,3;Mejorable / Hobetzeko modukoa
17/04/2017;81;93;Buena / Ona;38;89;961;0;10,5;2,49;Buena / Ona
16/04/2017;84;87;Buena / Ona;64;88;964,5;0;9,2;3,99;Buena / Ona
15/04/2017;85;95;Buena / Ona;311;99;963,6;0;9;2,23;Buena / Ona
14/04/2017;96;111;Mejorable / Hobetzeko modukoa;286;96;960,6;0;9,1;3,87;Mejorable / Hobetzeko modukoa
13/04/2017;103;111;Mejorable / Hobetzeko modukoa;112;70;959,1;0;12,2;0,23;Mejorable / Hobetzeko modukoa
12/04/2017;94;108;Mejorable / Hobetzeko modukoa;331;81;961,5;0;10,8;0,97;Mejorable / Hobetzeko modukoa
11/04/2017;96;101;Mejorable / Hobetzeko modukoa;294;98;965,3;0;9;3,56;Mejorable / Hobetzeko modukoa
10/04/2017;101;142;Mala / Txarra;267;78;964,9;0;12,5;2,86;Mala / Txarra
09/04/2017;120;141;Mala / Txarra;130;37;961,6;0;19,3;3,04;Mala / Txarra
08/04/2017;111;120;Mejorable / Hobetzeko modukoa;153;32;958,9;0;19,7;5,27;Mejorable / Hobetzeko modukoa
07/04/2017;96;104;Mejorable / Hobetzeko modukoa;87;84;960,9;0;10,9;1,94;Mejorable / Hobetzeko modukoa
06/04/2017;87;95;Buena / Ona;358;90;964,5;0;8,7;2,62;Buena / Ona
05/04/2017;84;90;Buena / Ona;316;100;965,4;0;7,9;5,5;Buena / Ona
04/04/2017;85;88;Buena / Ona;293;100;966,6;0;8,1;5,32;Buena / Ona
03/04/2017;87;90;Buena / Ona;47;90;964,6;0;9;2,72;Buena / Ona
02/04/2017;93;97;Buena / Ona;302;99;963;0,1;7;7,31;Buena / Ona
01/04/2017;93;98;Buena / Ona;271;95;959,2;0,2;7,4;13,47;Buena / Ona
31/03/2017;94;108;Mejorable / Hobetzeko modukoa;279;78;958,1;0;12,2;0,41;Mejorable / Hobetzeko modukoa
30/03/2017;104;107;Mejorable / Hobetzeko modukoa;160;41;960,3;0;18,5;8,59;Mejorable / Hobetzeko modukoa
29/03/2017;100;111;Mejorable / Hobetzeko modukoa;143;45;964,6;0;16,9;2,36;Mejorable / Hobetzeko modukoa
28/03/2017;95;109;Mejorable / Hobetzeko modukoa;172;62;964,8;0;12,6;3,23;Mejorable / Hobetzeko modukoa
27/03/2017;97;105;Mejorable / Hobetzeko modukoa;153;59;956,4;0;11,6;10,44;Mejorable / Hobetzeko modukoa
26/03/2017;91;99;Buena / Ona;145;58;953,7;0;11,5;9,03;Buena / Ona
25/03/2017;83;91;Buena / Ona;179;94;950,6;0,2;5;3,65;Buena / Ona
24/03/2017;88;97;Buena / Ona;89;75;954,7;0;6,4;2,41;Buena / Ona
23/03/2017;87;94;Buena / Ona;192;67;949;0;5;3,4;Buena / Ona
22/03/2017;86;95;Buena / Ona;215;84;949,9;0,1;5,7;3,8;Buena / Ona
21/03/2017;91;99;Buena / Ona;275;94;957,2;0,1;6,5;4,38;Buena / Ona
20/03/2017;79;88;Buena / Ona;282;99;957,6;0;6,5;2,02;Buena / Ona
19/03/2017;85;90;Buena / Ona;328;93;960,9;0;7,1;1,28;Buena / Ona
18/03/2017;84;87;Buena / Ona;339;93;964,5;0;7;1,99;Buena / Ona
17/03/2017;88;106;Mejorable / Hobetzeko modukoa;273;91;963,4;0;8,8;4,92;Mejorable / Hobetzeko modukoa
16/03/2017;101;106;Mejorable / Hobetzeko modukoa;157;37;961,1;0;17,1;8,71;Mejorable / Hobetzeko modukoa
15/03/2017;79;91;Buena / Ona;76;95;967,2;0;9,9;1,36;Buena / Ona
14/03/2017;76;79;Buena / Ona;336;97;971,6;0;8,2;2,13;Buena / Ona
13/03/2017;76;89;Buena / Ona;331;100;966,5;0,2;7,2;7,82;Buena / Ona
12/03/2017;89;93;Buena / Ona;281;100;959,2;0,3;7,5;13,84;Buena / Ona
11/03/2017;93;107;Mejorable / Hobetzeko modukoa;257;61;958,1;0;16,1;7,43;Mejorable / Hobetzeko modukoa
10/03/2017;93;106;Mejorable / Hobetzeko modukoa;93;23;961,7;0;20,6;2,1;Mejorable / Hobetzeko modukoa
09/03/2017;68;77;Buena / Ona;81;89;966;0;11,5;5,38;Buena / Ona
08/03/2017;72;76;Buena / Ona;306;97;967,8;0;9,3;2,59;Buena / Ona
07/03/2017;78;92;Buena / Ona;273;100;965,5;0;8,4;11,11;Buena / Ona
06/03/2017;83;95;Buena / Ona;264;95;961,2;0;9,3;12,88;Buena / Ona
05/03/2017;81;89;Buena / Ona;228;84;953,8;0;8,8;6,41;Buena / Ona
04/03/2017;86;94;Buena / Ona;252;81;944,5;0;5;11,14;Buena / Ona
03/03/2017;91;96;Buena / Ona;181;69;941,9;0,2;11,2;8,4;Buena / Ona
02/03/2017;78;86;Buena / Ona;125;73;956,3;0;12,3;3,35;Buena / Ona
01/03/2017;79;90;Buena / Ona;216;70;957;0;10,3;6,45;Buena / Ona
28/02/2017;85;94;Buena / Ona;251;88;951,2;0,1;6,7;10,72;Buena / Ona
27/02/2017;83;88;Buena / Ona;208;72;951,1;0;10,6;6,72;Buena / Ona
26/02/2017;83;90;Buena / Ona;296;89;959,4;0;9,1;1,68;Buena / Ona
25/02/2017;88;93;Buena / Ona;147;67;959,8;0;8,1;0,45;Buena / Ona
24/02/2017;87;91;Buena / Ona;3;96;959,8;0,1;5,6;3,62;Buena / Ona
23/02/2017;67;82;Buena / Ona;247;81;956,4;0;9,4;3,71;Buena / Ona
22/02/2017;71;94;Buena / Ona;106;76;960,9;0;10,9;3,65;Buena / Ona
21/02/2017;91;96;Buena / Ona;67;85;965,7;0;8;1,41;Buena / Ona
20/02/2017;90;96;Buena / Ona;5;94;967,5;0;7,2;1,6;Buena / Ona
19/02/2017;87;91;Buena / Ona;289;100;966,6;0;7,5;4,05;Buena / Ona
18/02/2017;80;90;Buena / Ona;261;82;961,6;0;9,5;3,26;Buena / Ona
17/02/2017;86;91;Buena / Ona;109;58;966,3;0;12,8;2,03;Buena / Ona
16/02/2017;86;90;Buena / Ona;148;59;969,5;0;13;4,6;Buena / Ona
15/02/2017;83;88;Buena / Ona;153;59;968,6;0;12,5;7,88;Buena / Ona
14/02/2017;78;80;Buena / Ona;164;59;960,2;0;11,2;7,8;Buena / Ona
13/02/2017;80;88;Buena / Ona;147;63;946,7;1,9;11,7;8,41;Buena / Ona
12/02/2017;75;86;Buena / Ona;120;57;945,3;0,2;10,6;8,74;Buena / Ona
11/02/2017;66;85;Buena / Ona;89;73;953,8;0,8;6,5;1,38;Buena / Ona
10/02/2017;81;83;Buena / Ona;154;44;951,5;0;9,2;6,43;Buena / Ona
09/02/2017;83;90;Buena / Ona;108;69;957,6;0,7;5,8;4,36;Buena / Ona
08/02/2017;89;93;Buena / Ona;316;93;965,3;3,7;4,7;9,42;Buena / Ona
07/02/2017;78;91;Buena / Ona;276;96;961,6;11,7;7,8;10,19;Buena / Ona
06/02/2017;76;92;Buena / Ona;267;97;962,6;14,2;7,2;6,03;Buena / Ona
05/02/2017;90;92;Buena / Ona;270;87;951,5;6,3;6,1;17,12;Buena / Ona
04/02/2017;80;88;Buena / Ona;225;88;947,1;25,2;9,1;8,22;Buena / Ona
03/02/2017;83;86;Buena / Ona;180;61;947,2;0;10;10,6;Buena / Ona
02/02/2017;75;87;Buena / Ona;174;71;947;4,1;10,1;12,47;Buena / Ona
01/02/2017;67;70;Buena / Ona;168;58;953,2;0;13,4;7,48;Buena / Ona
31/01/2017;61;69;Buena / Ona;162;62;953,8;0;13,5;9,68;Buena / Ona
30/01/2017;60;66;Buena / Ona;175;73;957,9;0;12,6;6,71;Buena / Ona
29/01/2017;73;85;Buena / Ona;182;67;959,8;0;10;7,23;Buena / Ona
28/01/2017;81;88;Buena / Ona;256;83;959,3;2,1;6,6;6,88;Buena / Ona
27/01/2017;80;89;Buena / Ona;164;72;947,7;2,4;8;9,47;Buena / Ona
26/01/2017;81;82;Buena / Ona;156;57;;;4,9;11,73;Buena / Ona
25/01/2017;74;81;Buena / Ona;23;81;;;1,7;1,49;Buena / Ona
24/01/2017;72;81;Buena / Ona;315;87;;;3,8;3,44;Buena / Ona
23/01/2017;72;85;Buena / Ona;288;96;961,8;0;4,7;5,61;Buena / Ona
22/01/2017;72;86;Buena / Ona;309;87;960;0;4,6;3,7;Buena / Ona
21/01/2017;85;92;Buena / Ona;257;54;960,1;0;6;1,42;Buena / Ona
20/01/2017;56;66;Buena / Ona;105;73;961,7;0;3;1,79;Buena / Ona
19/01/2017;57;60;Muy buena / Oso ona;91;90;963,3;0;;1,23;Muy buena / Oso ona
18/01/2017;48;61;Buena / Ona;57;94;963,6;0;;2,12;Buena / Ona
17/01/2017;61;67;Buena / Ona;38;85;964,7;0,4;;6,97;Buena / Ona
16/01/2017;76;89;Buena / Ona;331;100;964;18,6;6,5;9,64;Buena / Ona
15/01/2017;84;88;Buena / Ona;321;100;966,7;21,7;4,9;9,16;Buena / Ona
14/01/2017;79;83;Buena / Ona;322;97;965,6;8,4;2,9;5,73;Buena / Ona
13/01/2017;85;89;Buena / Ona;303;93;961,5;2,1;4,1;11,21;Buena / Ona
12/01/2017;60;76;Buena / Ona;270;99;960,4;4,1;8,5;8,46;Buena / Ona
11/01/2017;73;83;Buena / Ona;294;100;963,3;17,4;9;8,78;Buena / Ona
10/01/2017;78;83;Buena / Ona;299;98;959;19,2;6,7;9,9;Buena / Ona
09/01/2017;66;72;Buena / Ona;58;81;967,5;0;5,6;1,44;Buena / Ona
08/01/2017;73;87;Buena / Ona;34;58;971;0;4;3,4;Buena / Ona
07/01/2017;65;74;Buena / Ona;8;59;970,9;0;2,7;0,75;Buena / Ona
06/01/2017;62;68;Buena / Ona;87;75;969,9;0;1,7;3,62;Buena / Ona
05/01/2017;75;83;Buena / Ona;74;72;968,7;0;2,3;5,6;Buena / Ona
04/01/2017;63;79;Buena / Ona;17;53;966,4;0;5,3;0,79;Buena / Ona
03/01/2017;63;76;Buena / Ona;79;47;963,7;0;6,8;2,62;Buena / Ona
02/01/2017;65;70;Buena / Ona;145;42;959,7;0;7,5;3,65;Buena / Ona
01/01/2017;61;73;Buena / Ona;203;68;962;0;5,5;1,2;Buena / Ona
