Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;0,18;;Sin datos / Daturik gabe;7;18;39;Muy buena / Oso ona;29;28;44;Muy buena / Oso ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;33;80;1009,6;14,9;0,47;Muy buena / Oso ona
27/10/2017;0,22;0,28;Muy buena / Oso ona;15;27;48;Muy buena / Oso ona;50;20;35;Muy buena / Oso ona;24;Muy buena / Oso ona;5;Muy buena / Oso ona;21;79;1011,4;14,8;0,31;Muy buena / Oso ona
26/10/2017;0,25;;Sin datos / Daturik gabe;18;42;69;Buena / Ona;70;19;36;Muy buena / Oso ona;24;Muy buena / Oso ona;8;Muy buena / Oso ona;37;65;1005,5;17,2;0,69;Buena / Ona
25/10/2017;0,28;0,34;Muy buena / Oso ona;33;44;92;Buena / Ona;94;12;26;Muy buena / Oso ona;28;Buena / Ona;8;Muy buena / Oso ona;322;66;1001,3;17,2;0,24;Buena / Ona
24/10/2017;0,27;0,33;Muy buena / Oso ona;20;36;68;Buena / Ona;66;12;;Sin datos / Daturik gabe;19;Muy buena / Oso ona;5;Muy buena / Oso ona;351;67;1002,6;15,7;0,44;Buena / Ona
23/10/2017;0,18;0,24;Muy buena / Oso ona;12;27;43;Muy buena / Oso ona;46;15;35;Muy buena / Oso ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;27;73;1006,1;12,8;0,37;Muy buena / Oso ona
22/10/2017;0,15;;Sin datos / Daturik gabe;3;12;25;Muy buena / Oso ona;15;33;55;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;288;78;1008,3;13;0,46;Muy buena / Oso ona
21/10/2017;;;Sin datos / Daturik gabe;2;7;15;Muy buena / Oso ona;10;51;60;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;292;67;1003,5;16,8;1,03;Muy buena / Oso ona
20/10/2017;;;Sin datos / Daturik gabe;16;20;48;Muy buena / Oso ona;45;27;49;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;284;61;995,5;18,9;0,95;Muy buena / Oso ona
19/10/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;268;61;991,3;17,5;0,42;Sin datos / Daturik gabe
18/10/2017;0,19;0,33;Muy buena / Oso ona;7;18;42;Muy buena / Oso ona;29;18;29;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;301;85;990,4;14,8;0,69;Muy buena / Oso ona
17/10/2017;0,23;0,33;Muy buena / Oso ona;8;23;43;Muy buena / Oso ona;35;29;56;Muy buena / Oso ona;25;Muy buena / Oso ona;4;Muy buena / Oso ona;265;70;995,5;19,4;0,32;Muy buena / Oso ona
16/10/2017;0,18;0,21;Muy buena / Oso ona;7;20;41;Muy buena / Oso ona;31;49;56;Muy buena / Oso ona;28;Buena / Ona;4;Muy buena / Oso ona;55;63;1001;21,5;1,03;Buena / Ona
15/10/2017;0,15;0,18;Muy buena / Oso ona;3;7;21;Muy buena / Oso ona;11;54;58;Muy buena / Oso ona;21;Muy buena / Oso ona;3;Muy buena / Oso ona;288;55;1001,2;23,9;1,32;Muy buena / Oso ona
14/10/2017;0,2;0,29;Muy buena / Oso ona;3;11;16;Muy buena / Oso ona;16;46;71;Buena / Ona;32;Buena / Ona;4;Muy buena / Oso ona;293;67;1002,1;21,7;0,76;Buena / Ona
13/10/2017;0,26;0,3;Muy buena / Oso ona;12;29;59;Buena / Ona;47;29;50;Muy buena / Oso ona;37;Buena / Ona;5;Muy buena / Oso ona;73;74;1003,2;18,7;1,23;Buena / Ona
12/10/2017;0,21;0,25;Muy buena / Oso ona;4;20;37;Muy buena / Oso ona;26;24;50;Muy buena / Oso ona;25;Muy buena / Oso ona;5;Muy buena / Oso ona;30;75;1003,7;17,4;0,26;Muy buena / Oso ona
11/10/2017;0,23;0,28;Muy buena / Oso ona;17;26;55;Buena / Ona;52;22;49;Muy buena / Oso ona;27;Buena / Ona;5;Muy buena / Oso ona;43;75;1000,6;16,1;0,79;Buena / Ona
10/10/2017;0,22;0,27;Muy buena / Oso ona;17;28;45;Muy buena / Oso ona;54;14;35;Muy buena / Oso ona;21;Muy buena / Oso ona;7;Muy buena / Oso ona;56;76;1000;15,2;0,51;Muy buena / Oso ona
09/10/2017;0,19;0,24;Muy buena / Oso ona;13;27;44;Muy buena / Oso ona;46;20;41;Muy buena / Oso ona;19;Muy buena / Oso ona;7;Muy buena / Oso ona;45;72;1001,4;13,9;0,57;Muy buena / Oso ona
08/10/2017;0,19;0,24;Muy buena / Oso ona;6;17;27;Muy buena / Oso ona;27;28;56;Muy buena / Oso ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;44;73;1002,2;13,5;0,63;Muy buena / Oso ona
07/10/2017;0,16;0,19;Muy buena / Oso ona;5;17;27;Muy buena / Oso ona;25;25;49;Muy buena / Oso ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;32;77;1003,8;13,7;0,61;Muy buena / Oso ona
06/10/2017;0,18;0,22;Muy buena / Oso ona;7;14;30;Muy buena / Oso ona;25;30;48;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;12;84;1005,5;15,9;0,43;Muy buena / Oso ona
05/10/2017;0,21;0,23;Muy buena / Oso ona;7;15;30;Muy buena / Oso ona;26;28;46;Muy buena / Oso ona;17;Muy buena / Oso ona;5;Muy buena / Oso ona;355;82;1003,9;19,4;0,32;Muy buena / Oso ona
04/10/2017;0,19;0,22;Muy buena / Oso ona;16;24;43;Muy buena / Oso ona;49;11;27;Muy buena / Oso ona;20;Muy buena / Oso ona;7;Muy buena / Oso ona;71;77;1002,2;20,8;0,79;Muy buena / Oso ona
03/10/2017;0,22;;Sin datos / Daturik gabe;19;16;29;Muy buena / Oso ona;45;7;;Sin datos / Daturik gabe;14;Muy buena / Oso ona;5;Muy buena / Oso ona;58;82;1003,1;19,5;0,9;Muy buena / Oso ona
02/10/2017;0,27;0,32;Muy buena / Oso ona;22;17;36;Muy buena / Oso ona;52;5;13;Muy buena / Oso ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;351;86;1004,5;19,7;0,24;Muy buena / Oso ona
01/10/2017;0,21;;Sin datos / Daturik gabe;3;7;16;Muy buena / Oso ona;12;9;28;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;314;89;1003,3;16,8;0,52;Muy buena / Oso ona
30/09/2017;0,17;0,27;Muy buena / Oso ona;4;12;23;Muy buena / Oso ona;18;33;45;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;27;86;1001,9;17;0,45;Muy buena / Oso ona
29/09/2017;0,44;;Sin datos / Daturik gabe;23;36;66;Buena / Ona;71;35;;Sin datos / Daturik gabe;32;Buena / Ona;9;Muy buena / Oso ona;59;69;1000,8;21;1,27;Buena / Ona
28/09/2017;0,24;0,29;Muy buena / Oso ona;14;30;56;Buena / Ona;51;34;70;Buena / Ona;22;Muy buena / Oso ona;3;Muy buena / Oso ona;280;63;1000,1;21,1;0,53;Buena / Ona
27/09/2017;0,2;0,23;Muy buena / Oso ona;10;28;58;Buena / Ona;43;28;62;Buena / Ona;18;Muy buena / Oso ona;4;Muy buena / Oso ona;40;67;998,7;18,6;0,53;Buena / Ona
26/09/2017;0,16;0,2;Muy buena / Oso ona;6;17;32;Muy buena / Oso ona;27;26;50;Muy buena / Oso ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;25;75;1000,8;17,7;0,43;Muy buena / Oso ona
25/09/2017;0,18;0,23;Muy buena / Oso ona;4;10;21;Muy buena / Oso ona;16;31;51;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;306;79;1001,9;17,4;0,78;Muy buena / Oso ona
24/09/2017;0,24;0,29;Muy buena / Oso ona;4;20;57;Buena / Ona;26;35;65;Buena / Ona;21;Muy buena / Oso ona;5;Muy buena / Oso ona;59;72;998,1;20,1;0,63;Buena / Ona
23/09/2017;0,22;0,25;Muy buena / Oso ona;5;13;26;Muy buena / Oso ona;20;38;68;Buena / Ona;18;Muy buena / Oso ona;3;Muy buena / Oso ona;284;69;998,1;20,3;0,76;Buena / Ona
22/09/2017;0,19;;Sin datos / Daturik gabe;7;19;41;Muy buena / Oso ona;30;25;33;Muy buena / Oso ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;6;85;1001,3;16,7;0,27;Muy buena / Oso ona
21/09/2017;0,27;0,35;Muy buena / Oso ona;15;30;51;Buena / Ona;53;21;44;Muy buena / Oso ona;25;Muy buena / Oso ona;9;Muy buena / Oso ona;43;74;997,9;16,6;0,64;Buena / Ona
20/09/2017;0,22;0,25;Muy buena / Oso ona;15;29;35;Muy buena / Oso ona;51;22;50;Muy buena / Oso ona;23;Muy buena / Oso ona;6;Muy buena / Oso ona;33;69;999,1;15,9;0,3;Muy buena / Oso ona
19/09/2017;0,2;0,23;Muy buena / Oso ona;7;19;31;Muy buena / Oso ona;30;31;52;Muy buena / Oso ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;16;76;1004,2;15,5;0,34;Muy buena / Oso ona
18/09/2017;0,21;0,27;Muy buena / Oso ona;12;22;44;Muy buena / Oso ona;40;17;31;Muy buena / Oso ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;330;87;999,7;15,2;0,16;Muy buena / Oso ona
17/09/2017;;;Sin datos / Daturik gabe;3;8;18;Muy buena / Oso ona;12;32;57;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;344;71;997,6;14,9;0,57;Muy buena / Oso ona
16/09/2017;;;Sin datos / Daturik gabe;4;8;17;Muy buena / Oso ona;14;30;52;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;313;80;996,8;12,5;0,57;Muy buena / Oso ona
15/09/2017;0,16;;Sin datos / Daturik gabe;7;12;32;Muy buena / Oso ona;23;23;44;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;296;85;998,1;12,6;0,72;Muy buena / Oso ona
14/09/2017;0,16;0,19;Muy buena / Oso ona;6;16;43;Muy buena / Oso ona;24;35;54;Muy buena / Oso ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;302;73;1001,6;16,2;0,77;Muy buena / Oso ona
13/09/2017;0,23;0,32;Muy buena / Oso ona;16;24;38;Muy buena / Oso ona;47;17;34;Muy buena / Oso ona;17;Muy buena / Oso ona;7;Muy buena / Oso ona;65;74;1000,3;19,1;1,25;Muy buena / Oso ona
12/09/2017;0,19;0,23;Muy buena / Oso ona;7;20;40;Muy buena / Oso ona;31;28;50;Muy buena / Oso ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;33;79;998,9;17,3;0,4;Muy buena / Oso ona
11/09/2017;0,18;;Sin datos / Daturik gabe;4;8;21;Muy buena / Oso ona;14;38;53;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;298;77;994,6;17,5;1,24;Muy buena / Oso ona
10/09/2017;0,14;0,16;Muy buena / Oso ona;2;6;13;Muy buena / Oso ona;9;38;56;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;300;76;994,1;16,6;0,79;Muy buena / Oso ona
09/09/2017;0,17;0,2;Muy buena / Oso ona;2;7;30;Muy buena / Oso ona;11;38;48;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;290;79;990,8;15,9;1,12;Muy buena / Oso ona
08/09/2017;0,2;;Sin datos / Daturik gabe;9;24;35;Muy buena / Oso ona;38;22;40;Muy buena / Oso ona;19;Muy buena / Oso ona;6;Muy buena / Oso ona;53;70;994,6;17,5;0,64;Muy buena / Oso ona
07/09/2017;0,17;0,2;Muy buena / Oso ona;6;14;29;Muy buena / Oso ona;23;31;48;Muy buena / Oso ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;17;71;1002;17,8;0,54;Muy buena / Oso ona
06/09/2017;0,2;0,26;Muy buena / Oso ona;8;15;35;Muy buena / Oso ona;27;27;44;Muy buena / Oso ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;319;81;1006;18;0,44;Muy buena / Oso ona
05/09/2017;0,24;0,31;Muy buena / Oso ona;13;19;34;Muy buena / Oso ona;38;24;44;Muy buena / Oso ona;17;Muy buena / Oso ona;7;Muy buena / Oso ona;38;75;1002,6;20,2;0,6;Muy buena / Oso ona
04/09/2017;0,23;0,32;Muy buena / Oso ona;11;23;39;Muy buena / Oso ona;40;14;28;Muy buena / Oso ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;57;80;997,1;19,9;1,13;Muy buena / Oso ona
03/09/2017;0,21;;Sin datos / Daturik gabe;4;16;27;Muy buena / Oso ona;22;32;68;Buena / Ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;23;69;995;19,8;0,53;Buena / Ona
02/09/2017;0,19;0,23;Muy buena / Oso ona;5;12;21;Muy buena / Oso ona;19;38;66;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;48;69;1002,9;17,6;0,45;Buena / Ona
01/09/2017;0,16;;Sin datos / Daturik gabe;5;9;28;Muy buena / Oso ona;17;39;62;Buena / Ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;315;72;1003,1;17,2;1;Buena / Ona
31/08/2017;;0,22;Muy buena / Oso ona;7;14;33;Muy buena / Oso ona;25;38;51;Muy buena / Oso ona;9;Muy buena / Oso ona;6;Muy buena / Oso ona;30;74;1001,4;17,5;0,55;Muy buena / Oso ona
30/08/2017;0,19;0,23;Muy buena / Oso ona;6;14;34;Muy buena / Oso ona;23;35;52;Muy buena / Oso ona;17;Muy buena / Oso ona;5;Muy buena / Oso ona;337;85;995;19,3;0,38;Muy buena / Oso ona
29/08/2017;0,17;0,2;Muy buena / Oso ona;8;18;35;Muy buena / Oso ona;31;36;64;Buena / Ona;17;Muy buena / Oso ona;5;Muy buena / Oso ona;48;77;993,6;21,1;0,56;Buena / Ona
28/08/2017;0,17;0,2;Muy buena / Oso ona;9;15;29;Muy buena / Oso ona;28;20;34;Muy buena / Oso ona;17;Muy buena / Oso ona;5;Muy buena / Oso ona;291;82;994,9;20,3;0,84;Muy buena / Oso ona
27/08/2017;0,24;0,35;Muy buena / Oso ona;4;12;22;Muy buena / Oso ona;18;24;35;Muy buena / Oso ona;18;Muy buena / Oso ona;5;Muy buena / Oso ona;296;73;994,5;21,9;0,84;Muy buena / Oso ona
26/08/2017;0,25;0,3;Muy buena / Oso ona;4;19;46;Muy buena / Oso ona;25;37;54;Muy buena / Oso ona;21;Muy buena / Oso ona;7;Muy buena / Oso ona;67;72;993,7;23,4;1,02;Muy buena / Oso ona
25/08/2017;0,22;0,25;Muy buena / Oso ona;8;19;30;Muy buena / Oso ona;31;34;51;Muy buena / Oso ona;16;Muy buena / Oso ona;8;Muy buena / Oso ona;66;76;995,4;21,8;1,15;Muy buena / Oso ona
24/08/2017;0,2;0,24;Muy buena / Oso ona;6;18;40;Muy buena / Oso ona;28;38;53;Muy buena / Oso ona;21;Muy buena / Oso ona;8;Muy buena / Oso ona;74;77;996;21,6;1,07;Muy buena / Oso ona
23/08/2017;0,19;0,24;Muy buena / Oso ona;9;17;34;Muy buena / Oso ona;30;30;46;Muy buena / Oso ona;23;Muy buena / Oso ona;7;Muy buena / Oso ona;60;74;997,5;21;1,09;Muy buena / Oso ona
22/08/2017;0,25;0,34;Muy buena / Oso ona;7;24;56;Buena / Ona;35;53;70;Buena / Ona;30;Buena / Ona;7;Muy buena / Oso ona;59;61;995,4;24,1;2,11;Buena / Ona
21/08/2017;0,19;;Sin datos / Daturik gabe;7;25;39;Muy buena / Oso ona;37;45;88;Buena / Ona;15;Muy buena / Oso ona;7;Muy buena / Oso ona;59;60;996,2;23,1;0,82;Buena / Ona
20/08/2017;;;Sin datos / Daturik gabe;6;14;30;Muy buena / Oso ona;24;33;55;Muy buena / Oso ona;10;Muy buena / Oso ona;7;Muy buena / Oso ona;60;67;1003,8;18,8;0,98;Muy buena / Oso ona
19/08/2017;0,18;0,21;Muy buena / Oso ona;6;11;28;Muy buena / Oso ona;20;37;50;Muy buena / Oso ona;9;Muy buena / Oso ona;6;Muy buena / Oso ona;46;74;1003,2;19,8;0,92;Muy buena / Oso ona
18/08/2017;0,21;0,23;Muy buena / Oso ona;6;18;35;Muy buena / Oso ona;27;32;48;Muy buena / Oso ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;40;79;1000,7;20,6;0,62;Muy buena / Oso ona
17/08/2017;0,2;0,24;Muy buena / Oso ona;11;23;48;Muy buena / Oso ona;40;32;60;Muy buena / Oso ona;13;Muy buena / Oso ona;10;Muy buena / Oso ona;59;69;999,8;21;1,31;Muy buena / Oso ona
16/08/2017;0,17;0,21;Muy buena / Oso ona;7;16;34;Muy buena / Oso ona;27;33;57;Muy buena / Oso ona;12;Muy buena / Oso ona;8;Muy buena / Oso ona;40;68;1001,4;21,3;0,87;Muy buena / Oso ona
15/08/2017;0,21;0,31;Muy buena / Oso ona;5;17;25;Muy buena / Oso ona;25;29;33;Muy buena / Oso ona;16;Muy buena / Oso ona;6;Muy buena / Oso ona;59;79;999,4;20,3;1,32;Muy buena / Oso ona
14/08/2017;0,25;0,3;Muy buena / Oso ona;6;24;54;Buena / Ona;32;41;73;Buena / Ona;19;Muy buena / Oso ona;6;Muy buena / Oso ona;92;65;993,6;24,3;0,58;Buena / Ona
13/08/2017;;;Sin datos / Daturik gabe;5;13;26;Muy buena / Oso ona;21;35;56;Muy buena / Oso ona;12;Muy buena / Oso ona;7;Muy buena / Oso ona;63;71;999,1;19;0,99;Muy buena / Oso ona
12/08/2017;0,15;;Sin datos / Daturik gabe;9;17;51;Buena / Ona;31;35;61;Buena / Ona;11;Muy buena / Oso ona;12;Muy buena / Oso ona;56;62;1002,8;17,9;0,97;Buena / Ona
11/08/2017;;;Sin datos / Daturik gabe;7;14;26;Muy buena / Oso ona;24;38;63;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;347;69;1004,8;17,1;0,33;Buena / Ona
10/08/2017;0,14;;Sin datos / Daturik gabe;3;9;22;Muy buena / Oso ona;15;36;55;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;299;78;1006,1;15,8;1,01;Muy buena / Oso ona
09/08/2017;0,13;0,14;Muy buena / Oso ona;3;8;17;Muy buena / Oso ona;13;45;61;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;296;71;1001,8;16,4;1,13;Buena / Ona
08/08/2017;0,13;;Sin datos / Daturik gabe;3;9;22;Muy buena / Oso ona;14;49;63;Buena / Ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;304;68;999,2;17,5;0,92;Buena / Ona
07/08/2017;0,14;0,17;Muy buena / Oso ona;4;9;23;Muy buena / Oso ona;15;51;62;Buena / Ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;306;71;995,3;20,2;1,15;Buena / Ona
06/08/2017;0,13;0,16;Muy buena / Oso ona;4;14;34;Muy buena / Oso ona;20;43;57;Muy buena / Oso ona;10;Muy buena / Oso ona;8;Muy buena / Oso ona;44;67;1001,8;19,6;0,56;Muy buena / Oso ona
05/08/2017;0,17;0,18;Muy buena / Oso ona;3;12;21;Muy buena / Oso ona;17;32;43;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;352;85;1001,1;19,2;0,34;Muy buena / Oso ona
04/08/2017;0,19;0,21;Muy buena / Oso ona;7;16;35;Muy buena / Oso ona;26;38;56;Muy buena / Oso ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;39;63;997,4;25,4;0,77;Muy buena / Oso ona
03/08/2017;0,18;0,22;Muy buena / Oso ona;12;25;54;Buena / Ona;43;39;61;Buena / Ona;19;Muy buena / Oso ona;10;Muy buena / Oso ona;58;67;998,2;22,7;0,69;Buena / Ona
02/08/2017;0,19;0,23;Muy buena / Oso ona;14;26;50;Muy buena / Oso ona;47;32;51;Muy buena / Oso ona;17;Muy buena / Oso ona;9;Muy buena / Oso ona;55;71;997,8;21,9;1,35;Muy buena / Oso ona
01/08/2017;0,16;0,2;Muy buena / Oso ona;9;15;35;Muy buena / Oso ona;28;28;39;Muy buena / Oso ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;42;77;996,5;20,1;0,73;Muy buena / Oso ona
31/07/2017;0,18;0,2;Muy buena / Oso ona;4;12;28;Muy buena / Oso ona;18;28;35;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;331;82;993,5;18,6;0,39;Muy buena / Oso ona
30/07/2017;0,18;0,23;Muy buena / Oso ona;6;13;24;Muy buena / Oso ona;23;27;45;Muy buena / Oso ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;42;77;995;19,7;0,69;Muy buena / Oso ona
29/07/2017;0,16;0,2;Muy buena / Oso ona;6;17;41;Muy buena / Oso ona;27;39;68;Buena / Ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;54;59;994,8;23,5;0,89;Buena / Ona
28/07/2017;0,22;0,24;Muy buena / Oso ona;13;24;42;Muy buena / Oso ona;44;27;39;Muy buena / Oso ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;64;77;997,6;21,4;1,65;Muy buena / Oso ona
27/07/2017;0,21;0,25;Muy buena / Oso ona;15;29;48;Muy buena / Oso ona;52;28;45;Muy buena / Oso ona;24;Muy buena / Oso ona;10;Muy buena / Oso ona;66;71;995,7;21,4;1,97;Muy buena / Oso ona
26/07/2017;0,19;0,23;Muy buena / Oso ona;10;22;47;Muy buena / Oso ona;38;35;61;Buena / Ona;19;Muy buena / Oso ona;6;Muy buena / Oso ona;56;71;997,2;19,8;1,16;Buena / Ona
25/07/2017;0,13;0,15;Muy buena / Oso ona;2;6;13;Muy buena / Oso ona;9;39;56;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;305;76;1001,4;17,8;0,92;Muy buena / Oso ona
24/07/2017;0,15;0,17;Muy buena / Oso ona;4;7;19;Muy buena / Oso ona;13;29;38;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;280;85;1002,4;18,4;1,04;Muy buena / Oso ona
