Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Tº (ºC);V.vien (m/s);ICA Estación
14/04/2017;0,2;0,23;Muy buena / Oso ona;4;22;35;Muy buena / Oso ona;28;48;73;Buena / Ona;26;Buena / Ona;9;Muy buena / Oso ona;53;76;1000,6;12,3;0,77;Buena / Ona
13/04/2017;0,17;0,22;Muy buena / Oso ona;5;25;49;Muy buena / Oso ona;32;49;86;Buena / Ona;21;Muy buena / Oso ona;8;Muy buena / Oso ona;64;67;998,2;13,9;1,13;Buena / Ona
12/04/2017;0,19;0,23;Muy buena / Oso ona;5;23;37;Muy buena / Oso ona;31;55;81;Buena / Ona;24;Muy buena / Oso ona;6;Muy buena / Oso ona;56;68;1000,7;14,2;1,05;Buena / Ona
11/04/2017;0,21;;Sin datos / Daturik gabe;5;19;35;Muy buena / Oso ona;27;73;82;Buena / Ona;24;Muy buena / Oso ona;10;Muy buena / Oso ona;47;66;1004,9;14,2;0,91;Buena / Ona
10/04/2017;0,33;0,44;Muy buena / Oso ona;13;39;57;Buena / Ona;58;44;77;Buena / Ona;66;Mala / Txarra;16;Muy buena / Oso ona;67;77;1004,6;13,6;1,64;Mala / Txarra
09/04/2017;0,24;0,3;Muy buena / Oso ona;5;28;61;Buena / Ona;35;58;100;Buena / Ona;28;Buena / Ona;10;Muy buena / Oso ona;58;58;1000,2;17;0,37;Buena / Ona
08/04/2017;0,22;0,27;Muy buena / Oso ona;7;24;53;Buena / Ona;35;59;102;Mejorable / Hobetzeko modukoa;27;Buena / Ona;6;Muy buena / Oso ona;318;54;997,4;17,9;0,27;Mejorable / Hobetzeko modukoa
07/04/2017;0,21;0,24;Muy buena / Oso ona;10;30;49;Muy buena / Oso ona;44;43;75;Buena / Ona;35;Buena / Ona;8;Muy buena / Oso ona;58;71;1000,2;12,8;0,83;Buena / Ona
06/04/2017;0,2;0,27;Muy buena / Oso ona;11;24;56;Buena / Ona;41;52;80;Buena / Ona;35;Buena / Ona;5;Muy buena / Oso ona;340;71;1004,7;12,7;0,55;Buena / Ona
05/04/2017;0,17;0,21;Muy buena / Oso ona;6;16;53;Buena / Ona;26;61;71;Buena / Ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;308;77;1006,5;11,8;0,67;Buena / Ona
04/04/2017;;0,17;Muy buena / Oso ona;4;13;38;Muy buena / Oso ona;20;64;82;Buena / Ona;20;Muy buena / Oso ona;8;Muy buena / Oso ona;288;71;1007,1;12,4;0,85;Buena / Ona
03/04/2017;0,2;0,23;Muy buena / Oso ona;11;24;43;Muy buena / Oso ona;42;43;69;Buena / Ona;22;Muy buena / Oso ona;8;Muy buena / Oso ona;50;69;1004,4;12;0,23;Buena / Ona
02/04/2017;0,16;;Sin datos / Daturik gabe;2;8;18;Muy buena / Oso ona;12;64;87;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;304;76;1004,1;10;0,75;Buena / Ona
01/04/2017;0,16;0,21;Muy buena / Oso ona;3;8;23;Muy buena / Oso ona;12;63;87;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;291;76;1000,4;11,1;1,44;Buena / Ona
31/03/2017;0,17;0,23;Muy buena / Oso ona;8;26;75;Buena / Ona;38;54;80;Buena / Ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;287;65;997,2;15,5;0,19;Buena / Ona
30/03/2017;0,2;0,27;Muy buena / Oso ona;11;28;67;Buena / Ona;44;60;85;Buena / Ona;19;Muy buena / Oso ona;6;Muy buena / Oso ona;207;49;998,9;18,8;0,8;Buena / Ona
29/03/2017;0,19;0,27;Muy buena / Oso ona;13;29;68;Buena / Ona;49;41;78;Buena / Ona;18;Muy buena / Oso ona;6;Muy buena / Oso ona;267;56;1003,3;16,2;0,55;Buena / Ona
28/03/2017;0,24;0,32;Muy buena / Oso ona;10;23;57;Buena / Ona;38;52;86;Buena / Ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;261;57;1004;14,4;0,77;Buena / Ona
27/03/2017;0,19;0,22;Muy buena / Oso ona;8;22;48;Muy buena / Oso ona;34;64;89;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;212;53;995,6;14,7;0,94;Buena / Ona
26/03/2017;0,14;0,24;Muy buena / Oso ona;3;9;14;Muy buena / Oso ona;14;74;88;Buena / Ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;151;58;992,4;12,9;1,39;Buena / Ona
25/03/2017;0,22;0,24;Muy buena / Oso ona;4;15;41;Muy buena / Oso ona;22;58;66;Buena / Ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;284;86;992,1;7;0,83;Buena / Ona
24/03/2017;0,19;0,28;Muy buena / Oso ona;13;30;61;Buena / Ona;50;45;73;Buena / Ona;13;Muy buena / Oso ona;7;Muy buena / Oso ona;33;61;994,5;8,1;0,57;Buena / Ona
23/03/2017;0,19;0,23;Muy buena / Oso ona;10;26;51;Buena / Ona;41;48;79;Buena / Ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;249;62;988,8;6,7;1,02;Buena / Ona
22/03/2017;0,23;0,26;Muy buena / Oso ona;10;28;54;Buena / Ona;43;44;61;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;27;76;989,9;7,5;0,28;Buena / Ona
21/03/2017;0,22;0,3;Muy buena / Oso ona;3;15;30;Muy buena / Oso ona;19;52;82;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;297;79;997,7;9,7;0,93;Buena / Ona
20/03/2017;0,24;0,3;Muy buena / Oso ona;9;26;50;Muy buena / Oso ona;41;47;64;Buena / Ona;24;Muy buena / Oso ona;9;Muy buena / Oso ona;71;72;997,9;10,8;0,51;Buena / Ona
19/03/2017;0,17;0,22;Muy buena / Oso ona;4;17;28;Muy buena / Oso ona;24;47;66;Buena / Ona;20;Muy buena / Oso ona;8;Muy buena / Oso ona;62;75;1000,9;10,2;1,53;Buena / Ona
18/03/2017;0,19;0,22;Muy buena / Oso ona;4;17;32;Muy buena / Oso ona;23;55;64;Buena / Ona;22;Muy buena / Oso ona;9;Muy buena / Oso ona;58;68;1004,5;11,8;0,89;Buena / Ona
17/03/2017;0,24;0,3;Muy buena / Oso ona;10;36;51;Buena / Ona;52;41;58;Muy buena / Oso ona;;Sin datos / Daturik gabe;11;Muy buena / Oso ona;68;72;1003,4;11,8;1,6;Buena / Ona
16/03/2017;0,2;0,25;Muy buena / Oso ona;8;25;50;Muy buena / Oso ona;37;53;83;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;278;49;1000;16,8;1,14;Buena / Ona
15/03/2017;0,22;0,3;Muy buena / Oso ona;6;23;47;Muy buena / Oso ona;33;38;61;Buena / Ona;;Sin datos / Daturik gabe;7;Muy buena / Oso ona;59;75;1007;12,8;0,63;Buena / Ona
14/03/2017;0,24;0,3;Muy buena / Oso ona;11;24;52;Buena / Ona;42;37;55;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;3;78;1012,2;12,1;0,29;Buena / Ona
13/03/2017;0,17;0,21;Muy buena / Oso ona;6;15;31;Muy buena / Oso ona;24;64;79;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;335;80;1008,2;10,1;0,98;Buena / Ona
12/03/2017;0,17;0,2;Muy buena / Oso ona;2;4;15;Muy buena / Oso ona;7;73;77;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;289;76;1001;10,8;1,63;Buena / Ona
11/03/2017;0,22;0,33;Muy buena / Oso ona;9;26;50;Muy buena / Oso ona;39;49;76;Buena / Ona;;Sin datos / Daturik gabe;11;Muy buena / Oso ona;8;63;997,3;15,2;0,65;Buena / Ona
10/03/2017;0,27;0,34;Muy buena / Oso ona;29;46;61;Buena / Ona;90;26;61;Buena / Ona;;Sin datos / Daturik gabe;8;Muy buena / Oso ona;34;61;1000,2;16,4;0,25;Buena / Ona
09/03/2017;0,24;0,27;Muy buena / Oso ona;19;34;70;Buena / Ona;64;17;42;Muy buena / Oso ona;;Sin datos / Daturik gabe;9;Muy buena / Oso ona;64;76;1005,4;13,8;0,56;Buena / Ona
08/03/2017;0,19;0,25;Muy buena / Oso ona;11;22;40;Muy buena / Oso ona;40;34;47;Muy buena / Oso ona;;Sin datos / Daturik gabe;7;Muy buena / Oso ona;67;73;1007,4;14,4;1,37;Muy buena / Oso ona
07/03/2017;0,22;0,24;Muy buena / Oso ona;7;22;42;Muy buena / Oso ona;33;37;62;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;295;77;1006,5;12,2;0,99;Buena / Ona
06/03/2017;0,19;0,31;Muy buena / Oso ona;5;14;37;Muy buena / Oso ona;22;58;79;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;298;67;1001,7;13,9;1,61;Buena / Ona
05/03/2017;0,21;0,33;Muy buena / Oso ona;3;15;34;Muy buena / Oso ona;20;48;70;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;335;69;993,7;12,5;0,39;Buena / Ona
04/03/2017;0,21;0,3;Muy buena / Oso ona;3;15;30;Muy buena / Oso ona;20;48;77;Buena / Ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;299;68;985;7,7;0,91;Buena / Ona
03/03/2017;0,23;0,3;Muy buena / Oso ona;9;27;55;Buena / Ona;41;50;57;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;231;64;981,6;12,6;0,31;Buena / Ona
02/03/2017;0,23;0,32;Muy buena / Oso ona;18;29;54;Buena / Ona;56;33;56;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;261;63;995,6;13,4;0,75;Buena / Ona
01/03/2017;0,2;0,23;Muy buena / Oso ona;12;26;51;Buena / Ona;44;33;60;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;260;68;996,8;10,5;0,7;Buena / Ona
28/02/2017;0,17;0,2;Muy buena / Oso ona;3;11;27;Muy buena / Oso ona;17;60;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;282;70;991,9;9,9;1,9;Muy buena / Oso ona
27/02/2017;0,2;0,28;Muy buena / Oso ona;7;23;49;Muy buena / Oso ona;33;48;72;Buena / Ona;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;266;60;990,5;13,3;0,74;Buena / Ona
26/02/2017;0,25;0,37;Muy buena / Oso ona;9;26;43;Muy buena / Oso ona;40;27;58;Muy buena / Oso ona;;Sin datos / Daturik gabe;10;Muy buena / Oso ona;55;73;999;10,7;0,56;Muy buena / Oso ona
25/02/2017;0,26;0,33;Muy buena / Oso ona;7;27;44;Muy buena / Oso ona;38;26;56;Muy buena / Oso ona;;Sin datos / Daturik gabe;7;Muy buena / Oso ona;327;68;999,8;9,5;0,32;Muy buena / Oso ona
24/02/2017;0,26;0,3;Muy buena / Oso ona;9;25;44;Muy buena / Oso ona;38;47;62;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;357;78;1000,6;9,3;0,32;Buena / Ona
23/02/2017;0,34;0,46;Muy buena / Oso ona;24;40;59;Buena / Ona;78;18;28;Muy buena / Oso ona;;Sin datos / Daturik gabe;11;Muy buena / Oso ona;68;78;996,3;10,3;1,08;Buena / Ona
22/02/2017;0,28;0,32;Muy buena / Oso ona;20;40;71;Buena / Ona;71;15;32;Muy buena / Oso ona;;Sin datos / Daturik gabe;8;Muy buena / Oso ona;81;73;1000,6;11,8;0,29;Buena / Ona
21/02/2017;0,28;0,32;Muy buena / Oso ona;15;35;48;Muy buena / Oso ona;58;20;46;Muy buena / Oso ona;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;4;75;1005,9;10,3;0,37;Muy buena / Oso ona
20/02/2017;0,24;0,37;Muy buena / Oso ona;8;27;43;Muy buena / Oso ona;39;31;64;Buena / Ona;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;29;74;1007,9;10,6;0,45;Buena / Ona
19/02/2017;0,26;0,33;Muy buena / Oso ona;4;18;37;Muy buena / Oso ona;23;44;61;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;33;80;1007,2;10,8;0,4;Buena / Ona
18/02/2017;0,25;0,28;Muy buena / Oso ona;8;26;45;Muy buena / Oso ona;39;35;63;Buena / Ona;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;31;75;1001,8;9,8;0,46;Buena / Ona
17/02/2017;0,26;0,32;Muy buena / Oso ona;16;33;68;Buena / Ona;57;22;52;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;293;69;1006,1;11,1;0,43;Buena / Ona
16/02/2017;0,21;0,24;Muy buena / Oso ona;10;30;51;Buena / Ona;45;35;59;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;269;64;1009,5;12,7;1,15;Buena / Ona
15/02/2017;0,2;0,25;Muy buena / Oso ona;9;24;56;Buena / Ona;38;37;57;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;286;60;1008,7;13;0,75;Buena / Ona
14/02/2017;0,23;0,37;Muy buena / Oso ona;15;25;57;Buena / Ona;48;36;58;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;236;62;999,7;11,6;0,6;Buena / Ona
13/02/2017;0,23;0,32;Muy buena / Oso ona;8;19;45;Muy buena / Oso ona;32;51;78;Buena / Ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;130;63;985,5;12,9;2,49;Buena / Ona
12/02/2017;0,23;0,36;Muy buena / Oso ona;4;16;32;Muy buena / Oso ona;22;49;76;Buena / Ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;113;70;983,9;11,3;2,15;Buena / Ona
11/02/2017;0,31;0,37;Muy buena / Oso ona;14;34;67;Buena / Ona;55;17;29;Muy buena / Oso ona;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;58;80;993,6;7;0,12;Buena / Ona
10/02/2017;0,22;0,32;Muy buena / Oso ona;11;26;49;Muy buena / Oso ona;43;43;62;Buena / Ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;286;53;991,1;9,8;0,89;Buena / Ona
09/02/2017;0,21;0,24;Muy buena / Oso ona;10;25;50;Muy buena / Oso ona;41;31;50;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;266;73;997,5;7,6;0,66;Muy buena / Oso ona
08/02/2017;0,19;0,24;Muy buena / Oso ona;4;13;35;Muy buena / Oso ona;19;59;71;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;276;84;1007,6;6,6;1,04;Buena / Ona
07/02/2017;0,23;0,39;Muy buena / Oso ona;11;18;53;Buena / Ona;34;45;69;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;275;83;1002,9;9,9;1,07;Buena / Ona
06/02/2017;0,26;0,37;Muy buena / Oso ona;11;20;36;Muy buena / Oso ona;36;27;75;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;293;88;1003,4;9,1;0,61;Buena / Ona
05/02/2017;0,19;0,25;Muy buena / Oso ona;2;4;11;Muy buena / Oso ona;7;76;82;Buena / Ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;279;69;993,9;8,7;2,3;Buena / Ona
04/02/2017;0,22;0,27;Muy buena / Oso ona;4;13;42;Muy buena / Oso ona;20;53;74;Buena / Ona;;Sin datos / Daturik gabe;7;Muy buena / Oso ona;287;71;986,5;12,7;1,65;Buena / Ona
03/02/2017;0,15;0,21;Muy buena / Oso ona;6;11;36;Muy buena / Oso ona;20;78;82;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;244;43;986,3;14,7;2,43;Buena / Ona
02/02/2017;0,19;0,21;Muy buena / Oso ona;7;12;26;Muy buena / Oso ona;22;72;80;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;225;46;986,8;14,7;2,5;Buena / Ona
01/02/2017;0,2;0,3;Muy buena / Oso ona;13;23;61;Buena / Ona;43;45;55;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;250;51;992,2;15,5;0,83;Buena / Ona
31/01/2017;0,24;0,31;Muy buena / Oso ona;14;24;41;Muy buena / Oso ona;45;28;35;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;252;57;993,4;14,1;0,36;Muy buena / Oso ona
30/01/2017;0,31;0,43;Muy buena / Oso ona;40;33;75;Buena / Ona;94;14;24;Muy buena / Oso ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;272;71;997,3;13,7;0,54;Buena / Ona
29/01/2017;0,27;0,36;Muy buena / Oso ona;9;20;51;Buena / Ona;34;24;52;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;270;76;999,9;9,6;0,91;Buena / Ona
28/01/2017;0,28;0,33;Muy buena / Oso ona;8;23;41;Muy buena / Oso ona;35;28;55;Muy buena / Oso ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;296;71;999,8;7,3;0,53;Muy buena / Oso ona
27/01/2017;0,27;0,33;Muy buena / Oso ona;10;23;47;Muy buena / Oso ona;39;52;63;Buena / Ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;153;58;987,9;10,2;1,93;Buena / Ona
26/01/2017;0,29;0,42;Muy buena / Oso ona;14;34;53;Buena / Ona;55;36;51;Muy buena / Oso ona;26;Buena / Ona;5;Muy buena / Oso ona;236;60;991,4;8,1;0,39;Buena / Ona
25/01/2017;0,36;0,51;Muy buena / Oso ona;19;42;72;Buena / Ona;70;18;43;Muy buena / Oso ona;26;Buena / Ona;6;Muy buena / Oso ona;27;76;1001,8;5,1;0,32;Buena / Ona
24/01/2017;0,36;0,46;Muy buena / Oso ona;18;33;56;Buena / Ona;61;22;50;Muy buena / Oso ona;25;Muy buena / Oso ona;5;Muy buena / Oso ona;320;78;1006,1;5;0,48;Buena / Ona
23/01/2017;0,35;0,45;Muy buena / Oso ona;21;31;65;Buena / Ona;64;28;59;Muy buena / Oso ona;22;Muy buena / Oso ona;4;Muy buena / Oso ona;331;75;1003;7,4;0,5;Buena / Ona
22/01/2017;0,39;0,6;Muy buena / Oso ona;10;25;40;Muy buena / Oso ona;40;24;45;Muy buena / Oso ona;24;Muy buena / Oso ona;5;Muy buena / Oso ona;250;78;1001,1;6,7;0,58;Muy buena / Oso ona
21/01/2017;0,44;0,58;Muy buena / Oso ona;20;34;59;Buena / Ona;65;10;23;Muy buena / Oso ona;29;Buena / Ona;6;Muy buena / Oso ona;308;78;1000,8;5,9;0,27;Buena / Ona
20/01/2017;0,4;0,54;Muy buena / Oso ona;33;38;55;Buena / Ona;88;6;14;Muy buena / Oso ona;31;Buena / Ona;7;Muy buena / Oso ona;306;77;1002,8;4,9;0,26;Buena / Ona
19/01/2017;0,34;0,39;Muy buena / Oso ona;25;38;55;Buena / Ona;77;11;20;Muy buena / Oso ona;24;Muy buena / Oso ona;21;Muy buena / Oso ona;68;78;1004,7;2,8;0,34;Buena / Ona
18/01/2017;0,35;0,43;Muy buena / Oso ona;32;45;65;Buena / Ona;94;16;60;Muy buena / Oso ona;23;Muy buena / Oso ona;13;Muy buena / Oso ona;66;72;1005,5;2;1,01;Buena / Ona
17/01/2017;0,21;0,24;Muy buena / Oso ona;11;19;47;Muy buena / Oso ona;36;53;56;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;42;58;1006,3;5,5;1,58;Muy buena / Oso ona
16/01/2017;0,19;0,22;Muy buena / Oso ona;7;17;40;Muy buena / Oso ona;28;60;71;Buena / Ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;335;85;1005,7;9,9;1,4;Buena / Ona
15/01/2017;0,17;0,25;Muy buena / Oso ona;3;12;22;Muy buena / Oso ona;17;61;66;Buena / Ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;257;86;1009;8;0,89;Buena / Ona
14/01/2017;0,21;0,28;Muy buena / Oso ona;7;19;54;Buena / Ona;30;46;54;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;274;88;1008,1;5,3;0,54;Buena / Ona
13/01/2017;0,2;0,26;Muy buena / Oso ona;6;15;37;Muy buena / Oso ona;24;56;64;Buena / Ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;284;83;1003,9;6,4;1,02;Buena / Ona
12/01/2017;0,25;0,31;Muy buena / Oso ona;20;22;44;Muy buena / Oso ona;52;18;30;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;267;85;1001;10,8;0,81;Muy buena / Oso ona
11/01/2017;0,22;0,3;Muy buena / Oso ona;9;23;64;Buena / Ona;36;35;58;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;255;91;1004,1;11,8;1,22;Buena / Ona
10/01/2017;0,29;0,5;Muy buena / Oso ona;17;29;65;Buena / Ona;54;36;54;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;293;87;1000,7;8,7;0,76;Buena / Ona
09/01/2017;0,39;0,46;Muy buena / Oso ona;23;32;48;Muy buena / Oso ona;67;13;29;Muy buena / Oso ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;296;76;1008,5;7,3;0,33;Muy buena / Oso ona
08/01/2017;0,31;0,42;Muy buena / Oso ona;10;31;44;Muy buena / Oso ona;47;18;38;Muy buena / Oso ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;344;70;1012,3;8,5;0,13;Muy buena / Oso ona
07/01/2017;0,32;0,53;Muy buena / Oso ona;12;32;47;Muy buena / Oso ona;51;11;26;Muy buena / Oso ona;19;Muy buena / Oso ona;5;Muy buena / Oso ona;323;72;1012,4;;0,22;Muy buena / Oso ona
06/01/2017;0,37;0,54;Muy buena / Oso ona;12;30;38;Muy buena / Oso ona;49;11;27;Muy buena / Oso ona;21;Muy buena / Oso ona;5;Muy buena / Oso ona;301;78;1011,7;;0,28;Muy buena / Oso ona
05/01/2017;0,41;0,58;Muy buena / Oso ona;29;39;60;Buena / Ona;84;13;32;Muy buena / Oso ona;24;Muy buena / Oso ona;7;Muy buena / Oso ona;61;78;1009,9;4;0,44;Buena / Ona
04/01/2017;0,47;0,64;Muy buena / Oso ona;48;32;50;Muy buena / Oso ona;105;4;7;Muy buena / Oso ona;36;Buena / Ona;10;Muy buena / Oso ona;355;82;1007,3;5,4;0,25;Buena / Ona
03/01/2017;0,43;0,6;Muy buena / Oso ona;47;33;49;Muy buena / Oso ona;104;4;9;Muy buena / Oso ona;36;Buena / Ona;10;Muy buena / Oso ona;333;78;1004,3;4,5;0,19;Buena / Ona
02/01/2017;0,28;0,4;Muy buena / Oso ona;13;22;38;Muy buena / Oso ona;41;22;34;Muy buena / Oso ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;274;69;1000,5;5,2;0,77;Muy buena / Oso ona
01/01/2017;0,29;0,41;Muy buena / Oso ona;6;16;28;Muy buena / Oso ona;25;14;24;Muy buena / Oso ona;24;Muy buena / Oso ona;5;Muy buena / Oso ona;283;77;1003,2;4,6;0,56;Muy buena / Oso ona
