Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
28/10/2017;0,35;0,59;Muy buena / Oso ona;23;48;70;Buena / Ona;74;36;63;Buena / Ona;17;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
27/10/2017;0,36;0,48;Muy buena / Oso ona;65;50;68;Buena / Ona;149;20;38;Muy buena / Oso ona;32;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
26/10/2017;;;Sin datos / Daturik gabe;75;63;94;Buena / Ona;179;16;38;Muy buena / Oso ona;34;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
25/10/2017;;;Sin datos / Daturik gabe;112;61;92;Buena / Ona;232;7;11;Muy buena / Oso ona;43;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
24/10/2017;;;Sin datos / Daturik gabe;101;60;89;Buena / Ona;214;6;10;Muy buena / Oso ona;32;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
23/10/2017;;;Sin datos / Daturik gabe;58;51;79;Buena / Ona;140;8;;Sin datos / Daturik gabe;21;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
22/10/2017;0,52;;Sin datos / Daturik gabe;10;39;61;Buena / Ona;45;43;57;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
21/10/2017;0,44;0,9;Muy buena / Oso ona;8;31;52;Buena / Ona;38;53;59;Muy buena / Oso ona;18;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
20/10/2017;0,63;1,07;Muy buena / Oso ona;55;51;93;Buena / Ona;135;20;28;Muy buena / Oso ona;23;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
19/10/2017;0,43;0,51;Muy buena / Oso ona;34;48;77;Buena / Ona;97;20;36;Muy buena / Oso ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
18/10/2017;0,44;0,86;Muy buena / Oso ona;49;59;85;Buena / Ona;133;12;26;Muy buena / Oso ona;25;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
17/10/2017;0,45;0,83;Muy buena / Oso ona;22;50;76;Buena / Ona;83;26;50;Muy buena / Oso ona;39;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
16/10/2017;0,3;0,41;Muy buena / Oso ona;16;43;80;Buena / Ona;59;47;55;Muy buena / Oso ona;36;Buena / Ona;3;Muy buena / Oso ona;Buena / Ona
15/10/2017;0,32;0,49;Muy buena / Oso ona;15;44;69;Buena / Ona;67;32;48;Muy buena / Oso ona;28;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
14/10/2017;0,39;0,57;Muy buena / Oso ona;27;50;99;Buena / Ona;80;36;54;Muy buena / Oso ona;33;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
13/10/2017;0,51;0,61;Muy buena / Oso ona;53;46;100;Buena / Ona;127;28;53;Muy buena / Oso ona;42;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
12/10/2017;0,38;0,56;Muy buena / Oso ona;25;42;73;Buena / Ona;80;20;46;Muy buena / Oso ona;30;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
11/10/2017;0,39;0,5;Muy buena / Oso ona;69;56;90;Buena / Ona;160;22;46;Muy buena / Oso ona;32;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
10/10/2017;0,4;0,51;Muy buena / Oso ona;58;48;82;Buena / Ona;137;12;27;Muy buena / Oso ona;29;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
09/10/2017;0,31;0,4;Muy buena / Oso ona;42;50;77;Buena / Ona;114;15;;Sin datos / Daturik gabe;28;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
08/10/2017;0,28;0,57;Muy buena / Oso ona;22;41;91;Buena / Ona;75;24;59;Muy buena / Oso ona;21;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
07/10/2017;0,43;1,15;Muy buena / Oso ona;24;39;68;Buena / Ona;75;22;61;Buena / Ona;18;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
06/10/2017;0,57;1,17;Muy buena / Oso ona;21;48;72;Buena / Ona;69;36;64;Buena / Ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
05/10/2017;0,31;0,38;Muy buena / Oso ona;24;42;59;Buena / Ona;76;29;47;Muy buena / Oso ona;19;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
04/10/2017;0,35;0,63;Muy buena / Oso ona;35;30;54;Buena / Ona;83;14;23;Muy buena / Oso ona;23;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
03/10/2017;0,47;0,56;Muy buena / Oso ona;51;28;41;Muy buena / Oso ona;105;8;14;Muy buena / Oso ona;20;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
02/10/2017;0,54;0,6;Muy buena / Oso ona;58;41;60;Buena / Ona;131;6;8;Muy buena / Oso ona;20;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
01/10/2017;0,44;0,59;Muy buena / Oso ona;44;34;42;Muy buena / Oso ona;101;4;15;Muy buena / Oso ona;20;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
30/09/2017;0,39;0,89;Muy buena / Oso ona;10;37;60;Buena / Ona;52;37;50;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
29/09/2017;0,75;0,88;Muy buena / Oso ona;35;50;74;Buena / Ona;103;30;62;Buena / Ona;34;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
28/09/2017;0,58;0,83;Muy buena / Oso ona;54;68;105;Mejorable / Hobetzeko modukoa;150;17;31;Muy buena / Oso ona;35;Buena / Ona;7;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
27/09/2017;;;Sin datos / Daturik gabe;59;56;91;Buena / Ona;146;19;46;Muy buena / Oso ona;26;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
26/09/2017;;;Sin datos / Daturik gabe;39;43;62;Buena / Ona;103;18;42;Muy buena / Oso ona;20;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
25/09/2017;0,29;0,33;Muy buena / Oso ona;36;49;62;Buena / Ona;92;27;55;Muy buena / Oso ona;20;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
24/09/2017;0,35;0,52;Muy buena / Oso ona;18;39;51;Buena / Ona;63;38;67;Buena / Ona;25;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
23/09/2017;0,34;0,48;Muy buena / Oso ona;16;40;81;Buena / Ona;65;37;68;Buena / Ona;22;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
22/09/2017;0,31;0,37;Muy buena / Oso ona;23;51;75;Buena / Ona;84;25;42;Muy buena / Oso ona;17;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
21/09/2017;0,39;0,5;Muy buena / Oso ona;52;50;72;Buena / Ona;128;22;48;Muy buena / Oso ona;28;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
20/09/2017;0,34;0,4;Muy buena / Oso ona;48;52;98;Buena / Ona;125;16;39;Muy buena / Oso ona;22;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
19/09/2017;0,34;0,46;Muy buena / Oso ona;29;43;67;Buena / Ona;84;28;57;Muy buena / Oso ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
18/09/2017;0,26;;Sin datos / Daturik gabe;30;48;73;Buena / Ona;88;19;39;Muy buena / Oso ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
17/09/2017;;;Sin datos / Daturik gabe;13;32;59;Buena / Ona;52;33;60;Muy buena / Oso ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
16/09/2017;0,23;0,43;Muy buena / Oso ona;15;38;57;Buena / Ona;61;27;51;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
15/09/2017;0,38;0,5;Muy buena / Oso ona;39;46;61;Buena / Ona;106;14;29;Muy buena / Oso ona;16;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
14/09/2017;0,22;0,31;Muy buena / Oso ona;17;44;62;Buena / Ona;70;28;47;Muy buena / Oso ona;19;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
13/09/2017;0,4;0,55;Muy buena / Oso ona;42;36;54;Buena / Ona;100;17;37;Muy buena / Oso ona;22;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
12/09/2017;0,58;0,78;Muy buena / Oso ona;32;47;62;Buena / Ona;81;30;59;Muy buena / Oso ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
11/09/2017;0,63;0,91;Muy buena / Oso ona;14;40;65;Buena / Ona;57;35;48;Muy buena / Oso ona;18;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
10/09/2017;0,3;0,36;Muy buena / Oso ona;9;28;50;Muy buena / Oso ona;36;50;67;Buena / Ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
09/09/2017;0,31;0,45;Muy buena / Oso ona;7;23;44;Muy buena / Oso ona;29;55;60;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
08/09/2017;0,31;0,48;Muy buena / Oso ona;26;39;51;Buena / Ona;77;36;60;Muy buena / Oso ona;23;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
07/09/2017;0,37;0,52;Muy buena / Oso ona;29;40;59;Buena / Ona;81;26;52;Muy buena / Oso ona;20;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
06/09/2017;0,28;0,33;Muy buena / Oso ona;18;50;72;Buena / Ona;67;31;40;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
05/09/2017;0,62;1,05;Muy buena / Oso ona;28;37;56;Buena / Ona;78;26;46;Muy buena / Oso ona;18;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
04/09/2017;0,35;0,38;Muy buena / Oso ona;33;38;59;Buena / Ona;88;17;37;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
03/09/2017;;;Sin datos / Daturik gabe;14;33;59;Buena / Ona;55;30;65;Buena / Ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
02/09/2017;;;Sin datos / Daturik gabe;13;31;55;Buena / Ona;50;39;77;Buena / Ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
01/09/2017;;;Sin datos / Daturik gabe;19;38;50;Muy buena / Oso ona;67;36;58;Muy buena / Oso ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
31/08/2017;;;Sin datos / Daturik gabe;14;42;70;Buena / Ona;63;35;60;Muy buena / Oso ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
30/08/2017;0,36;0,46;Muy buena / Oso ona;14;37;51;Buena / Ona;59;36;56;Muy buena / Oso ona;19;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
29/08/2017;0,33;0,37;Muy buena / Oso ona;17;39;53;Buena / Ona;64;40;70;Buena / Ona;19;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
28/08/2017;0,3;0,36;Muy buena / Oso ona;27;50;69;Buena / Ona;91;18;33;Muy buena / Oso ona;23;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
27/08/2017;0,57;1,01;Muy buena / Oso ona;17;37;55;Buena / Ona;62;21;37;Muy buena / Oso ona;20;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
26/08/2017;0,42;0,53;Muy buena / Oso ona;8;29;64;Buena / Ona;42;40;59;Muy buena / Oso ona;17;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
25/08/2017;0,35;0,5;Muy buena / Oso ona;8;27;45;Muy buena / Oso ona;39;43;61;Buena / Ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
24/08/2017;0,31;;Sin datos / Daturik gabe;13;35;64;Buena / Ona;54;;;Sin datos / Daturik gabe;20;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
23/08/2017;0,33;0,38;Muy buena / Oso ona;11;31;48;Muy buena / Oso ona;48;;;Sin datos / Daturik gabe;25;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
22/08/2017;0,33;0,43;Muy buena / Oso ona;18;46;84;Buena / Ona;73;;;Sin datos / Daturik gabe;36;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
21/08/2017;0,4;0,43;Muy buena / Oso ona;25;53;117;Mejorable / Hobetzeko modukoa;91;;;Sin datos / Daturik gabe;19;Muy buena / Oso ona;6;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
20/08/2017;0,35;0,71;Muy buena / Oso ona;13;28;62;Buena / Ona;48;33;68;Buena / Ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
19/08/2017;0,61;0,78;Muy buena / Oso ona;5;25;44;Muy buena / Oso ona;33;47;62;Buena / Ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
18/08/2017;0,46;0,52;Muy buena / Oso ona;14;36;47;Muy buena / Oso ona;57;34;57;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
17/08/2017;0,46;0,7;Muy buena / Oso ona;22;36;50;Muy buena / Oso ona;70;36;67;Buena / Ona;18;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
16/08/2017;0,29;0,39;Muy buena / Oso ona;11;31;56;Buena / Ona;47;37;62;Buena / Ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;Buena / Ona
15/08/2017;0,57;1,02;Muy buena / Oso ona;4;22;41;Muy buena / Oso ona;28;46;59;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;Muy buena / Oso ona
14/08/2017;0,47;0,55;Muy buena / Oso ona;19;36;64;Buena / Ona;65;46;78;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;Buena / Ona
13/08/2017;0,31;0,35;Muy buena / Oso ona;15;29;46;Muy buena / Oso ona;52;37;73;Buena / Ona;;Sin datos / Daturik gabe;11;Muy buena / Oso ona;Buena / Ona
12/08/2017;0,37;0,51;Muy buena / Oso ona;15;30;47;Muy buena / Oso ona;52;39;77;Buena / Ona;;Sin datos / Daturik gabe;7;Muy buena / Oso ona;Buena / Ona
11/08/2017;0,36;0,47;Muy buena / Oso ona;19;35;58;Buena / Ona;64;40;73;Buena / Ona;20;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
10/08/2017;0,22;0,24;Muy buena / Oso ona;8;32;55;Buena / Ona;44;53;64;Buena / Ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
09/08/2017;0,32;0,47;Muy buena / Oso ona;8;30;53;Buena / Ona;42;56;68;Buena / Ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
08/08/2017;0,27;0,29;Muy buena / Oso ona;9;32;59;Buena / Ona;45;49;62;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
07/08/2017;0,32;0,75;Muy buena / Oso ona;11;34;52;Buena / Ona;50;48;61;Buena / Ona;21;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
06/08/2017;0,39;0,57;Muy buena / Oso ona;3;19;37;Muy buena / Oso ona;24;56;69;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
05/08/2017;0,25;0,27;Muy buena / Oso ona;4;24;45;Muy buena / Oso ona;30;50;55;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
04/08/2017;0,32;0,4;Muy buena / Oso ona;13;31;60;Buena / Ona;50;43;56;Muy buena / Oso ona;17;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
03/08/2017;0,34;0,38;Muy buena / Oso ona;23;38;59;Buena / Ona;72;44;75;Buena / Ona;23;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
02/08/2017;0,37;0,53;Muy buena / Oso ona;20;38;67;Buena / Ona;69;39;72;Buena / Ona;23;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
01/08/2017;0,31;0,37;Muy buena / Oso ona;18;34;53;Buena / Ona;62;28;46;Muy buena / Oso ona;18;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
31/07/2017;0,3;0,33;Muy buena / Oso ona;9;31;52;Buena / Ona;44;28;51;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
30/07/2017;0,39;0,47;Muy buena / Oso ona;12;29;43;Muy buena / Oso ona;47;27;50;Muy buena / Oso ona;18;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
29/07/2017;0,3;0,47;Muy buena / Oso ona;17;34;48;Muy buena / Oso ona;60;38;74;Buena / Ona;16;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
28/07/2017;0,41;0,49;Muy buena / Oso ona;16;35;56;Buena / Ona;59;35;52;Muy buena / Oso ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
27/07/2017;0,37;0,44;Muy buena / Oso ona;26;33;58;Buena / Ona;73;34;54;Muy buena / Oso ona;25;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
26/07/2017;0,33;0,53;Muy buena / Oso ona;21;38;49;Muy buena / Oso ona;70;40;76;Buena / Ona;25;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
25/07/2017;0,14;0,18;Muy buena / Oso ona;5;23;43;Muy buena / Oso ona;29;52;66;Buena / Ona;12;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
24/07/2017;0,19;0,22;Muy buena / Oso ona;10;27;40;Muy buena / Oso ona;42;34;45;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
23/07/2017;0,24;0,28;Muy buena / Oso ona;5;21;31;Muy buena / Oso ona;28;46;76;Buena / Ona;18;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
22/07/2017;0,32;0,39;Muy buena / Oso ona;20;25;37;Muy buena / Oso ona;56;34;65;Buena / Ona;20;Muy buena / Oso ona;11;Muy buena / Oso ona;Buena / Ona
