Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);V.vien (m/s);ICA Estación
28/10/2017;7;23;42;Muy buena / Oso ona;34;31;59;Muy buena / Oso ona;3;Muy buena / Oso ona;17;0,45;Muy buena / Oso ona
27/10/2017;57;31;52;Buena / Ona;118;21;46;Muy buena / Oso ona;5;Muy buena / Oso ona;327;0,91;Buena / Ona
26/10/2017;58;42;67;Buena / Ona;131;17;45;Muy buena / Oso ona;5;Muy buena / Oso ona;308;1,11;Buena / Ona
25/10/2017;74;46;74;Buena / Ona;160;13;34;Muy buena / Oso ona;7;Muy buena / Oso ona;206;0,34;Buena / Ona
24/10/2017;43;43;65;Buena / Ona;108;15;35;Muy buena / Oso ona;7;Muy buena / Oso ona;200;0,44;Buena / Ona
23/10/2017;24;28;47;Muy buena / Oso ona;65;21;48;Muy buena / Oso ona;4;Muy buena / Oso ona;143;0,51;Muy buena / Oso ona
22/10/2017;3;15;26;Muy buena / Oso ona;21;39;59;Muy buena / Oso ona;3;Muy buena / Oso ona;309;0,61;Muy buena / Oso ona
21/10/2017;3;16;35;Muy buena / Oso ona;20;50;59;Muy buena / Oso ona;4;Muy buena / Oso ona;318;1,46;Muy buena / Oso ona
20/10/2017;36;30;59;Buena / Ona;86;21;43;Muy buena / Oso ona;4;Muy buena / Oso ona;182;0,75;Buena / Ona
19/10/2017;18;29;46;Muy buena / Oso ona;57;24;47;Muy buena / Oso ona;3;Muy buena / Oso ona;187;0,33;Muy buena / Oso ona
18/10/2017;23;37;67;Buena / Ona;73;16;25;Muy buena / Oso ona;3;Muy buena / Oso ona;306;0,42;Buena / Ona
17/10/2017;7;27;41;Muy buena / Oso ona;37;35;61;Buena / Ona;3;Muy buena / Oso ona;135;1,64;Buena / Ona
16/10/2017;5;22;50;Muy buena / Oso ona;29;52;69;Buena / Ona;3;Muy buena / Oso ona;127;1,75;Buena / Ona
15/10/2017;3;16;29;Muy buena / Oso ona;21;55;58;Muy buena / Oso ona;3;Muy buena / Oso ona;143;2,44;Muy buena / Oso ona
14/10/2017;4;21;46;Muy buena / Oso ona;27;47;72;Buena / Ona;3;Muy buena / Oso ona;147;0,95;Buena / Ona
13/10/2017;37;25;69;Buena / Ona;82;34;65;Buena / Ona;4;Muy buena / Oso ona;305;1,05;Buena / Ona
12/10/2017;12;19;37;Muy buena / Oso ona;38;26;61;Buena / Ona;3;Muy buena / Oso ona;94;0,22;Buena / Ona
11/10/2017;67;36;98;Buena / Ona;138;23;57;Muy buena / Oso ona;4;Muy buena / Oso ona;321;0,78;Buena / Ona
10/10/2017;25;24;43;Muy buena / Oso ona;62;18;45;Muy buena / Oso ona;3;Muy buena / Oso ona;146;0,35;Muy buena / Oso ona
09/10/2017;38;26;47;Muy buena / Oso ona;84;24;59;Muy buena / Oso ona;3;Muy buena / Oso ona;122;0,18;Muy buena / Oso ona
08/10/2017;13;18;48;Muy buena / Oso ona;38;27;67;Buena / Ona;3;Muy buena / Oso ona;21;0,28;Buena / Ona
07/10/2017;10;18;34;Muy buena / Oso ona;33;28;66;Buena / Ona;3;Muy buena / Oso ona;71;0,35;Buena / Ona
06/10/2017;13;25;45;Muy buena / Oso ona;45;28;55;Muy buena / Oso ona;2;Muy buena / Oso ona;318;0,98;Muy buena / Oso ona
05/10/2017;11;22;43;Muy buena / Oso ona;39;28;59;Muy buena / Oso ona;3;Muy buena / Oso ona;324;1,24;Muy buena / Oso ona
04/10/2017;15;15;29;Muy buena / Oso ona;39;16;34;Muy buena / Oso ona;4;Muy buena / Oso ona;37;0,6;Muy buena / Oso ona
03/10/2017;19;14;24;Muy buena / Oso ona;43;10;25;Muy buena / Oso ona;5;Muy buena / Oso ona;338;0,46;Muy buena / Oso ona
02/10/2017;20;29;42;Muy buena / Oso ona;60;7;13;Muy buena / Oso ona;5;Muy buena / Oso ona;334;0,53;Muy buena / Oso ona
01/10/2017;10;21;28;Muy buena / Oso ona;36;7;18;Muy buena / Oso ona;5;Muy buena / Oso ona;175;0,36;Muy buena / Oso ona
30/09/2017;3;14;32;Muy buena / Oso ona;19;38;62;Buena / Ona;5;Muy buena / Oso ona;346;0,61;Buena / Ona
29/09/2017;21;28;48;Muy buena / Oso ona;60;40;86;Buena / Ona;6;Muy buena / Oso ona;311;0,91;Buena / Ona
28/09/2017;32;36;73;Buena / Ona;85;32;75;Buena / Ona;6;Muy buena / Oso ona;174;0,28;Buena / Ona
27/09/2017;40;30;55;Buena / Ona;92;30;73;Buena / Ona;7;Muy buena / Oso ona;313;0,43;Buena / Ona
26/09/2017;14;21;38;Muy buena / Oso ona;42;29;61;Buena / Ona;6;Muy buena / Oso ona;22;0,63;Buena / Ona
25/09/2017;13;25;40;Muy buena / Oso ona;45;26;68;Buena / Ona;5;Muy buena / Oso ona;314;1,23;Buena / Ona
24/09/2017;6;16;30;Muy buena / Oso ona;25;49;81;Buena / Ona;6;Muy buena / Oso ona;309;1,16;Buena / Ona
23/09/2017;8;19;43;Muy buena / Oso ona;31;39;78;Buena / Ona;6;Muy buena / Oso ona;248;0,22;Buena / Ona
22/09/2017;8;24;40;Muy buena / Oso ona;36;28;44;Muy buena / Oso ona;5;Muy buena / Oso ona;310;1,24;Muy buena / Oso ona
21/09/2017;32;28;55;Buena / Ona;77;31;71;Buena / Ona;7;Muy buena / Oso ona;324;0,8;Buena / Ona
20/09/2017;23;26;44;Muy buena / Oso ona;61;25;61;Buena / Ona;7;Muy buena / Oso ona;103;0,72;Buena / Ona
19/09/2017;9;23;39;Muy buena / Oso ona;36;34;69;Buena / Ona;6;Muy buena / Oso ona;351;0,4;Buena / Ona
18/09/2017;10;28;44;Muy buena / Oso ona;44;20;29;Muy buena / Oso ona;5;Muy buena / Oso ona;298;0,45;Muy buena / Oso ona
17/09/2017;6;14;30;Muy buena / Oso ona;24;32;67;Buena / Ona;6;Muy buena / Oso ona;327;0,68;Buena / Ona
16/09/2017;3;16;27;Muy buena / Oso ona;21;33;63;Buena / Ona;6;Muy buena / Oso ona;305;0,55;Buena / Ona
15/09/2017;22;25;34;Muy buena / Oso ona;59;18;37;Muy buena / Oso ona;6;Muy buena / Oso ona;286;0,28;Muy buena / Oso ona
14/09/2017;10;23;41;Muy buena / Oso ona;38;28;50;Muy buena / Oso ona;5;Muy buena / Oso ona;322;1,2;Muy buena / Oso ona
13/09/2017;27;22;39;Muy buena / Oso ona;64;23;52;Muy buena / Oso ona;6;Muy buena / Oso ona;316;0,92;Muy buena / Oso ona
12/09/2017;8;22;45;Muy buena / Oso ona;34;34;57;Muy buena / Oso ona;5;Muy buena / Oso ona;308;0,62;Muy buena / Oso ona
11/09/2017;4;20;39;Muy buena / Oso ona;27;36;50;Muy buena / Oso ona;5;Muy buena / Oso ona;317;2,12;Muy buena / Oso ona
10/09/2017;2;16;26;Muy buena / Oso ona;19;43;64;Buena / Ona;6;Muy buena / Oso ona;318;1,19;Buena / Ona
09/09/2017;2;16;30;Muy buena / Oso ona;20;42;55;Muy buena / Oso ona;5;Muy buena / Oso ona;315;1,91;Muy buena / Oso ona
08/09/2017;28;25;44;Muy buena / Oso ona;68;31;69;Buena / Ona;6;Muy buena / Oso ona;3;0,46;Buena / Ona
07/09/2017;10;19;44;Muy buena / Oso ona;35;25;55;Muy buena / Oso ona;5;Muy buena / Oso ona;332;0,55;Muy buena / Oso ona
06/09/2017;8;23;47;Muy buena / Oso ona;36;23;44;Muy buena / Oso ona;5;Muy buena / Oso ona;315;0,84;Muy buena / Oso ona
05/09/2017;16;17;33;Muy buena / Oso ona;42;27;58;Muy buena / Oso ona;5;Muy buena / Oso ona;351;0,74;Muy buena / Oso ona
04/09/2017;14;20;37;Muy buena / Oso ona;40;18;42;Muy buena / Oso ona;5;Muy buena / Oso ona;334;0,63;Muy buena / Oso ona
03/09/2017;4;15;25;Muy buena / Oso ona;21;33;71;Buena / Ona;6;Muy buena / Oso ona;199;0,09;Buena / Ona
02/09/2017;3;13;25;Muy buena / Oso ona;18;40;74;Buena / Ona;5;Muy buena / Oso ona;36;0,51;Buena / Ona
01/09/2017;13;18;32;Muy buena / Oso ona;39;33;68;Buena / Ona;5;Muy buena / Oso ona;325;1,19;Buena / Ona
31/08/2017;5;19;38;Muy buena / Oso ona;25;36;60;Muy buena / Oso ona;4;Muy buena / Oso ona;335;0,43;Muy buena / Oso ona
30/08/2017;7;16;30;Muy buena / Oso ona;27;39;63;Buena / Ona;5;Muy buena / Oso ona;328;1,1;Buena / Ona
29/08/2017;9;24;40;Muy buena / Oso ona;37;40;74;Buena / Ona;5;Muy buena / Oso ona;329;0,55;Buena / Ona
28/08/2017;18;30;42;Muy buena / Oso ona;58;16;34;Muy buena / Oso ona;5;Muy buena / Oso ona;210;0,33;Muy buena / Oso ona
27/08/2017;9;20;26;Muy buena / Oso ona;33;18;35;Muy buena / Oso ona;4;Muy buena / Oso ona;165;0,41;Muy buena / Oso ona
26/08/2017;2;11;20;Muy buena / Oso ona;14;39;63;Buena / Ona;4;Muy buena / Oso ona;323;0,9;Buena / Ona
25/08/2017;3;9;24;Muy buena / Oso ona;14;42;59;Muy buena / Oso ona;4;Muy buena / Oso ona;23;1,16;Muy buena / Oso ona
24/08/2017;2;10;26;Muy buena / Oso ona;13;44;58;Muy buena / Oso ona;4;Muy buena / Oso ona;347;1,37;Muy buena / Oso ona
23/08/2017;3;11;31;Muy buena / Oso ona;16;42;62;Buena / Ona;4;Muy buena / Oso ona;18;0,97;Buena / Ona
22/08/2017;15;22;64;Buena / Ona;46;54;92;Buena / Ona;5;Muy buena / Oso ona;318;2,09;Buena / Ona
21/08/2017;15;28;63;Buena / Ona;50;47;101;Mejorable / Hobetzeko modukoa;5;Muy buena / Oso ona;63;0,89;Mejorable / Hobetzeko modukoa
20/08/2017;5;13;33;Muy buena / Oso ona;20;35;66;Buena / Ona;4;Muy buena / Oso ona;38;0,79;Buena / Ona
19/08/2017;2;11;24;Muy buena / Oso ona;14;43;65;Buena / Ona;4;Muy buena / Oso ona;17;1,17;Buena / Ona
18/08/2017;8;18;34;Muy buena / Oso ona;30;31;60;Muy buena / Oso ona;4;Muy buena / Oso ona;313;0,68;Muy buena / Oso ona
17/08/2017;11;17;31;Muy buena / Oso ona;33;36;66;Buena / Ona;5;Muy buena / Oso ona;7;0,85;Buena / Ona
16/08/2017;6;12;31;Muy buena / Oso ona;21;31;57;Muy buena / Oso ona;4;Muy buena / Oso ona;348;0,83;Muy buena / Oso ona
15/08/2017;2;11;24;Muy buena / Oso ona;14;29;42;Muy buena / Oso ona;4;Muy buena / Oso ona;310;0,69;Muy buena / Oso ona
14/08/2017;13;18;28;Muy buena / Oso ona;37;42;85;Buena / Ona;5;Muy buena / Oso ona;135;0,33;Buena / Ona
13/08/2017;4;12;29;Muy buena / Oso ona;17;36;66;Buena / Ona;4;Muy buena / Oso ona;5;1,14;Buena / Ona
12/08/2017;8;13;28;Muy buena / Oso ona;25;38;70;Buena / Ona;5;Muy buena / Oso ona;39;0,75;Buena / Ona
11/08/2017;11;16;34;Muy buena / Oso ona;33;35;70;Buena / Ona;5;Muy buena / Oso ona;352;0,95;Buena / Ona
10/08/2017;7;24;44;Muy buena / Oso ona;35;31;56;Muy buena / Oso ona;5;Muy buena / Oso ona;313;1,47;Muy buena / Oso ona
09/08/2017;5;19;31;Muy buena / Oso ona;26;37;66;Buena / Ona;5;Muy buena / Oso ona;316;1,55;Buena / Ona
08/08/2017;5;19;37;Muy buena / Oso ona;28;40;61;Buena / Ona;5;Muy buena / Oso ona;308;1,19;Buena / Ona
07/08/2017;6;16;32;Muy buena / Oso ona;25;45;69;Buena / Ona;5;Muy buena / Oso ona;311;1,65;Buena / Ona
06/08/2017;1;6;22;Muy buena / Oso ona;9;47;69;Buena / Ona;4;Muy buena / Oso ona;19;1,02;Buena / Ona
05/08/2017;2;9;25;Muy buena / Oso ona;13;36;48;Muy buena / Oso ona;4;Muy buena / Oso ona;316;1,48;Muy buena / Oso ona
04/08/2017;8;14;39;Muy buena / Oso ona;26;37;58;Muy buena / Oso ona;4;Muy buena / Oso ona;352;1,16;Muy buena / Oso ona
03/08/2017;12;13;26;Muy buena / Oso ona;31;44;76;Buena / Ona;4;Muy buena / Oso ona;2;1,25;Buena / Ona
02/08/2017;11;17;32;Muy buena / Oso ona;33;38;68;Buena / Ona;4;Muy buena / Oso ona;352;0,85;Buena / Ona
01/08/2017;9;14;25;Muy buena / Oso ona;27;27;52;Muy buena / Oso ona;4;Muy buena / Oso ona;18;0,98;Muy buena / Oso ona
31/07/2017;3;14;25;Muy buena / Oso ona;19;24;41;Muy buena / Oso ona;4;Muy buena / Oso ona;310;0,94;Muy buena / Oso ona
30/07/2017;4;13;21;Muy buena / Oso ona;19;23;45;Muy buena / Oso ona;4;Muy buena / Oso ona;342;1,01;Muy buena / Oso ona
29/07/2017;7;15;26;Muy buena / Oso ona;26;39;78;Buena / Ona;6;Muy buena / Oso ona;9;0,98;Buena / Ona
28/07/2017;4;13;31;Muy buena / Oso ona;19;35;52;Muy buena / Oso ona;4;Muy buena / Oso ona;358;0,92;Muy buena / Oso ona
27/07/2017;12;16;34;Muy buena / Oso ona;34;34;61;Buena / Ona;6;Muy buena / Oso ona;323;1,25;Buena / Ona
26/07/2017;12;18;35;Muy buena / Oso ona;37;38;71;Buena / Ona;5;Muy buena / Oso ona;41;0,41;Buena / Ona
25/07/2017;4;16;29;Muy buena / Oso ona;23;31;57;Muy buena / Oso ona;4;Muy buena / Oso ona;321;1,2;Muy buena / Oso ona
24/07/2017;3;13;26;Muy buena / Oso ona;18;29;36;Muy buena / Oso ona;4;Muy buena / Oso ona;310;2,45;Muy buena / Oso ona
23/07/2017;3;10;22;Muy buena / Oso ona;15;40;70;Buena / Ona;5;Muy buena / Oso ona;327;1,05;Buena / Ona
22/07/2017;8;12;25;Muy buena / Oso ona;24;31;58;Muy buena / Oso ona;5;Muy buena / Oso ona;332;0,87;Muy buena / Oso ona
21/07/2017;9;18;27;Muy buena / Oso ona;32;18;36;Muy buena / Oso ona;4;Muy buena / Oso ona;322;0,72;Muy buena / Oso ona
20/07/2017;4;17;35;Muy buena / Oso ona;22;32;50;Muy buena / Oso ona;3;Muy buena / Oso ona;318;0,85;Muy buena / Oso ona
19/07/2017;2;12;27;Muy buena / Oso ona;15;64;75;Buena / Ona;3;Muy buena / Oso ona;5;0,89;Buena / Ona
18/07/2017;3;18;43;Muy buena / Oso ona;23;71;85;Buena / Ona;4;Muy buena / Oso ona;235;0,27;Buena / Ona
17/07/2017;11;28;55;Buena / Ona;45;51;98;Buena / Ona;5;Muy buena / Oso ona;107;0,43;Buena / Ona
16/07/2017;4;14;41;Muy buena / Oso ona;21;49;87;Buena / Ona;4;Muy buena / Oso ona;10;1,19;Buena / Ona
15/07/2017;3;10;26;Muy buena / Oso ona;14;42;60;Muy buena / Oso ona;3;Muy buena / Oso ona;18;1,59;Muy buena / Oso ona
14/07/2017;5;12;29;Muy buena / Oso ona;21;36;53;Muy buena / Oso ona;3;Muy buena / Oso ona;18;1,23;Muy buena / Oso ona
13/07/2017;9;12;26;Muy buena / Oso ona;26;26;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;358;1,03;Muy buena / Oso ona
12/07/2017;14;14;34;Muy buena / Oso ona;36;25;49;Muy buena / Oso ona;6;Muy buena / Oso ona;10;0,77;Muy buena / Oso ona
11/07/2017;9;12;30;Muy buena / Oso ona;25;31;53;Muy buena / Oso ona;6;Muy buena / Oso ona;10;0,51;Muy buena / Oso ona
10/07/2017;5;10;35;Muy buena / Oso ona;17;30;50;Muy buena / Oso ona;5;Muy buena / Oso ona;332;1,42;Muy buena / Oso ona
09/07/2017;2;2;8;Muy buena / Oso ona;5;58;72;Buena / Ona;5;Muy buena / Oso ona;321;1,93;Buena / Ona
08/07/2017;2;3;8;Muy buena / Oso ona;7;54;68;Buena / Ona;4;Muy buena / Oso ona;322;1,92;Buena / Ona
07/07/2017;12;14;41;Muy buena / Oso ona;32;34;52;Muy buena / Oso ona;5;Muy buena / Oso ona;320;1,72;Muy buena / Oso ona
06/07/2017;6;24;49;Muy buena / Oso ona;33;38;63;Buena / Ona;5;Muy buena / Oso ona;327;1,08;Buena / Ona
05/07/2017;4;9;19;Muy buena / Oso ona;15;68;75;Buena / Ona;6;Muy buena / Oso ona;115;0,37;Buena / Ona
04/07/2017;16;17;50;Muy buena / Oso ona;41;39;81;Buena / Ona;6;Muy buena / Oso ona;90;0,84;Buena / Ona
03/07/2017;22;10;29;Muy buena / Oso ona;44;20;38;Muy buena / Oso ona;6;Muy buena / Oso ona;47;0,89;Muy buena / Oso ona
02/07/2017;6;8;19;Muy buena / Oso ona;17;29;56;Muy buena / Oso ona;5;Muy buena / Oso ona;2;0,53;Muy buena / Oso ona
01/07/2017;4;12;24;Muy buena / Oso ona;18;37;46;Muy buena / Oso ona;5;Muy buena / Oso ona;310;1,79;Muy buena / Oso ona
30/06/2017;9;17;39;Muy buena / Oso ona;30;30;47;Muy buena / Oso ona;5;Muy buena / Oso ona;302;1,68;Muy buena / Oso ona
29/06/2017;7;18;38;Muy buena / Oso ona;29;39;57;Muy buena / Oso ona;6;Muy buena / Oso ona;299;1,04;Muy buena / Oso ona
28/06/2017;5;9;26;Muy buena / Oso ona;17;41;58;Muy buena / Oso ona;5;Muy buena / Oso ona;309;2,04;Muy buena / Oso ona
27/06/2017;15;16;36;Muy buena / Oso ona;39;22;43;Muy buena / Oso ona;5;Muy buena / Oso ona;301;0,55;Muy buena / Oso ona
26/06/2017;9;14;24;Muy buena / Oso ona;27;28;51;Muy buena / Oso ona;5;Muy buena / Oso ona;324;0,99;Muy buena / Oso ona
25/06/2017;5;7;16;Muy buena / Oso ona;15;26;48;Muy buena / Oso ona;4;Muy buena / Oso ona;69;0,33;Muy buena / Oso ona
24/06/2017;3;6;16;Muy buena / Oso ona;10;36;49;Muy buena / Oso ona;4;Muy buena / Oso ona;318;0,94;Muy buena / Oso ona
23/06/2017;4;11;32;Muy buena / Oso ona;18;38;57;Muy buena / Oso ona;4;Muy buena / Oso ona;316;1,04;Muy buena / Oso ona
22/06/2017;3;9;22;Muy buena / Oso ona;13;59;86;Buena / Ona;4;Muy buena / Oso ona;333;1,87;Buena / Ona
21/06/2017;15;28;74;Buena / Ona;50;72;129;Mejorable / Hobetzeko modukoa;6;Muy buena / Oso ona;3;0,78;Mejorable / Hobetzeko modukoa
20/06/2017;13;33;60;Buena / Ona;52;60;113;Mejorable / Hobetzeko modukoa;6;Muy buena / Oso ona;306;0,81;Mejorable / Hobetzeko modukoa
19/06/2017;9;18;45;Muy buena / Oso ona;32;70;109;Mejorable / Hobetzeko modukoa;6;Muy buena / Oso ona;169;0,45;Mejorable / Hobetzeko modukoa
18/06/2017;5;14;39;Muy buena / Oso ona;22;57;97;Buena / Ona;5;Muy buena / Oso ona;16;1,1;Buena / Ona
17/06/2017;7;12;40;Muy buena / Oso ona;22;44;80;Buena / Ona;5;Muy buena / Oso ona;20;0,89;Buena / Ona
16/06/2017;5;9;31;Muy buena / Oso ona;17;37;46;Muy buena / Oso ona;4;Muy buena / Oso ona;16;1,42;Muy buena / Oso ona
15/06/2017;3;11;27;Muy buena / Oso ona;16;45;52;Muy buena / Oso ona;4;Muy buena / Oso ona;334;1,56;Muy buena / Oso ona
14/06/2017;5;14;36;Muy buena / Oso ona;22;41;63;Buena / Ona;4;Muy buena / Oso ona;308;1,78;Buena / Ona
13/06/2017;12;15;30;Muy buena / Oso ona;33;33;55;Muy buena / Oso ona;4;Muy buena / Oso ona;316;1,05;Muy buena / Oso ona
12/06/2017;4;5;21;Muy buena / Oso ona;11;30;42;Muy buena / Oso ona;4;Muy buena / Oso ona;26;1,36;Muy buena / Oso ona
11/06/2017;3;6;13;Muy buena / Oso ona;10;41;60;Muy buena / Oso ona;5;Muy buena / Oso ona;323;1,37;Muy buena / Oso ona
10/06/2017;7;9;15;Muy buena / Oso ona;19;41;73;Buena / Ona;5;Muy buena / Oso ona;302;1,15;Buena / Ona
09/06/2017;9;13;35;Muy buena / Oso ona;27;30;49;Muy buena / Oso ona;5;Muy buena / Oso ona;22;0,99;Muy buena / Oso ona
08/06/2017;26;19;43;Muy buena / Oso ona;58;43;73;Buena / Ona;5;Muy buena / Oso ona;289;0,1;Buena / Ona
07/06/2017;15;16;39;Muy buena / Oso ona;39;35;65;Buena / Ona;5;Muy buena / Oso ona;61;0,81;Buena / Ona
