Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);V.vien (m/s);ICA Estación
06/06/2017;4;13;31;Muy buena / Oso ona;19;47;60;Muy buena / Oso ona;4;Muy buena / Oso ona;316;2,13;Muy buena / Oso ona
05/06/2017;6;13;31;Muy buena / Oso ona;22;42;70;Buena / Ona;4;Muy buena / Oso ona;37;0,36;Buena / Ona
04/06/2017;3;7;27;Muy buena / Oso ona;11;34;48;Muy buena / Oso ona;4;Muy buena / Oso ona;308;0,93;Muy buena / Oso ona
03/06/2017;3;11;21;Muy buena / Oso ona;16;35;48;Muy buena / Oso ona;4;Muy buena / Oso ona;312;1,1;Muy buena / Oso ona
02/06/2017;4;16;35;Muy buena / Oso ona;23;46;53;Muy buena / Oso ona;4;Muy buena / Oso ona;314;1,34;Muy buena / Oso ona
01/06/2017;18;15;34;Muy buena / Oso ona;42;41;73;Buena / Ona;4;Muy buena / Oso ona;346;0,91;Buena / Ona
31/05/2017;5;10;28;Muy buena / Oso ona;17;42;60;Muy buena / Oso ona;4;Muy buena / Oso ona;23;1,1;Muy buena / Oso ona
30/05/2017;3;8;29;Muy buena / Oso ona;14;45;52;Muy buena / Oso ona;3;Muy buena / Oso ona;12;1,19;Muy buena / Oso ona
29/05/2017;6;14;38;Muy buena / Oso ona;22;43;53;Muy buena / Oso ona;4;Muy buena / Oso ona;330;1,02;Muy buena / Oso ona
28/05/2017;4;11;20;Muy buena / Oso ona;17;52;70;Buena / Ona;4;Muy buena / Oso ona;313;1,07;Buena / Ona
27/05/2017;5;14;44;Muy buena / Oso ona;21;37;53;Muy buena / Oso ona;4;Muy buena / Oso ona;348;0,86;Muy buena / Oso ona
26/05/2017;13;29;72;Buena / Ona;49;62;101;Mejorable / Hobetzeko modukoa;7;Muy buena / Oso ona;309;1,28;Mejorable / Hobetzeko modukoa
25/05/2017;25;26;68;Buena / Ona;65;64;110;Mejorable / Hobetzeko modukoa;5;Muy buena / Oso ona;18;0,85;Mejorable / Hobetzeko modukoa
24/05/2017;9;22;50;Muy buena / Oso ona;36;43;71;Buena / Ona;4;Muy buena / Oso ona;50;0,97;Buena / Ona
23/05/2017;5;12;39;Muy buena / Oso ona;21;46;63;Buena / Ona;4;Muy buena / Oso ona;35;0,98;Buena / Ona
22/05/2017;11;18;66;Buena / Ona;36;54;71;Buena / Ona;5;Muy buena / Oso ona;329;2,33;Buena / Ona
21/05/2017;7;19;31;Muy buena / Oso ona;30;45;72;Buena / Ona;5;Muy buena / Oso ona;134;1,83;Buena / Ona
20/05/2017;8;16;30;Muy buena / Oso ona;28;33;61;Buena / Ona;5;Muy buena / Oso ona;42;0,64;Buena / Ona
19/05/2017;16;21;39;Muy buena / Oso ona;46;37;65;Buena / Ona;5;Muy buena / Oso ona;322;1,31;Buena / Ona
18/05/2017;5;18;45;Muy buena / Oso ona;26;49;62;Buena / Ona;4;Muy buena / Oso ona;315;2,24;Buena / Ona
17/05/2017;16;36;57;Buena / Ona;60;26;53;Muy buena / Oso ona;5;Muy buena / Oso ona;328;0,74;Buena / Ona
16/05/2017;21;34;59;Buena / Ona;66;42;75;Buena / Ona;6;Muy buena / Oso ona;333;0,85;Buena / Ona
15/05/2017;21;33;63;Buena / Ona;65;41;76;Buena / Ona;6;Muy buena / Oso ona;333;0,68;Buena / Ona
14/05/2017;5;14;36;Muy buena / Oso ona;21;42;67;Buena / Ona;4;Muy buena / Oso ona;50;0,43;Buena / Ona
13/05/2017;5;13;33;Muy buena / Oso ona;21;42;66;Buena / Ona;4;Muy buena / Oso ona;21;0,79;Buena / Ona
12/05/2017;4;13;36;Muy buena / Oso ona;19;57;71;Buena / Ona;3;Muy buena / Oso ona;214;1,24;Buena / Ona
11/05/2017;4;8;22;Muy buena / Oso ona;13;68;72;Buena / Ona;3;Muy buena / Oso ona;196;2,23;Buena / Ona
10/05/2017;11;27;58;Buena / Ona;45;41;69;Buena / Ona;4;Muy buena / Oso ona;280;0,83;Buena / Ona
09/05/2017;21;21;46;Muy buena / Oso ona;54;35;63;Buena / Ona;4;Muy buena / Oso ona;28;1,12;Buena / Ona
08/05/2017;14;20;43;Muy buena / Oso ona;40;37;64;Buena / Ona;5;Muy buena / Oso ona;42;1,05;Buena / Ona
07/05/2017;6;13;33;Muy buena / Oso ona;22;42;68;Buena / Ona;6;Muy buena / Oso ona;43;1,06;Buena / Ona
06/05/2017;6;15;38;Muy buena / Oso ona;24;48;74;Buena / Ona;4;Muy buena / Oso ona;2;0,86;Buena / Ona
05/05/2017;9;24;40;Muy buena / Oso ona;38;48;68;Buena / Ona;5;Muy buena / Oso ona;150;1,45;Buena / Ona
04/05/2017;;;;Sin datos / Daturik gabe;;39;65;Buena / Ona;5;Muy buena / Oso ona;48;1,19;Buena / Ona
03/05/2017;;;;Sin datos / Daturik gabe;;35;60;Muy buena / Oso ona;5;Muy buena / Oso ona;36;1;Muy buena / Oso ona
02/05/2017;;;;Sin datos / Daturik gabe;;24;55;Muy buena / Oso ona;5;Muy buena / Oso ona;335;0,96;Muy buena / Oso ona
01/05/2017;4;30;48;Muy buena / Oso ona;36;36;70;Buena / Ona;6;Muy buena / Oso ona;336;0,61;Buena / Ona
30/04/2017;2;28;43;Muy buena / Oso ona;32;59;69;Buena / Ona;5;Muy buena / Oso ona;169;1,02;Buena / Ona
29/04/2017;12;44;93;Buena / Ona;63;44;70;Buena / Ona;6;Muy buena / Oso ona;140;2,75;Buena / Ona
28/04/2017;23;52;144;Mejorable / Hobetzeko modukoa;87;37;80;Buena / Ona;6;Muy buena / Oso ona;59;0,93;Mejorable / Hobetzeko modukoa
27/04/2017;8;39;75;Buena / Ona;52;40;80;Buena / Ona;4;Muy buena / Oso ona;353;1;Buena / Ona
26/04/2017;6;46;89;Buena / Ona;55;44;57;Muy buena / Oso ona;4;Muy buena / Oso ona;307;1,28;Buena / Ona
25/04/2017;9;60;98;Buena / Ona;74;31;49;Muy buena / Oso ona;6;Muy buena / Oso ona;313;0,98;Buena / Ona
24/04/2017;26;62;163;Mejorable / Hobetzeko modukoa;101;40;72;Buena / Ona;8;Muy buena / Oso ona;360;1,11;Mejorable / Hobetzeko modukoa
23/04/2017;5;34;76;Buena / Ona;41;55;96;Buena / Ona;6;Muy buena / Oso ona;24;1,12;Buena / Ona
22/04/2017;9;38;81;Buena / Ona;52;62;107;Mejorable / Hobetzeko modukoa;5;Muy buena / Oso ona;30;0,7;Mejorable / Hobetzeko modukoa
21/04/2017;25;57;136;Mejorable / Hobetzeko modukoa;95;48;97;Buena / Ona;8;Muy buena / Oso ona;57;0,84;Mejorable / Hobetzeko modukoa
20/04/2017;19;46;109;Mejorable / Hobetzeko modukoa;75;49;88;Buena / Ona;7;Muy buena / Oso ona;51;1,54;Mejorable / Hobetzeko modukoa
19/04/2017;18;43;138;Mejorable / Hobetzeko modukoa;70;55;94;Buena / Ona;3;Muy buena / Oso ona;48;1,22;Mejorable / Hobetzeko modukoa
18/04/2017;11;33;61;Buena / Ona;50;35;74;Buena / Ona;5;Muy buena / Oso ona;11;0,87;Buena / Ona
17/04/2017;7;20;46;Muy buena / Oso ona;31;41;72;Buena / Ona;5;Muy buena / Oso ona;18;1,06;Buena / Ona
16/04/2017;3;15;28;Muy buena / Oso ona;19;43;68;Buena / Ona;3;Muy buena / Oso ona;61;0,76;Buena / Ona
15/04/2017;4;21;42;Muy buena / Oso ona;27;43;74;Buena / Ona;4;Muy buena / Oso ona;340;1,13;Buena / Ona
14/04/2017;3;21;41;Muy buena / Oso ona;25;48;69;Buena / Ona;5;Muy buena / Oso ona;316;0,5;Buena / Ona
13/04/2017;9;25;45;Muy buena / Oso ona;38;44;78;Buena / Ona;6;Muy buena / Oso ona;333;0,74;Buena / Ona
12/04/2017;14;30;65;Buena / Ona;51;41;79;Buena / Ona;6;Muy buena / Oso ona;12;0,7;Buena / Ona
11/04/2017;4;21;69;Buena / Ona;27;58;82;Buena / Ona;4;Muy buena / Oso ona;359;0,99;Buena / Ona
10/04/2017;5;22;44;Muy buena / Oso ona;30;52;82;Buena / Ona;7;Muy buena / Oso ona;309;1,84;Buena / Ona
09/04/2017;6;24;42;Muy buena / Oso ona;33;51;91;Buena / Ona;10;Muy buena / Oso ona;315;0,96;Buena / Ona
08/04/2017;18;31;77;Buena / Ona;59;45;95;Buena / Ona;5;Muy buena / Oso ona;98;0,29;Buena / Ona
07/04/2017;13;26;54;Buena / Ona;45;39;74;Buena / Ona;5;Muy buena / Oso ona;58;0,93;Buena / Ona
06/04/2017;17;28;73;Buena / Ona;55;45;79;Buena / Ona;4;Muy buena / Oso ona;347;1,45;Buena / Ona
05/04/2017;7;25;67;Buena / Ona;35;46;62;Buena / Ona;4;Muy buena / Oso ona;330;1,54;Buena / Ona
04/04/2017;9;24;68;Buena / Ona;38;43;66;Buena / Ona;4;Muy buena / Oso ona;318;1,79;Buena / Ona
03/04/2017;15;22;42;Muy buena / Oso ona;45;39;70;Buena / Ona;6;Muy buena / Oso ona;44;0,59;Buena / Ona
02/04/2017;4;16;42;Muy buena / Oso ona;21;60;77;Buena / Ona;5;Muy buena / Oso ona;316;2,23;Buena / Ona
01/04/2017;4;19;41;Muy buena / Oso ona;26;49;75;Buena / Ona;5;Muy buena / Oso ona;308;2,65;Buena / Ona
31/03/2017;13;31;79;Buena / Ona;50;46;75;Buena / Ona;5;Muy buena / Oso ona;7;0,26;Buena / Ona
30/03/2017;22;32;78;Buena / Ona;66;50;75;Buena / Ona;6;Muy buena / Oso ona;143;2,22;Buena / Ona
29/03/2017;53;45;99;Buena / Ona;126;35;78;Buena / Ona;8;Muy buena / Oso ona;76;0,42;Buena / Ona
28/03/2017;30;35;94;Buena / Ona;80;40;82;Buena / Ona;5;Muy buena / Oso ona;309;0,56;Buena / Ona
27/03/2017;6;27;64;Buena / Ona;35;56;67;Buena / Ona;4;Muy buena / Oso ona;140;2,67;Buena / Ona
26/03/2017;4;19;60;Buena / Ona;25;56;70;Buena / Ona;4;Muy buena / Oso ona;144;2,57;Buena / Ona
25/03/2017;3;16;26;Muy buena / Oso ona;20;53;65;Buena / Ona;4;Muy buena / Oso ona;293;0,98;Buena / Ona
24/03/2017;25;31;80;Buena / Ona;70;39;76;Buena / Ona;5;Muy buena / Oso ona;45;0,83;Buena / Ona
23/03/2017;17;33;68;Buena / Ona;59;41;78;Buena / Ona;4;Muy buena / Oso ona;224;0,71;Buena / Ona
22/03/2017;13;29;65;Buena / Ona;49;38;52;Muy buena / Oso ona;4;Muy buena / Oso ona;289;0,81;Buena / Ona
21/03/2017;13;35;60;Buena / Ona;54;34;61;Buena / Ona;5;Muy buena / Oso ona;296;0,77;Buena / Ona
20/03/2017;4;26;49;Muy buena / Oso ona;32;43;67;Buena / Ona;4;Muy buena / Oso ona;316;0,83;Buena / Ona
19/03/2017;6;14;27;Muy buena / Oso ona;23;41;69;Buena / Ona;5;Muy buena / Oso ona;353;0,97;Buena / Ona
18/03/2017;3;18;38;Muy buena / Oso ona;23;48;67;Buena / Ona;4;Muy buena / Oso ona;33;0,36;Buena / Ona
17/03/2017;5;24;58;Buena / Ona;32;50;65;Buena / Ona;6;Muy buena / Oso ona;314;1,79;Buena / Ona
16/03/2017;22;37;62;Buena / Ona;70;39;81;Buena / Ona;6;Muy buena / Oso ona;154;1,34;Buena / Ona
15/03/2017;14;29;50;Muy buena / Oso ona;51;30;64;Buena / Ona;5;Muy buena / Oso ona;27;0,74;Buena / Ona
14/03/2017;11;27;71;Buena / Ona;45;37;61;Buena / Ona;4;Muy buena / Oso ona;358;1,2;Buena / Ona
13/03/2017;3;23;54;Buena / Ona;28;50;70;Buena / Ona;4;Muy buena / Oso ona;312;2,53;Buena / Ona
12/03/2017;2;9;18;Muy buena / Oso ona;13;63;72;Buena / Ona;5;Muy buena / Oso ona;316;3,13;Buena / Ona
11/03/2017;17;28;56;Buena / Ona;55;43;77;Buena / Ona;7;Muy buena / Oso ona;321;1,84;Buena / Ona
10/03/2017;30;43;74;Buena / Ona;89;19;49;Muy buena / Oso ona;8;Muy buena / Oso ona;129;0,64;Buena / Ona
09/03/2017;6;19;34;Muy buena / Oso ona;29;32;49;Muy buena / Oso ona;4;Muy buena / Oso ona;85;0,78;Muy buena / Oso ona
08/03/2017;8;21;56;Buena / Ona;34;39;57;Muy buena / Oso ona;4;Muy buena / Oso ona;30;0,64;Buena / Ona
07/03/2017;25;45;65;Buena / Ona;83;16;31;Muy buena / Oso ona;5;Muy buena / Oso ona;317;1,03;Buena / Ona
06/03/2017;14;37;73;Buena / Ona;58;35;63;Buena / Ona;5;Muy buena / Oso ona;317;2,12;Buena / Ona
05/03/2017;3;17;42;Muy buena / Oso ona;21;45;61;Buena / Ona;4;Muy buena / Oso ona;282;0,36;Buena / Ona
04/03/2017;3;19;40;Muy buena / Oso ona;24;50;73;Buena / Ona;5;Muy buena / Oso ona;290;1,09;Buena / Ona
03/03/2017;4;20;32;Muy buena / Oso ona;26;57;66;Buena / Ona;4;Muy buena / Oso ona;163;1,82;Buena / Ona
02/03/2017;43;36;69;Buena / Ona;102;23;46;Muy buena / Oso ona;3;Muy buena / Oso ona;124;0,26;Buena / Ona
01/03/2017;31;37;72;Buena / Ona;85;24;56;Muy buena / Oso ona;3;Muy buena / Oso ona;214;0,6;Buena / Ona
28/02/2017;6;28;55;Buena / Ona;38;43;60;Muy buena / Oso ona;4;Muy buena / Oso ona;289;1,56;Buena / Ona
27/02/2017;19;28;76;Buena / Ona;57;37;70;Buena / Ona;4;Muy buena / Oso ona;244;0,94;Buena / Ona
26/02/2017;7;25;56;Buena / Ona;35;30;65;Buena / Ona;5;Muy buena / Oso ona;69;0,33;Buena / Ona
25/02/2017;13;30;63;Buena / Ona;49;29;65;Buena / Ona;5;Muy buena / Oso ona;161;0,77;Buena / Ona
24/02/2017;12;32;68;Buena / Ona;51;37;62;Buena / Ona;4;Muy buena / Oso ona;316;0,84;Buena / Ona
23/02/2017;19;37;57;Buena / Ona;65;20;40;Muy buena / Oso ona;5;Muy buena / Oso ona;330;0,86;Buena / Ona
22/02/2017;30;35;57;Buena / Ona;81;17;42;Muy buena / Oso ona;6;Muy buena / Oso ona;54;0,48;Buena / Ona
21/02/2017;22;31;62;Buena / Ona;64;28;60;Muy buena / Oso ona;5;Muy buena / Oso ona;141;0,27;Buena / Ona
20/02/2017;32;39;69;Buena / Ona;88;27;67;Buena / Ona;5;Muy buena / Oso ona;25;0,37;Buena / Ona
19/02/2017;7;24;66;Buena / Ona;35;46;69;Buena / Ona;4;Muy buena / Oso ona;324;0,94;Buena / Ona
18/02/2017;20;34;65;Buena / Ona;65;29;66;Buena / Ona;9;Muy buena / Oso ona;310;1,16;Buena / Ona
17/02/2017;71;49;96;Buena / Ona;158;20;52;Muy buena / Oso ona;7;Muy buena / Oso ona;313;0,2;Buena / Ona
16/02/2017;47;45;81;Buena / Ona;117;23;57;Muy buena / Oso ona;5;Muy buena / Oso ona;262;0,15;Buena / Ona
15/02/2017;20;35;86;Buena / Ona;65;39;55;Muy buena / Oso ona;5;Muy buena / Oso ona;136;2,29;Buena / Ona
14/02/2017;30;30;78;Buena / Ona;77;33;58;Muy buena / Oso ona;5;Muy buena / Oso ona;137;1,65;Buena / Ona
13/02/2017;11;23;57;Buena / Ona;40;49;71;Buena / Ona;3;Muy buena / Oso ona;141;5,04;Buena / Ona
12/02/2017;4;14;26;Muy buena / Oso ona;19;47;69;Buena / Ona;3;Muy buena / Oso ona;138;5,21;Buena / Ona
11/02/2017;26;33;63;Buena / Ona;73;18;40;Muy buena / Oso ona;4;Muy buena / Oso ona;53;0,57;Buena / Ona
10/02/2017;23;37;80;Buena / Ona;73;38;58;Muy buena / Oso ona;4;Muy buena / Oso ona;138;2,21;Buena / Ona
09/02/2017;28;42;62;Buena / Ona;85;18;41;Muy buena / Oso ona;4;Muy buena / Oso ona;149;1,35;Buena / Ona
08/02/2017;10;39;69;Buena / Ona;54;40;65;Buena / Ona;3;Muy buena / Oso ona;316;1,58;Buena / Ona
07/02/2017;13;33;69;Buena / Ona;53;32;61;Buena / Ona;3;Muy buena / Oso ona;304;1,78;Buena / Ona
06/02/2017;28;50;75;Buena / Ona;93;17;71;Buena / Ona;3;Muy buena / Oso ona;183;0,54;Buena / Ona
05/02/2017;2;6;16;Muy buena / Oso ona;9;73;78;Buena / Ona;3;Muy buena / Oso ona;298;3,78;Buena / Ona
04/02/2017;4;22;44;Muy buena / Oso ona;28;42;69;Buena / Ona;3;Muy buena / Oso ona;214;0,81;Buena / Ona
03/02/2017;4;10;25;Muy buena / Oso ona;16;73;79;Buena / Ona;4;Muy buena / Oso ona;195;2,79;Buena / Ona
02/02/2017;4;12;21;Muy buena / Oso ona;17;65;75;Buena / Ona;4;Muy buena / Oso ona;170;2,89;Buena / Ona
01/02/2017;24;26;78;Buena / Ona;62;35;56;Muy buena / Oso ona;5;Muy buena / Oso ona;197;1,37;Buena / Ona
31/01/2017;25;34;64;Buena / Ona;73;24;38;Muy buena / Oso ona;5;Muy buena / Oso ona;152;1,37;Buena / Ona
30/01/2017;56;37;86;Buena / Ona;123;15;27;Muy buena / Oso ona;5;Muy buena / Oso ona;159;0,89;Buena / Ona
29/01/2017;12;25;50;Muy buena / Oso ona;44;29;56;Muy buena / Oso ona;5;Muy buena / Oso ona;188;0,72;Muy buena / Oso ona
28/01/2017;19;31;63;Buena / Ona;61;26;55;Muy buena / Oso ona;5;Muy buena / Oso ona;264;0,36;Buena / Ona
27/01/2017;7;24;57;Buena / Ona;35;49;61;Buena / Ona;5;Muy buena / Oso ona;138;4,53;Buena / Ona
26/01/2017;11;31;56;Buena / Ona;48;36;58;Muy buena / Oso ona;6;Muy buena / Oso ona;132;3,91;Buena / Ona
25/01/2017;49;43;75;Buena / Ona;118;21;54;Muy buena / Oso ona;6;Muy buena / Oso ona;75;0,24;Buena / Ona
24/01/2017;89;50;83;Buena / Ona;186;16;43;Muy buena / Oso ona;6;Muy buena / Oso ona;316;0,69;Buena / Ona
23/01/2017;62;43;81;Buena / Ona;137;18;47;Muy buena / Oso ona;6;Muy buena / Oso ona;315;1,48;Buena / Ona
22/01/2017;23;33;70;Buena / Ona;69;16;41;Muy buena / Oso ona;5;Muy buena / Oso ona;314;1,01;Buena / Ona
21/01/2017;36;38;54;Buena / Ona;94;12;30;Muy buena / Oso ona;6;Muy buena / Oso ona;213;0,28;Buena / Ona
20/01/2017;57;39;56;Buena / Ona;126;12;29;Muy buena / Oso ona;7;Muy buena / Oso ona;195;0,3;Buena / Ona
19/01/2017;15;32;47;Muy buena / Oso ona;55;17;29;Muy buena / Oso ona;5;Muy buena / Oso ona;128;0,79;Muy buena / Oso ona
18/01/2017;19;36;53;Buena / Ona;65;16;34;Muy buena / Oso ona;5;Muy buena / Oso ona;316;0,95;Buena / Ona
17/01/2017;24;26;70;Buena / Ona;63;42;59;Muy buena / Oso ona;4;Muy buena / Oso ona;10;1,22;Buena / Ona
16/01/2017;3;16;33;Muy buena / Oso ona;20;56;71;Buena / Ona;4;Muy buena / Oso ona;317;3,96;Buena / Ona
15/01/2017;3;17;36;Muy buena / Oso ona;21;53;59;Muy buena / Oso ona;4;Muy buena / Oso ona;319;1,82;Muy buena / Oso ona
14/01/2017;4;20;47;Muy buena / Oso ona;27;48;55;Muy buena / Oso ona;4;Muy buena / Oso ona;321;1,39;Muy buena / Oso ona
13/01/2017;6;26;64;Buena / Ona;35;50;69;Buena / Ona;4;Muy buena / Oso ona;311;2,46;Buena / Ona
12/01/2017;30;34;54;Buena / Ona;80;14;29;Muy buena / Oso ona;5;Muy buena / Oso ona;307;1,02;Buena / Ona
11/01/2017;5;23;50;Muy buena / Oso ona;30;40;61;Buena / Ona;4;Muy buena / Oso ona;314;3,56;Buena / Ona
10/01/2017;26;30;79;Buena / Ona;71;31;54;Muy buena / Oso ona;5;Muy buena / Oso ona;316;2,52;Buena / Ona
09/01/2017;65;48;75;Buena / Ona;148;12;30;Muy buena / Oso ona;6;Muy buena / Oso ona;187;0,59;Buena / Ona
08/01/2017;17;35;52;Buena / Ona;60;19;41;Muy buena / Oso ona;5;Muy buena / Oso ona;330;0,17;Buena / Ona
07/01/2017;38;38;64;Buena / Ona;96;13;34;Muy buena / Oso ona;6;Muy buena / Oso ona;215;0,22;Buena / Ona
06/01/2017;20;31;51;Buena / Ona;61;15;40;Muy buena / Oso ona;5;Muy buena / Oso ona;329;0,16;Buena / Ona
05/01/2017;35;43;68;Buena / Ona;96;13;34;Muy buena / Oso ona;6;Muy buena / Oso ona;155;1,56;Buena / Ona
04/01/2017;67;40;56;Buena / Ona;142;6;14;Muy buena / Oso ona;7;Muy buena / Oso ona;180;0,3;Buena / Ona
03/01/2017;65;37;61;Buena / Ona;137;8;21;Muy buena / Oso ona;6;Muy buena / Oso ona;118;0,45;Buena / Ona
02/01/2017;39;35;59;Buena / Ona;95;16;23;Muy buena / Oso ona;5;Muy buena / Oso ona;155;1,37;Buena / Ona
01/01/2017;27;24;47;Muy buena / Oso ona;65;11;27;Muy buena / Oso ona;5;Muy buena / Oso ona;197;0,28;Muy buena / Oso ona
