Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SH2 (µg/m3);SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;4;8;13;Muy buena / Oso ona;14;59;84;Buena / Ona;10;Muy buena / Oso ona;1;3;Muy buena / Oso ona;332;83;1027,3;0;31,7;16;0,48;Buena / Ona
27/10/2017;7;13;27;Muy buena / Oso ona;23;48;78;Buena / Ona;18;Muy buena / Oso ona;1;4;Muy buena / Oso ona;308;86;1028,9;0;69,9;16;0,57;Buena / Ona
26/10/2017;7;19;48;Muy buena / Oso ona;29;49;69;Buena / Ona;23;Muy buena / Oso ona;1;7;Muy buena / Oso ona;176;65;1022,7;0;234,5;19;0,29;Buena / Ona
25/10/2017;18;40;66;Buena / Ona;67;16;27;Muy buena / Oso ona;27;Buena / Ona;2;11;Muy buena / Oso ona;180;76;1018,6;0;240,9;16;0,41;Buena / Ona
24/10/2017;22;37;55;Buena / Ona;71;16;32;Muy buena / Oso ona;24;Muy buena / Oso ona;1;8;Muy buena / Oso ona;133;72;1019,6;0;222,8;16;0,98;Buena / Ona
23/10/2017;5;16;29;Muy buena / Oso ona;23;37;59;Muy buena / Oso ona;10;Muy buena / Oso ona;1;4;Muy buena / Oso ona;186;77;1023,6;0;260,5;14;0,67;Muy buena / Oso ona
22/10/2017;2;4;6;Muy buena / Oso ona;8;62;70;Buena / Ona;9;Muy buena / Oso ona;1;2;Muy buena / Oso ona;225;81;1025,8;0;42,7;14;1,54;Buena / Ona
21/10/2017;1;4;6;Muy buena / Oso ona;6;70;76;Buena / Ona;15;Muy buena / Oso ona;1;2;Muy buena / Oso ona;270;70;1020,9;0;62,2;17;2,33;Buena / Ona
20/10/2017;;;;Sin datos / Daturik gabe;13;51;56;Muy buena / Oso ona;10;Muy buena / Oso ona;1;3;Muy buena / Oso ona;210;61;1012,2;0;240,4;20;1,26;Muy buena / Oso ona
19/10/2017;3;7;20;Muy buena / Oso ona;10;51;60;Muy buena / Oso ona;6;Muy buena / Oso ona;1;2;Muy buena / Oso ona;193;69;1008;0;230,2;17;1,29;Muy buena / Oso ona
18/10/2017;3;9;19;Muy buena / Oso ona;13;43;53;Muy buena / Oso ona;11;Muy buena / Oso ona;1;2;Muy buena / Oso ona;205;85;1007,4;0;17,6;15;0,72;Muy buena / Oso ona
17/10/2017;1;9;20;Muy buena / Oso ona;11;59;76;Buena / Ona;28;Buena / Ona;1;2;Muy buena / Oso ona;180;72;1012,4;0;103,4;20;1,16;Buena / Ona
16/10/2017;2;9;16;Muy buena / Oso ona;9;68;75;Buena / Ona;29;Buena / Ona;1;2;Muy buena / Oso ona;205;71;1017,8;0;205,6;22;1,26;Buena / Ona
15/10/2017;;;;Sin datos / Daturik gabe;3;71;75;Buena / Ona;27;Buena / Ona;1;2;Muy buena / Oso ona;197;54;1016,4;0;121,8;25;4,13;Buena / Ona
14/10/2017;2;9;20;Muy buena / Oso ona;11;61;81;Buena / Ona;31;Buena / Ona;2;3;Muy buena / Oso ona;157;71;1018,7;0;254,4;22;0,88;Buena / Ona
13/10/2017;5;22;41;Muy buena / Oso ona;30;40;67;Buena / Ona;38;Buena / Ona;1;6;Muy buena / Oso ona;52;83;1020,6;0;192,7;18;0,43;Buena / Ona
12/10/2017;4;16;28;Muy buena / Oso ona;22;36;64;Buena / Ona;23;Muy buena / Oso ona;1;4;Muy buena / Oso ona;145;86;1021,1;0;253,9;16;0,45;Buena / Ona
11/10/2017;2;13;31;Muy buena / Oso ona;16;56;76;Buena / Ona;20;Muy buena / Oso ona;1;3;Muy buena / Oso ona;215;70;1017,5;0;215,1;18;0,71;Buena / Ona
10/10/2017;6;16;32;Muy buena / Oso ona;25;32;61;Buena / Ona;15;Muy buena / Oso ona;1;4;Muy buena / Oso ona;206;87;1017,4;0;259,4;15;0,91;Buena / Ona
09/10/2017;7;18;36;Muy buena / Oso ona;29;37;63;Buena / Ona;15;Muy buena / Oso ona;1;5;Muy buena / Oso ona;199;81;1019,2;0;298,6;14;0,62;Buena / Ona
08/10/2017;3;10;13;Muy buena / Oso ona;14;46;84;Buena / Ona;13;Muy buena / Oso ona;1;3;Muy buena / Oso ona;209;82;1019,9;0;306;14;0,92;Buena / Ona
07/10/2017;3;9;19;Muy buena / Oso ona;13;41;75;Buena / Ona;12;Muy buena / Oso ona;1;4;Muy buena / Oso ona;190;82;1021,5;0;306,8;14;0,75;Buena / Ona
06/10/2017;2;12;32;Muy buena / Oso ona;14;48;79;Buena / Ona;11;Muy buena / Oso ona;1;3;Muy buena / Oso ona;264;88;1023,2;0;33,1;17;0,83;Buena / Ona
05/10/2017;3;9;18;Muy buena / Oso ona;13;49;80;Buena / Ona;14;Muy buena / Oso ona;1;2;Muy buena / Oso ona;327;90;1021,4;0;27,9;19;0,69;Buena / Ona
04/10/2017;7;11;19;Muy buena / Oso ona;21;21;42;Muy buena / Oso ona;18;Muy buena / Oso ona;1;3;Muy buena / Oso ona;240;89;1019,8;0;253,2;19;0,33;Muy buena / Oso ona
03/10/2017;7;12;23;Muy buena / Oso ona;22;13;;Sin datos / Daturik gabe;11;Muy buena / Oso ona;;2;Muy buena / Oso ona;258;94;1020,5;0;48,2;19;0,19;Muy buena / Oso ona
02/10/2017;6;15;35;Muy buena / Oso ona;23;22;28;Muy buena / Oso ona;14;Muy buena / Oso ona;;2;Muy buena / Oso ona;205;92;1021,6;0;29;19;0,48;Muy buena / Oso ona
01/10/2017;1;5;13;Muy buena / Oso ona;7;38;48;Muy buena / Oso ona;9;Muy buena / Oso ona;;2;Muy buena / Oso ona;234;86;1020,3;0;35,1;19;1,15;Muy buena / Oso ona
30/09/2017;2;8;18;Muy buena / Oso ona;10;54;67;Buena / Ona;5;Muy buena / Oso ona;;3;Muy buena / Oso ona;259;93;1019,4;0,1;28,3;17;0,3;Buena / Ona
29/09/2017;6;17;52;Buena / Ona;26;41;84;Buena / Ona;22;Muy buena / Oso ona;1;6;Muy buena / Oso ona;297;85;1018,4;0;270;19;0,45;Buena / Ona
28/09/2017;3;18;37;Muy buena / Oso ona;22;53;80;Buena / Ona;21;Muy buena / Oso ona;1;6;Muy buena / Oso ona;168;75;1017,1;0;280,3;20;0,86;Buena / Ona
27/09/2017;2;13;30;Muy buena / Oso ona;17;51;75;Buena / Ona;12;Muy buena / Oso ona;;7;Muy buena / Oso ona;164;71;1015,8;0;323,3;19;0,43;Buena / Ona
26/09/2017;3;10;20;Muy buena / Oso ona;16;37;54;Muy buena / Oso ona;10;Muy buena / Oso ona;;5;Muy buena / Oso ona;214;84;1018,3;0;280,3;17;0,8;Muy buena / Oso ona
25/09/2017;2;7;14;Muy buena / Oso ona;10;50;75;Buena / Ona;10;Muy buena / Oso ona;;2;Muy buena / Oso ona;230;86;1019,2;0;86,4;17;1,31;Buena / Ona
24/09/2017;3;10;26;Muy buena / Oso ona;15;62;90;Buena / Ona;18;Muy buena / Oso ona;;7;Muy buena / Oso ona;303;81;1015,6;0;281;19;0,41;Buena / Ona
23/09/2017;1;9;21;Muy buena / Oso ona;11;60;89;Buena / Ona;15;Muy buena / Oso ona;;3;Muy buena / Oso ona;185;75;1014,9;0;322,5;20;1,53;Buena / Ona
22/09/2017;2;10;20;Muy buena / Oso ona;13;50;67;Buena / Ona;10;Muy buena / Oso ona;;3;Muy buena / Oso ona;348;89;1018,7;0;29,1;17;0,45;Buena / Ona
21/09/2017;6;13;29;Muy buena / Oso ona;22;44;78;Buena / Ona;15;Muy buena / Oso ona;1;3;Muy buena / Oso ona;283;85;1015,3;0,1;193,8;17;0,46;Buena / Ona
20/09/2017;13;23;38;Muy buena / Oso ona;38;30;57;Muy buena / Oso ona;13;Muy buena / Oso ona;1;6;Muy buena / Oso ona;143;78;1016,6;0;320,6;16;0,52;Muy buena / Oso ona
19/09/2017;;;;Sin datos / Daturik gabe;;47;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;1;4;Muy buena / Oso ona;217;83;1021,8;0;260,4;15;0,7;Muy buena / Oso ona
18/09/2017;;;;Sin datos / Daturik gabe;9;44;60;Muy buena / Oso ona;6;Muy buena / Oso ona;1;3;Muy buena / Oso ona;212;93;1017;0,2;38,1;15;0,72;Muy buena / Oso ona
17/09/2017;;;;Sin datos / Daturik gabe;;59;73;Buena / Ona;6;Muy buena / Oso ona;1;3;Muy buena / Oso ona;235;71;1015;0;150,6;16;1,28;Buena / Ona
16/09/2017;;;;Sin datos / Daturik gabe;;57;67;Buena / Ona;4;Muy buena / Oso ona;1;3;Muy buena / Oso ona;216;82;1014,2;0,1;149,6;13;1,31;Buena / Ona
15/09/2017;;;;Sin datos / Daturik gabe;;49;61;Buena / Ona;6;Muy buena / Oso ona;1;3;Muy buena / Oso ona;229;84;1015,4;0,1;131,8;14;1,7;Buena / Ona
14/09/2017;;;;Sin datos / Daturik gabe;5;53;70;Buena / Ona;11;Muy buena / Oso ona;1;3;Muy buena / Oso ona;274;77;1019,1;0,1;148,7;17;1,57;Buena / Ona
13/09/2017;;;;Sin datos / Daturik gabe;;39;56;Muy buena / Oso ona;9;Muy buena / Oso ona;1;3;Muy buena / Oso ona;241;79;1017,6;0;327,8;20;0,81;Muy buena / Oso ona
12/09/2017;;;;Sin datos / Daturik gabe;5;54;68;Buena / Ona;8;Muy buena / Oso ona;1;3;Muy buena / Oso ona;230;83;1016,2;0;198,9;17;0,86;Buena / Ona
11/09/2017;;;;Sin datos / Daturik gabe;5;58;68;Buena / Ona;12;Muy buena / Oso ona;1;3;Muy buena / Oso ona;271;82;1011,9;0,1;115;18;2,4;Buena / Ona
10/09/2017;;;;Sin datos / Daturik gabe;;62;71;Buena / Ona;10;Muy buena / Oso ona;1;3;Muy buena / Oso ona;259;75;1011,3;0,1;172,9;18;1,76;Buena / Ona
09/09/2017;;;;Sin datos / Daturik gabe;;64;72;Buena / Ona;7;Muy buena / Oso ona;1;3;Muy buena / Oso ona;263;79;1007,9;0,2;150,5;17;2,65;Buena / Ona
08/09/2017;;;;Sin datos / Daturik gabe;;58;78;Buena / Ona;14;Muy buena / Oso ona;1;4;Muy buena / Oso ona;219;74;1012;0;277,8;18;1,5;Buena / Ona
07/09/2017;;;;Sin datos / Daturik gabe;6;46;69;Buena / Ona;10;Muy buena / Oso ona;1;3;Muy buena / Oso ona;228;76;1019,4;0;189,3;18;1;Buena / Ona
06/09/2017;;;;Sin datos / Daturik gabe;7;48;63;Buena / Ona;9;Muy buena / Oso ona;1;3;Muy buena / Oso ona;260;84;1023,3;0,1;64;19;0,67;Buena / Ona
05/09/2017;;;;Sin datos / Daturik gabe;18;38;63;Buena / Ona;11;Muy buena / Oso ona;2;5;Muy buena / Oso ona;251;84;1020,1;0;189;20;0,68;Buena / Ona
04/09/2017;;;;Sin datos / Daturik gabe;9;36;56;Muy buena / Oso ona;7;Muy buena / Oso ona;1;3;Muy buena / Oso ona;259;84;1014,4;0;154,5;20;0,71;Muy buena / Oso ona
03/09/2017;;;;Sin datos / Daturik gabe;8;47;71;Buena / Ona;9;Muy buena / Oso ona;1;5;Muy buena / Oso ona;228;75;1012,2;0;221,9;20;0,49;Buena / Ona
02/09/2017;;;;Sin datos / Daturik gabe;4;54;77;Buena / Ona;7;Muy buena / Oso ona;1;4;Muy buena / Oso ona;227;75;1020,6;0;351,1;18;0,45;Buena / Ona
01/09/2017;;;;Sin datos / Daturik gabe;4;58;75;Buena / Ona;7;Muy buena / Oso ona;1;3;Muy buena / Oso ona;251;78;1020,7;0;214,2;18;1,67;Buena / Ona
31/08/2017;0;4;12;Muy buena / Oso ona;4;56;76;Buena / Ona;6;Muy buena / Oso ona;1;4;Muy buena / Oso ona;218;81;1019;0;191,5;18;0,83;Buena / Ona
30/08/2017;0;6;21;Muy buena / Oso ona;7;53;68;Buena / Ona;11;Muy buena / Oso ona;1;3;Muy buena / Oso ona;297;89;1012,5;0,2;130,2;19;0,94;Buena / Ona
29/08/2017;2;9;37;Muy buena / Oso ona;12;57;89;Buena / Ona;13;Muy buena / Oso ona;1;3;Muy buena / Oso ona;261;84;1010,9;0,1;296;21;0,2;Buena / Ona
28/08/2017;0;3;17;Muy buena / Oso ona;4;55;71;Buena / Ona;12;Muy buena / Oso ona;1;3;Muy buena / Oso ona;196;73;1010,9;0,1;65,5;23;2,36;Buena / Ona
27/08/2017;0;4;21;Muy buena / Oso ona;4;45;60;Muy buena / Oso ona;13;Muy buena / Oso ona;1;3;Muy buena / Oso ona;191;74;1010,8;0,1;74,6;23;1,6;Muy buena / Oso ona
26/08/2017;1;7;15;Muy buena / Oso ona;8;42;61;Buena / Ona;11;Muy buena / Oso ona;1;3;Muy buena / Oso ona;132;84;1011;0;125,2;22;0,13;Buena / Ona
25/08/2017;1;9;23;Muy buena / Oso ona;10;42;58;Muy buena / Oso ona;9;Muy buena / Oso ona;1;3;Muy buena / Oso ona;328;84;1013;0;85,3;21;0,3;Muy buena / Oso ona
24/08/2017;1;6;22;Muy buena / Oso ona;6;47;58;Muy buena / Oso ona;11;Muy buena / Oso ona;1;3;Muy buena / Oso ona;314;86;1013,6;0;115,5;21;0,64;Muy buena / Oso ona
23/08/2017;1;7;20;Muy buena / Oso ona;8;44;58;Muy buena / Oso ona;18;Muy buena / Oso ona;1;4;Muy buena / Oso ona;14;81;1015,1;0;111,1;21;0,17;Muy buena / Oso ona
22/08/2017;1;12;34;Muy buena / Oso ona;13;59;;Sin datos / Daturik gabe;25;Muy buena / Oso ona;2;4;Muy buena / Oso ona;330;72;1012,9;0;301;23;0,61;Muy buena / Oso ona
21/08/2017;5;20;33;Muy buena / Oso ona;27;53;103;Mejorable / Hobetzeko modukoa;19;Muy buena / Oso ona;2;5;Muy buena / Oso ona;127;65;1013,2;0;415,3;23;0,47;Mejorable / Hobetzeko modukoa
20/08/2017;0;4;9;Muy buena / Oso ona;5;43;69;Buena / Ona;10;Muy buena / Oso ona;2;4;Muy buena / Oso ona;187;76;1021,5;0;417,9;18;0,18;Buena / Ona
19/08/2017;0;4;13;Muy buena / Oso ona;4;44;59;Muy buena / Oso ona;9;Muy buena / Oso ona;2;3;Muy buena / Oso ona;61;83;1020,9;0;186,8;19;0,23;Muy buena / Oso ona
18/08/2017;0;5;20;Muy buena / Oso ona;6;47;70;Buena / Ona;8;Muy buena / Oso ona;2;3;Muy buena / Oso ona;252;86;1017,9;0,2;118;21;0,61;Buena / Ona
17/08/2017;1;8;18;Muy buena / Oso ona;9;49;76;Buena / Ona;10;Muy buena / Oso ona;2;6;Muy buena / Oso ona;316;75;1017,4;0;409,3;21;0,45;Buena / Ona
16/08/2017;1;7;19;Muy buena / Oso ona;7;34;54;Muy buena / Oso ona;7;Muy buena / Oso ona;2;4;Muy buena / Oso ona;303;81;1018,9;0;324,9;20;0,6;Muy buena / Oso ona
15/08/2017;0;3;6;Muy buena / Oso ona;3;43;52;Muy buena / Oso ona;8;Muy buena / Oso ona;2;2;Muy buena / Oso ona;295;84;1016,7;0;45,4;20;0,56;Muy buena / Oso ona
14/08/2017;2;9;25;Muy buena / Oso ona;11;51;82;Buena / Ona;17;Muy buena / Oso ona;2;3;Muy buena / Oso ona;155;73;1010,6;0;326,4;23;0,72;Buena / Ona
13/08/2017;0;5;9;Muy buena / Oso ona;5;40;65;Buena / Ona;9;Muy buena / Oso ona;2;4;Muy buena / Oso ona;238;81;1016,7;0;272,8;18;0,46;Buena / Ona
12/08/2017;2;7;21;Muy buena / Oso ona;10;46;72;Buena / Ona;11;Muy buena / Oso ona;2;7;Muy buena / Oso ona;306;75;1020,6;0;423,9;18;0,15;Buena / Ona
11/08/2017;1;5;10;Muy buena / Oso ona;7;50;71;Buena / Ona;11;Muy buena / Oso ona;2;5;Muy buena / Oso ona;271;76;1022,6;0;346,5;17;0,58;Buena / Ona
10/08/2017;0;5;10;Muy buena / Oso ona;5;60;70;Buena / Ona;12;Muy buena / Oso ona;2;2;Muy buena / Oso ona;275;77;1023,6;0;89,8;17;1,81;Buena / Ona
09/08/2017;0;2;8;Muy buena / Oso ona;2;68;77;Buena / Ona;7;Muy buena / Oso ona;2;2;Muy buena / Oso ona;272;72;1019,3;0,1;258,1;17;1,86;Buena / Ona
08/08/2017;0;3;6;Muy buena / Oso ona;3;63;73;Buena / Ona;7;Muy buena / Oso ona;2;3;Muy buena / Oso ona;263;76;1016,6;0;105,9;18;1,63;Buena / Ona
07/08/2017;0;3;9;Muy buena / Oso ona;3;64;74;Buena / Ona;13;Muy buena / Oso ona;2;4;Muy buena / Oso ona;257;82;1012,8;0;92,7;20;1,78;Buena / Ona
06/08/2017;0;6;19;Muy buena / Oso ona;7;60;71;Buena / Ona;9;Muy buena / Oso ona;2;10;Muy buena / Oso ona;10;69;1019,4;0;267,6;20;1,17;Buena / Ona
05/08/2017;0;3;6;Muy buena / Oso ona;3;55;64;Buena / Ona;5;Muy buena / Oso ona;2;3;Muy buena / Oso ona;332;93;1018,7;0,3;45,4;19;1,31;Buena / Ona
04/08/2017;0;5;11;Muy buena / Oso ona;6;54;62;Buena / Ona;11;Muy buena / Oso ona;2;4;Muy buena / Oso ona;300;72;1014,8;0;413,7;24;0,56;Buena / Ona
03/08/2017;1;7;34;Muy buena / Oso ona;9;52;78;Buena / Ona;15;Muy buena / Oso ona;2;6;Muy buena / Oso ona;298;83;1015,8;0;379;21;0,32;Buena / Ona
02/08/2017;1;6;15;Muy buena / Oso ona;7;47;78;Buena / Ona;15;Muy buena / Oso ona;2;5;Muy buena / Oso ona;5;82;1015,5;0;343;20;0,49;Buena / Ona
01/08/2017;1;7;14;Muy buena / Oso ona;8;35;53;Muy buena / Oso ona;12;Muy buena / Oso ona;2;3;Muy buena / Oso ona;236;88;1013,9;0;79,8;19;0,38;Muy buena / Oso ona
31/07/2017;0;5;8;Muy buena / Oso ona;6;33;52;Muy buena / Oso ona;9;Muy buena / Oso ona;2;3;Muy buena / Oso ona;226;91;1010,8;0;40;18;0,65;Muy buena / Oso ona
30/07/2017;0;4;12;Muy buena / Oso ona;5;34;50;Muy buena / Oso ona;11;Muy buena / Oso ona;2;3;Muy buena / Oso ona;234;87;1012,4;0;34,4;19;0,79;Muy buena / Oso ona
29/07/2017;1;10;25;Muy buena / Oso ona;10;52;81;Buena / Ona;14;Muy buena / Oso ona;2;12;Muy buena / Oso ona;11;65;1012,1;0;425,2;23;0,27;Buena / Ona
28/07/2017;1;8;23;Muy buena / Oso ona;9;42;62;Buena / Ona;9;Muy buena / Oso ona;2;4;Muy buena / Oso ona;271;86;1015,2;0;153,4;20;0,49;Buena / Ona
27/07/2017;2;8;41;Muy buena / Oso ona;12;45;69;Buena / Ona;18;Muy buena / Oso ona;2;6;Muy buena / Oso ona;289;83;1013,4;0;384,9;20;0,71;Buena / Ona
26/07/2017;1;5;25;Muy buena / Oso ona;6;56;84;Buena / Ona;15;Muy buena / Oso ona;1;4;Muy buena / Oso ona;278;79;1014,9;0;386,8;19;0,33;Buena / Ona
25/07/2017;0;2;7;Muy buena / Oso ona;2;53;67;Buena / Ona;9;Muy buena / Oso ona;2;3;Muy buena / Oso ona;262;81;1018,8;0;116,1;18;1,29;Buena / Ona
24/07/2017;0;3;9;Muy buena / Oso ona;4;41;45;Muy buena / Oso ona;5;Muy buena / Oso ona;2;2;Muy buena / Oso ona;293;88;1019,9;0,2;87;19;1,8;Muy buena / Oso ona
23/07/2017;0;1;5;Muy buena / Oso ona;1;54;72;Buena / Ona;13;Muy buena / Oso ona;1;4;Muy buena / Oso ona;282;74;1018,4;0;297,6;20;0,56;Buena / Ona
22/07/2017;0;5;13;Muy buena / Oso ona;5;41;63;Buena / Ona;12;Muy buena / Oso ona;1;3;Muy buena / Oso ona;257;79;1014,1;0;192,5;19;0,61;Buena / Ona
