Date;Benceno (µg/m3);CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;Ortoxileno (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);ICA Estación
28/10/2017;0,55;0,23;0,29;Muy buena / Oso ona;0,38;4;21;44;Muy buena / Oso ona;27;33;55;Muy buena / Oso ona;1,26;19;Muy buena / Oso ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;1,45;Muy buena / Oso ona
27/10/2017;0,92;0,27;0,37;Muy buena / Oso ona;0,66;31;28;61;Buena / Ona;75;21;42;Muy buena / Oso ona;2,37;45;Buena / Ona;18;Buena / Ona;6;Muy buena / Oso ona;3,38;Buena / Ona
26/10/2017;0,63;0,31;0,43;Muy buena / Oso ona;0,89;33;33;70;Buena / Ona;83;22;64;Buena / Ona;2,55;36;Buena / Ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;2,9;Buena / Ona
25/10/2017;1,27;0,42;;Sin datos / Daturik gabe;0,81;36;35;80;Buena / Ona;90;12;;Sin datos / Daturik gabe;2,87;41;Buena / Ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;4,05;Buena / Ona
24/10/2017;0,87;0,31;0,4;Muy buena / Oso ona;0,52;24;37;77;Buena / Ona;73;14;38;Muy buena / Oso ona;2,3;38;Buena / Ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;3,52;Buena / Ona
23/10/2017;56,8;;;Sin datos / Daturik gabe;;11;19;32;Muy buena / Oso ona;36;22;52;Muy buena / Oso ona;;19;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;;Muy buena / Oso ona
22/10/2017;162,6;0,16;0,21;Muy buena / Oso ona;;3;13;18;Muy buena / Oso ona;16;38;54;Muy buena / Oso ona;;17;Muy buena / Oso ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona;;Muy buena / Oso ona
21/10/2017;118,41;0,21;0,24;Muy buena / Oso ona;;3;13;23;Muy buena / Oso ona;17;52;62;Buena / Ona;;29;Buena / Ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;;Buena / Ona
20/10/2017;0,35;0,26;;Sin datos / Daturik gabe;0,21;21;28;52;Buena / Ona;60;17;46;Muy buena / Oso ona;0,76;30;Buena / Ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;1,17;Buena / Ona
19/10/2017;0,22;0,23;0,3;Muy buena / Oso ona;0,18;6;18;36;Muy buena / Oso ona;28;29;53;Muy buena / Oso ona;0,15;17;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;0,21;Muy buena / Oso ona
18/10/2017;4,59;0,31;0,68;Muy buena / Oso ona;5,82;17;29;59;Buena / Ona;55;19;31;Muy buena / Oso ona;6,97;34;Buena / Ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;7,31;Buena / Ona
17/10/2017;0,64;0,33;0,63;Muy buena / Oso ona;0,27;3;20;32;Muy buena / Oso ona;25;38;69;Buena / Ona;1,12;51;Mejorable / Hobetzeko modukoa;15;Muy buena / Oso ona;4;Muy buena / Oso ona;1,8;Mejorable / Hobetzeko modukoa
16/10/2017;0,36;0,22;0,28;Muy buena / Oso ona;0,2;3;16;35;Muy buena / Oso ona;20;53;67;Buena / Ona;0,78;46;Buena / Ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;1,09;Buena / Ona
15/10/2017;0,33;0,26;;Sin datos / Daturik gabe;0,2;2;11;26;Muy buena / Oso ona;14;52;63;Buena / Ona;0,92;37;Buena / Ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;1,01;Buena / Ona
14/10/2017;0,5;0,31;;Sin datos / Daturik gabe;0,35;5;20;59;Buena / Ona;28;43;75;Buena / Ona;1,46;50;Buena / Ona;24;Buena / Ona;4;Muy buena / Oso ona;1,45;Buena / Ona
13/10/2017;0,63;0,28;0,38;Muy buena / Oso ona;0,36;23;22;73;Buena / Ona;57;36;64;Buena / Ona;1,64;56;Mejorable / Hobetzeko modukoa;24;Buena / Ona;4;Muy buena / Oso ona;2,35;Mejorable / Hobetzeko modukoa
12/10/2017;0,61;0,24;0,31;Muy buena / Oso ona;0,37;6;16;30;Muy buena / Oso ona;26;25;60;Muy buena / Oso ona;1,45;32;Buena / Ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;2,02;Buena / Ona
11/10/2017;1,19;0,29;0,54;Muy buena / Oso ona;0,93;30;26;60;Buena / Ona;71;24;60;Muy buena / Oso ona;4,34;42;Buena / Ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;5,47;Buena / Ona
10/10/2017;0,64;0,28;0,35;Muy buena / Oso ona;0,54;14;20;44;Muy buena / Oso ona;41;19;46;Muy buena / Oso ona;1,86;27;Buena / Ona;11;Muy buena / Oso ona;7;Muy buena / Oso ona;2,46;Buena / Ona
09/10/2017;0,48;;;Sin datos / Daturik gabe;0,34;17;20;54;Buena / Ona;46;24;57;Muy buena / Oso ona;1,35;26;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;1,94;Buena / Ona
08/10/2017;0,58;0,25;0,29;Muy buena / Oso ona;0,21;6;13;23;Muy buena / Oso ona;23;29;66;Buena / Ona;0,87;19;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;1,27;Buena / Ona
07/10/2017;0,82;0,33;0,43;Muy buena / Oso ona;0,24;7;18;42;Muy buena / Oso ona;29;26;64;Buena / Ona;1,1;20;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;1,74;Buena / Ona
06/10/2017;0,34;0,25;0,31;Muy buena / Oso ona;0,24;6;19;40;Muy buena / Oso ona;29;32;50;Muy buena / Oso ona;1,06;20;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;1,33;Muy buena / Oso ona
05/10/2017;0,33;0,27;0,32;Muy buena / Oso ona;0,34;6;22;38;Muy buena / Oso ona;31;25;50;Muy buena / Oso ona;1,28;31;Buena / Ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;1,7;Buena / Ona
04/10/2017;0,42;0,3;0,33;Muy buena / Oso ona;0,44;11;17;36;Muy buena / Oso ona;35;11;28;Muy buena / Oso ona;1,58;33;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;1,87;Buena / Ona
03/10/2017;0,38;0,28;0,36;Muy buena / Oso ona;0,32;10;14;24;Muy buena / Oso ona;28;8;18;Muy buena / Oso ona;1,36;18;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;1,8;Muy buena / Oso ona
02/10/2017;0,49;0,35;0,39;Muy buena / Oso ona;0,35;10;28;44;Muy buena / Oso ona;43;7;12;Muy buena / Oso ona;1,43;27;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;1,91;Buena / Ona
01/10/2017;0,55;0,27;0,33;Muy buena / Oso ona;0,23;7;21;28;Muy buena / Oso ona;31;5;16;Muy buena / Oso ona;1,13;23;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;1,59;Muy buena / Oso ona
30/09/2017;0,31;0,2;0,35;Muy buena / Oso ona;0,18;3;14;23;Muy buena / Oso ona;18;36;60;Muy buena / Oso ona;0,86;15;Muy buena / Oso ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;1,03;Muy buena / Oso ona
29/09/2017;0,53;0,36;0,48;Muy buena / Oso ona;0,41;13;24;57;Buena / Ona;44;38;85;Buena / Ona;1,85;43;Buena / Ona;20;Buena / Ona;5;Muy buena / Oso ona;2,54;Buena / Ona
28/09/2017;0,68;0,3;0,42;Muy buena / Oso ona;0,45;16;26;54;Buena / Ona;51;35;84;Buena / Ona;2,18;42;Buena / Ona;17;Buena / Ona;5;Muy buena / Oso ona;2,51;Buena / Ona
27/09/2017;0,61;0,3;0,38;Muy buena / Oso ona;0,5;20;24;57;Buena / Ona;55;28;77;Buena / Ona;2,09;28;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;2,3;Buena / Ona
26/09/2017;0,38;0,19;0,27;Muy buena / Oso ona;0,32;7;19;42;Muy buena / Oso ona;30;28;57;Muy buena / Oso ona;1,39;19;Muy buena / Oso ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;1,77;Muy buena / Oso ona
25/09/2017;0,35;0,27;0,36;Muy buena / Oso ona;0,22;9;22;40;Muy buena / Oso ona;35;26;70;Buena / Ona;1,02;24;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;1,3;Buena / Ona
24/09/2017;0,42;0,33;0,37;Muy buena / Oso ona;0,19;5;15;26;Muy buena / Oso ona;22;49;83;Buena / Ona;1,12;34;Buena / Ona;16;Muy buena / Oso ona;5;Muy buena / Oso ona;1,17;Buena / Ona
23/09/2017;0,54;0,25;0,31;Muy buena / Oso ona;0,31;5;14;25;Muy buena / Oso ona;22;41;83;Buena / Ona;1,42;25;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;1,66;Buena / Ona
22/09/2017;0,35;0,25;0,28;Muy buena / Oso ona;0,33;4;22;31;Muy buena / Oso ona;28;27;48;Muy buena / Oso ona;1,19;16;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;2,18;Muy buena / Oso ona
21/09/2017;0,87;0,28;0,35;Muy buena / Oso ona;0,77;21;23;64;Buena / Ona;56;32;73;Buena / Ona;2,87;37;Buena / Ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;12,89;Buena / Ona
20/09/2017;0,57;0,29;0,36;Muy buena / Oso ona;0,45;14;22;42;Muy buena / Oso ona;43;25;59;Muy buena / Oso ona;1,7;24;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;4,94;Muy buena / Oso ona
19/09/2017;0,39;0,2;0,36;Muy buena / Oso ona;0,18;4;18;33;Muy buena / Oso ona;24;36;68;Buena / Ona;1,01;14;Muy buena / Oso ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;1,31;Buena / Ona
18/09/2017;0,41;0,29;;Sin datos / Daturik gabe;0,22;5;23;34;Muy buena / Oso ona;31;23;32;Muy buena / Oso ona;1;15;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;1,24;Muy buena / Oso ona
17/09/2017;0,36;0,18;0,22;Muy buena / Oso ona;0,18;5;13;24;Muy buena / Oso ona;21;34;67;Buena / Ona;0,88;16;Muy buena / Oso ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Buena / Ona
16/09/2017;0,39;0,2;0,24;Muy buena / Oso ona;0,17;4;15;31;Muy buena / Oso ona;20;34;62;Buena / Ona;0,93;10;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;0,91;Buena / Ona
15/09/2017;0,89;0,26;0,31;Muy buena / Oso ona;0,37;17;23;38;Muy buena / Oso ona;49;22;44;Muy buena / Oso ona;1,48;24;Muy buena / Oso ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;2,34;Muy buena / Oso ona
14/09/2017;0,33;0,28;0,31;Muy buena / Oso ona;0,23;6;20;34;Muy buena / Oso ona;28;32;57;Muy buena / Oso ona;0,97;25;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;1,38;Muy buena / Oso ona
13/09/2017;0,47;0,24;0,27;Muy buena / Oso ona;0,26;13;17;39;Muy buena / Oso ona;37;26;53;Muy buena / Oso ona;1,43;23;Muy buena / Oso ona;8;Muy buena / Oso ona;6;Muy buena / Oso ona;1,79;Muy buena / Oso ona
12/09/2017;0,33;0,25;0,28;Muy buena / Oso ona;0,18;3;15;42;Muy buena / Oso ona;20;39;60;Muy buena / Oso ona;0,81;13;Muy buena / Oso ona;4;Muy buena / Oso ona;6;Muy buena / Oso ona;0,85;Muy buena / Oso ona
11/09/2017;0,35;0,27;0,28;Muy buena / Oso ona;0,19;3;16;22;Muy buena / Oso ona;21;41;55;Muy buena / Oso ona;0,83;28;Buena / Ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;0,98;Buena / Ona
10/09/2017;0,43;0,21;0,27;Muy buena / Oso ona;0,18;3;16;29;Muy buena / Oso ona;20;44;66;Buena / Ona;0,67;19;Muy buena / Oso ona;4;Muy buena / Oso ona;6;Muy buena / Oso ona;0,66;Buena / Ona
09/09/2017;0,38;0,25;0,34;Muy buena / Oso ona;0,22;3;15;33;Muy buena / Oso ona;19;44;55;Muy buena / Oso ona;0,88;15;Muy buena / Oso ona;5;Muy buena / Oso ona;6;Muy buena / Oso ona;0,82;Muy buena / Oso ona
08/09/2017;0,46;0,24;0,33;Muy buena / Oso ona;0,29;6;17;36;Muy buena / Oso ona;27;37;69;Buena / Ona;1,67;30;Buena / Ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;1,62;Buena / Ona
07/09/2017;0,39;0,25;0,29;Muy buena / Oso ona;0,29;6;18;32;Muy buena / Oso ona;27;27;57;Muy buena / Oso ona;1,32;23;Muy buena / Oso ona;6;Muy buena / Oso ona;6;Muy buena / Oso ona;1,4;Muy buena / Oso ona
06/09/2017;0,34;0,25;0,41;Muy buena / Oso ona;0,24;3;18;33;Muy buena / Oso ona;23;23;43;Muy buena / Oso ona;1,05;23;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;1,4;Muy buena / Oso ona
05/09/2017;0,49;0,32;0,43;Muy buena / Oso ona;0,29;12;16;28;Muy buena / Oso ona;34;27;59;Muy buena / Oso ona;1,37;23;Muy buena / Oso ona;8;Muy buena / Oso ona;6;Muy buena / Oso ona;1,84;Muy buena / Oso ona
04/09/2017;0,34;0,26;0,28;Muy buena / Oso ona;0,24;9;17;35;Muy buena / Oso ona;31;18;43;Muy buena / Oso ona;1,11;14;Muy buena / Oso ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;1,5;Muy buena / Oso ona
03/09/2017;0,45;0,19;0,28;Muy buena / Oso ona;0,2;4;16;27;Muy buena / Oso ona;22;31;70;Buena / Ona;1,02;18;Muy buena / Oso ona;7;Muy buena / Oso ona;6;Muy buena / Oso ona;1,59;Buena / Ona
02/09/2017;0,41;0,22;0,29;Muy buena / Oso ona;0,19;3;13;25;Muy buena / Oso ona;18;37;72;Buena / Ona;0,9;16;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;0,97;Buena / Ona
01/09/2017;0,66;0,28;0,36;Muy buena / Oso ona;0,37;9;17;33;Muy buena / Oso ona;30;32;69;Buena / Ona;1,35;25;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;1,88;Buena / Ona
31/08/2017;0,31;0,26;0,46;Muy buena / Oso ona;0,19;3;16;31;Muy buena / Oso ona;21;38;59;Muy buena / Oso ona;0,8;14;Muy buena / Oso ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;0,92;Muy buena / Oso ona
30/08/2017;0,62;0,37;0,49;Muy buena / Oso ona;0,22;5;14;28;Muy buena / Oso ona;21;39;64;Buena / Ona;1,3;29;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;1,68;Buena / Ona
29/08/2017;0,4;0,28;0,36;Muy buena / Oso ona;0,32;5;20;37;Muy buena / Oso ona;28;42;73;Buena / Ona;1,41;27;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;1,8;Buena / Ona
28/08/2017;0,33;0,24;0,32;Muy buena / Oso ona;0,45;13;24;46;Muy buena / Oso ona;44;20;38;Muy buena / Oso ona;1,98;35;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;2,37;Buena / Ona
27/08/2017;0,45;0,36;0,42;Muy buena / Oso ona;0,29;8;18;30;Muy buena / Oso ona;30;17;31;Muy buena / Oso ona;1,28;34;Buena / Ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;1,71;Buena / Ona
26/08/2017;2,79;0,23;0,28;Muy buena / Oso ona;3,64;3;9;20;Muy buena / Oso ona;14;41;62;Buena / Ona;4,42;17;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;4,4;Buena / Ona
25/08/2017;0,23;0,2;0,47;Muy buena / Oso ona;0,22;5;11;24;Muy buena / Oso ona;18;43;57;Muy buena / Oso ona;1,06;20;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;0,85;Muy buena / Oso ona
24/08/2017;0,22;0,36;0,5;Muy buena / Oso ona;0,23;3;10;23;Muy buena / Oso ona;14;45;57;Muy buena / Oso ona;0,91;26;Buena / Ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;1,3;Buena / Ona
23/08/2017;0,29;0,24;0,35;Muy buena / Oso ona;0,25;4;11;23;Muy buena / Oso ona;17;44;64;Buena / Ona;1,1;34;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;0,97;Buena / Ona
22/08/2017;0,31;0,3;;Sin datos / Daturik gabe;0,34;8;20;56;Buena / Ona;33;57;94;Buena / Ona;1,37;44;Buena / Ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;1,54;Buena / Ona
21/08/2017;0,29;0,23;;Sin datos / Daturik gabe;0,24;8;20;39;Muy buena / Oso ona;32;51;100;Buena / Ona;1,21;23;Muy buena / Oso ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;1,47;Buena / Ona
20/08/2017;2,88;;;Sin datos / Daturik gabe;3,63;4;11;30;Muy buena / Oso ona;17;36;65;Buena / Ona;4,09;18;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;4,02;Buena / Ona
19/08/2017;0,29;0,17;0,32;Muy buena / Oso ona;0,16;3;9;25;Muy buena / Oso ona;14;44;64;Buena / Ona;0,64;14;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;0,94;Buena / Ona
18/08/2017;0,42;0,32;0,35;Muy buena / Oso ona;0,36;7;18;37;Muy buena / Oso ona;29;32;61;Buena / Ona;1,35;23;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;2,3;Buena / Ona
17/08/2017;0,42;0,25;0,33;Muy buena / Oso ona;0,23;7;15;38;Muy buena / Oso ona;25;37;66;Buena / Ona;1,13;19;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;1,5;Buena / Ona
16/08/2017;0,25;0,24;0,31;Muy buena / Oso ona;0,19;5;11;21;Muy buena / Oso ona;19;31;55;Muy buena / Oso ona;1,05;12;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;1,21;Muy buena / Oso ona
15/08/2017;0,27;0,22;0,39;Muy buena / Oso ona;0,18;2;9;16;Muy buena / Oso ona;12;28;45;Muy buena / Oso ona;0,82;18;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;1,11;Muy buena / Oso ona
14/08/2017;0,43;0,3;0,4;Muy buena / Oso ona;0,17;9;14;35;Muy buena / Oso ona;28;43;90;Buena / Ona;1,05;27;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;1,4;Buena / Ona
13/08/2017;0,44;0,17;0,21;Muy buena / Oso ona;0,17;3;9;17;Muy buena / Oso ona;13;37;65;Buena / Ona;0,86;16;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;0,87;Buena / Ona
12/08/2017;0,36;0,15;0,21;Muy buena / Oso ona;0,18;5;11;19;Muy buena / Oso ona;18;37;68;Buena / Ona;1;14;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;1,24;Buena / Ona
11/08/2017;0,51;0,18;;Sin datos / Daturik gabe;0,16;9;15;33;Muy buena / Oso ona;28;35;69;Buena / Ona;1,02;20;Muy buena / Oso ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;1,22;Buena / Ona
10/08/2017;0,49;0,17;0,33;Muy buena / Oso ona;0,25;5;22;42;Muy buena / Oso ona;29;31;54;Muy buena / Oso ona;0,41;18;Muy buena / Oso ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;0,83;Muy buena / Oso ona
09/08/2017;0,44;0,23;0,33;Muy buena / Oso ona;0,16;3;14;24;Muy buena / Oso ona;19;39;;Sin datos / Daturik gabe;0,58;17;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;0,73;Muy buena / Oso ona
08/08/2017;0,46;0,19;0,32;Muy buena / Oso ona;0,15;4;17;33;Muy buena / Oso ona;23;40;62;Buena / Ona;0,47;16;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;0,63;Buena / Ona
07/08/2017;0,48;0,26;0,35;Muy buena / Oso ona;0,16;6;15;37;Muy buena / Oso ona;24;45;68;Buena / Ona;0,73;29;Buena / Ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;0,96;Buena / Ona
06/08/2017;0,32;0,21;0,36;Muy buena / Oso ona;0,17;2;6;17;Muy buena / Oso ona;10;46;68;Buena / Ona;0,6;16;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;0,54;Buena / Ona
05/08/2017;0,19;0,23;0,33;Muy buena / Oso ona;0,15;2;9;19;Muy buena / Oso ona;12;32;44;Muy buena / Oso ona;0,51;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;4;Muy buena / Oso ona;0,78;Muy buena / Oso ona
04/08/2017;0,74;0,26;0,33;Muy buena / Oso ona;0,13;5;11;29;Muy buena / Oso ona;19;37;54;Muy buena / Oso ona;0,41;16;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;0,79;Muy buena / Oso ona
03/08/2017;0,5;0,27;0,32;Muy buena / Oso ona;0,22;9;13;29;Muy buena / Oso ona;27;44;77;Buena / Ona;1,1;28;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;1,39;Buena / Ona
02/08/2017;0,37;;;Sin datos / Daturik gabe;0,25;10;14;33;Muy buena / Oso ona;29;42;76;Buena / Ona;1,19;29;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;1,38;Buena / Ona
01/08/2017;0,41;0,24;0,28;Muy buena / Oso ona;1,08;5;14;22;Muy buena / Oso ona;22;30;52;Muy buena / Oso ona;4,09;20;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;1,32;Muy buena / Oso ona
31/07/2017;0,26;0,27;0,32;Muy buena / Oso ona;0,17;3;13;24;Muy buena / Oso ona;17;24;40;Muy buena / Oso ona;0,89;18;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;1,19;Muy buena / Oso ona
30/07/2017;0,36;0,23;0,28;Muy buena / Oso ona;0,19;4;13;24;Muy buena / Oso ona;19;26;46;Muy buena / Oso ona;0,97;19;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;1,47;Muy buena / Oso ona
29/07/2017;0,37;0,27;;Sin datos / Daturik gabe;0,16;5;14;36;Muy buena / Oso ona;22;41;77;Buena / Ona;1,07;17;Muy buena / Oso ona;7;Muy buena / Oso ona;6;Muy buena / Oso ona;1,42;Buena / Ona
28/07/2017;0,18;0,27;0,33;Muy buena / Oso ona;0,17;4;10;16;Muy buena / Oso ona;16;36;53;Muy buena / Oso ona;0,88;16;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;0,87;Muy buena / Oso ona
27/07/2017;0,96;0,24;0,32;Muy buena / Oso ona;0,42;10;16;40;Muy buena / Oso ona;30;36;61;Buena / Ona;1,84;33;Buena / Ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;2,81;Buena / Ona
