Date;Benceno (µg/m3);CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;Ortoxileno (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);ICA Estación
15/04/2017;;0,25;0,29;Muy buena / Oso ona;;2;14;26;Muy buena / Oso ona;16;55;86;Buena / Ona;;22;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;;Buena / Ona
14/04/2017;;0,28;0,31;Muy buena / Oso ona;;2;17;34;Muy buena / Oso ona;20;56;84;Buena / Ona;;31;Buena / Ona;17;Buena / Ona;3;Muy buena / Oso ona;;Buena / Ona
13/04/2017;;0,31;0,36;Muy buena / Oso ona;;5;19;40;Muy buena / Oso ona;27;53;94;Buena / Ona;;26;Buena / Ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
12/04/2017;;0,29;0,38;Muy buena / Oso ona;;6;21;40;Muy buena / Oso ona;30;50;92;Buena / Ona;;32;Buena / Ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
11/04/2017;;0,24;0,32;Muy buena / Oso ona;;2;17;57;Buena / Ona;20;71;96;Buena / Ona;;28;Buena / Ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;;Buena / Ona
10/04/2017;;0,42;0,5;Muy buena / Oso ona;;3;19;35;Muy buena / Oso ona;23;66;98;Buena / Ona;;59;Mejorable / Hobetzeko modukoa;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;;Mejorable / Hobetzeko modukoa
09/04/2017;;0,37;0,46;Muy buena / Oso ona;;5;23;50;Muy buena / Oso ona;30;59;107;Mejorable / Hobetzeko modukoa;;38;Buena / Ona;20;Buena / Ona;6;Muy buena / Oso ona;;Mejorable / Hobetzeko modukoa
08/04/2017;;0,33;0,42;Muy buena / Oso ona;;8;24;70;Buena / Ona;37;49;107;Mejorable / Hobetzeko modukoa;;31;Buena / Ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;;Mejorable / Hobetzeko modukoa
07/04/2017;;0,31;0,41;Muy buena / Oso ona;;8;23;57;Buena / Ona;35;44;82;Buena / Ona;;36;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;;Buena / Ona
06/04/2017;;0,22;0,33;Muy buena / Oso ona;;9;22;61;Buena / Ona;36;50;84;Buena / Ona;;27;Buena / Ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;;Buena / Ona
05/04/2017;;0,23;0,28;Muy buena / Oso ona;;4;22;61;Buena / Ona;27;53;71;Buena / Ona;;17;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;;Buena / Ona
04/04/2017;;0,27;0,31;Muy buena / Oso ona;;3;20;56;Buena / Ona;24;54;76;Buena / Ona;;19;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
03/04/2017;;0,24;0,29;Muy buena / Oso ona;;7;19;40;Muy buena / Oso ona;30;44;79;Buena / Ona;;21;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;;Buena / Ona
02/04/2017;0,31;0,21;0,26;Muy buena / Oso ona;0,09;2;12;35;Muy buena / Oso ona;15;67;87;Buena / Ona;0,45;18;Muy buena / Oso ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona;0,73;Buena / Ona
01/04/2017;0,4;;;Sin datos / Daturik gabe;0,11;3;15;38;Muy buena / Oso ona;18;59;85;Buena / Ona;0,76;16;Muy buena / Oso ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;1,28;Buena / Ona
31/03/2017;0,46;0,25;0,3;Muy buena / Oso ona;0,33;8;27;73;Buena / Ona;39;56;95;Buena / Ona;1,73;22;Muy buena / Oso ona;9;Muy buena / Oso ona;6;Muy buena / Oso ona;2,3;Buena / Ona
30/03/2017;0,6;0,24;0,28;Muy buena / Oso ona;0,66;13;22;74;Buena / Ona;42;63;99;Buena / Ona;2,92;27;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;3,49;Buena / Ona
29/03/2017;0,76;;;Sin datos / Daturik gabe;0,76;26;29;86;Buena / Ona;68;42;90;Buena / Ona;3,13;25;Muy buena / Oso ona;9;Muy buena / Oso ona;7;Muy buena / Oso ona;3,7;Buena / Ona
28/03/2017;0,52;0,26;0,37;Muy buena / Oso ona;0,58;17;24;69;Buena / Ona;49;51;92;Buena / Ona;2,48;17;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;2,54;Buena / Ona
27/03/2017;0,49;0,23;0,35;Muy buena / Oso ona;0,17;2;18;46;Muy buena / Oso ona;21;68;84;Buena / Ona;0,95;13;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;1,37;Buena / Ona
26/03/2017;0,57;0,3;0,37;Muy buena / Oso ona;0,11;2;13;41;Muy buena / Oso ona;16;65;84;Buena / Ona;0,69;9;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;1,11;Buena / Ona
25/03/2017;0,54;0,23;0,26;Muy buena / Oso ona;0,19;2;16;27;Muy buena / Oso ona;19;59;68;Buena / Ona;1,17;9;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;1,31;Buena / Ona
24/03/2017;0,88;0,28;0,36;Muy buena / Oso ona;0,56;16;28;59;Buena / Ona;51;44;80;Buena / Ona;2,79;19;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;3,31;Buena / Ona
23/03/2017;0,67;0,26;0,32;Muy buena / Oso ona;0,22;10;23;63;Buena / Ona;39;48;86;Buena / Ona;1,37;9;Muy buena / Oso ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona;1,93;Buena / Ona
22/03/2017;0,71;0,24;0,29;Muy buena / Oso ona;0,3;8;27;71;Buena / Ona;39;44;61;Buena / Ona;1,85;16;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;2,3;Buena / Ona
21/03/2017;0,59;0,25;0,27;Muy buena / Oso ona;0,36;6;29;54;Buena / Ona;39;39;72;Buena / Ona;1,96;21;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;3,05;Buena / Ona
20/03/2017;0,46;0,25;0,27;Muy buena / Oso ona;0,24;2;20;30;Muy buena / Oso ona;24;55;73;Buena / Ona;1,28;28;Buena / Ona;16;Muy buena / Oso ona;5;Muy buena / Oso ona;2,2;Buena / Ona
19/03/2017;0,51;0,24;0,3;Muy buena / Oso ona;0,17;5;15;28;Muy buena / Oso ona;22;44;73;Buena / Ona;1,04;24;Muy buena / Oso ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;1,63;Buena / Ona
18/03/2017;0,38;0,28;0,31;Muy buena / Oso ona;0,1;2;13;29;Muy buena / Oso ona;16;55;72;Buena / Ona;0,77;20;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;1,32;Buena / Ona
17/03/2017;0,55;0,26;0,28;Muy buena / Oso ona;0,3;3;20;37;Muy buena / Oso ona;24;57;73;Buena / Ona;1,52;37;Buena / Ona;21;Buena / Ona;7;Muy buena / Oso ona;2,09;Buena / Ona
16/03/2017;0,7;;;Sin datos / Daturik gabe;0,63;17;32;78;Buena / Ona;57;41;96;Buena / Ona;2,88;27;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;3,89;Buena / Ona
15/03/2017;0,71;0,32;0,48;Muy buena / Oso ona;0,65;7;24;49;Muy buena / Oso ona;34;32;70;Buena / Ona;2,82;42;Buena / Ona;21;Buena / Ona;6;Muy buena / Oso ona;3,93;Buena / Ona
14/03/2017;0,62;0,29;0,36;Muy buena / Oso ona;0,27;7;26;51;Buena / Ona;36;36;61;Buena / Ona;1,41;29;Buena / Ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;2,47;Buena / Ona
13/03/2017;0,44;0,24;0,26;Muy buena / Oso ona;0,21;3;24;52;Buena / Ona;29;53;76;Buena / Ona;1,19;26;Buena / Ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;1,78;Buena / Ona
12/03/2017;0,35;0,21;0,35;Muy buena / Oso ona;0,06;2;9;19;Muy buena / Oso ona;12;70;78;Buena / Ona;0,63;23;Muy buena / Oso ona;5;Muy buena / Oso ona;6;Muy buena / Oso ona;0,87;Buena / Ona
11/03/2017;1,18;0,36;0,42;Muy buena / Oso ona;0,72;11;24;60;Buena / Ona;41;46;82;Buena / Ona;3,35;40;Buena / Ona;19;Buena / Ona;7;Muy buena / Oso ona;4,97;Buena / Ona
10/03/2017;1,53;0,31;0,37;Muy buena / Oso ona;1,53;22;37;61;Buena / Ona;71;20;56;Muy buena / Oso ona;5,87;50;Buena / Ona;23;Buena / Ona;7;Muy buena / Oso ona;7,79;Buena / Ona
09/03/2017;0,6;0,19;0,21;Muy buena / Oso ona;0,89;5;22;32;Muy buena / Oso ona;30;29;50;Muy buena / Oso ona;3,39;29;Buena / Ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;3,29;Buena / Ona
08/03/2017;0,35;0,25;0,36;Muy buena / Oso ona;0,42;6;20;51;Buena / Ona;29;41;58;Muy buena / Oso ona;2,11;21;Muy buena / Oso ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;2,59;Buena / Ona
07/03/2017;0,9;0,31;0,43;Muy buena / Oso ona;0,77;16;36;63;Buena / Ona;60;22;41;Muy buena / Oso ona;3,44;44;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;5,77;Buena / Ona
06/03/2017;0,51;0,28;0,32;Muy buena / Oso ona;0,41;10;34;70;Buena / Ona;48;37;71;Buena / Ona;2,32;52;Mejorable / Hobetzeko modukoa;12;Muy buena / Oso ona;5;Muy buena / Oso ona;3,02;Mejorable / Hobetzeko modukoa
05/03/2017;0,52;0,29;0,4;Muy buena / Oso ona;0,13;2;16;37;Muy buena / Oso ona;19;47;67;Buena / Ona;1,07;30;Buena / Ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;1,58;Buena / Ona
04/03/2017;0,42;0,26;0,28;Muy buena / Oso ona;0,08;2;17;43;Muy buena / Oso ona;21;55;76;Buena / Ona;0,89;14;Muy buena / Oso ona;5;Muy buena / Oso ona;7;Muy buena / Oso ona;1,25;Buena / Ona
03/03/2017;0,4;0,23;0,3;Muy buena / Oso ona;0,15;4;17;69;Buena / Ona;22;68;78;Buena / Ona;1,25;18;Muy buena / Oso ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;1,22;Buena / Ona
02/03/2017;0,91;0,28;0,4;Muy buena / Oso ona;1,31;25;34;62;Buena / Ona;72;24;49;Muy buena / Oso ona;5,38;27;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;6,69;Buena / Ona
01/03/2017;;0,42;0,59;Muy buena / Oso ona;;21;34;69;Buena / Ona;66;24;62;Buena / Ona;;25;Muy buena / Oso ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;;Buena / Ona
28/02/2017;;0,26;0,31;Muy buena / Oso ona;;4;23;48;Muy buena / Oso ona;28;48;64;Buena / Ona;;18;Muy buena / Oso ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;;Buena / Ona
27/02/2017;0,47;0,26;0,37;Muy buena / Oso ona;0,1;14;24;59;Buena / Ona;45;42;75;Buena / Ona;2,53;28;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;2,48;Buena / Ona
26/02/2017;0,73;0,36;0,43;Muy buena / Oso ona;0,13;5;26;53;Buena / Ona;33;33;68;Buena / Ona;2,63;32;Buena / Ona;17;Buena / Ona;6;Muy buena / Oso ona;3;Buena / Ona
25/02/2017;0,92;0,28;0,35;Muy buena / Oso ona;0,25;7;25;45;Muy buena / Oso ona;35;34;68;Buena / Ona;3,5;31;Buena / Ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;3,45;Buena / Ona
24/02/2017;0,45;;;Sin datos / Daturik gabe;0,44;5;27;68;Buena / Ona;34;41;64;Buena / Ona;1,9;23;Muy buena / Oso ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;1,91;Buena / Ona
23/02/2017;;;;Sin datos / Daturik gabe;;15;35;54;Buena / Ona;58;22;44;Muy buena / Oso ona;;56;Mejorable / Hobetzeko modukoa;30;Buena / Ona;7;Muy buena / Oso ona;;Mejorable / Hobetzeko modukoa
22/02/2017;0,68;0,29;0,54;Muy buena / Oso ona;1,29;21;35;63;Buena / Ona;67;17;40;Muy buena / Oso ona;5,18;43;Buena / Ona;22;Buena / Ona;6;Muy buena / Oso ona;4,18;Buena / Ona
21/02/2017;0,86;0,41;0,57;Muy buena / Oso ona;0,89;21;30;61;Buena / Ona;62;26;60;Muy buena / Oso ona;5,01;33;Buena / Ona;16;Muy buena / Oso ona;6;Muy buena / Oso ona;4,52;Buena / Ona
20/02/2017;0,85;0,29;0,36;Muy buena / Oso ona;0,31;10;30;44;Muy buena / Oso ona;46;27;66;Buena / Ona;2,24;32;Buena / Ona;20;Buena / Ona;5;Muy buena / Oso ona;1,66;Buena / Ona
19/02/2017;0,14;0,22;0,25;Muy buena / Oso ona;0,04;3;20;43;Muy buena / Oso ona;25;48;69;Buena / Ona;0,24;24;Muy buena / Oso ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;0,63;Buena / Ona
18/02/2017;0,28;0,31;0,43;Muy buena / Oso ona;0,29;14;31;70;Buena / Ona;53;27;70;Buena / Ona;0,81;39;Buena / Ona;22;Buena / Ona;9;Muy buena / Oso ona;1,83;Buena / Ona
17/02/2017;;0,28;0,36;Muy buena / Oso ona;;31;34;65;Buena / Ona;81;21;58;Muy buena / Oso ona;;35;Buena / Ona;15;Muy buena / Oso ona;7;Muy buena / Oso ona;;Buena / Ona
16/02/2017;;0,24;;Sin datos / Daturik gabe;;31;33;82;Buena / Ona;81;25;65;Buena / Ona;;32;Buena / Ona;15;Muy buena / Oso ona;7;Muy buena / Oso ona;;Buena / Ona
15/02/2017;;0,16;0,19;Muy buena / Oso ona;;5;22;49;Muy buena / Oso ona;30;42;65;Buena / Ona;;20;Muy buena / Oso ona;8;Muy buena / Oso ona;6;Muy buena / Oso ona;;Buena / Ona
14/02/2017;;0,25;0,36;Muy buena / Oso ona;;15;23;54;Buena / Ona;46;35;65;Buena / Ona;;15;Muy buena / Oso ona;7;Muy buena / Oso ona;6;Muy buena / Oso ona;;Buena / Ona
13/02/2017;;;;Sin datos / Daturik gabe;;4;17;51;Buena / Ona;24;52;79;Buena / Ona;;30;Buena / Ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;;Buena / Ona
12/02/2017;;0,22;0,28;Muy buena / Oso ona;;3;11;33;Muy buena / Oso ona;15;53;77;Buena / Ona;;31;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;;Buena / Ona
11/02/2017;;0,3;0,35;Muy buena / Oso ona;;18;32;63;Buena / Ona;59;17;35;Muy buena / Oso ona;;32;Buena / Ona;19;Buena / Ona;5;Muy buena / Oso ona;;Buena / Ona
10/02/2017;;0,25;0,34;Muy buena / Oso ona;;8;25;54;Buena / Ona;37;38;64;Buena / Ona;;19;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;;Buena / Ona
09/02/2017;;0,21;0,26;Muy buena / Oso ona;;9;33;50;Muy buena / Oso ona;48;21;50;Muy buena / Oso ona;;19;Muy buena / Oso ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;;Muy buena / Oso ona
08/02/2017;;0,23;0,29;Muy buena / Oso ona;;8;35;75;Buena / Ona;47;40;62;Buena / Ona;;16;Muy buena / Oso ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;;Buena / Ona
07/02/2017;;;;Sin datos / Daturik gabe;;8;28;77;Buena / Ona;39;32;58;Muy buena / Oso ona;;18;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;;Buena / Ona
06/02/2017;;0,39;0,64;Muy buena / Oso ona;;28;41;74;Buena / Ona;83;21;70;Buena / Ona;;24;Muy buena / Oso ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;;Buena / Ona
05/02/2017;;0,18;0,19;Muy buena / Oso ona;;2;7;12;Muy buena / Oso ona;10;71;76;Buena / Ona;;15;Muy buena / Oso ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona;;Buena / Ona
04/02/2017;;0,21;0,24;Muy buena / Oso ona;;4;24;48;Muy buena / Oso ona;29;37;74;Buena / Ona;;19;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;;Buena / Ona
03/02/2017;;;;Sin datos / Daturik gabe;;2;6;22;Muy buena / Oso ona;9;79;84;Buena / Ona;;12;Muy buena / Oso ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona;;Buena / Ona
02/02/2017;;0,21;0,39;Muy buena / Oso ona;;2;9;26;Muy buena / Oso ona;12;68;77;Buena / Ona;;8;Muy buena / Oso ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona;;Buena / Ona
01/02/2017;;0,36;0,58;Muy buena / Oso ona;;20;25;68;Buena / Ona;55;33;58;Muy buena / Oso ona;;25;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;;Buena / Ona
31/01/2017;;;;Sin datos / Daturik gabe;;11;26;56;Buena / Ona;43;27;47;Muy buena / Oso ona;;18;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;;Buena / Ona
30/01/2017;;0,33;0,48;Muy buena / Oso ona;;38;30;68;Buena / Ona;90;15;31;Muy buena / Oso ona;;17;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;;Buena / Ona
29/01/2017;;0,32;0,6;Muy buena / Oso ona;;13;27;53;Buena / Ona;47;23;56;Muy buena / Oso ona;;16;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;;Buena / Ona
28/01/2017;;0,41;0,51;Muy buena / Oso ona;;9;22;43;Muy buena / Oso ona;36;31;58;Muy buena / Oso ona;;18;Muy buena / Oso ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;;Muy buena / Oso ona
27/01/2017;;;;Sin datos / Daturik gabe;;5;21;71;Buena / Ona;28;56;69;Buena / Ona;;16;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;;Buena / Ona
26/01/2017;;0,37;0,55;Muy buena / Oso ona;;13;30;60;Buena / Ona;50;37;59;Muy buena / Oso ona;;32;Buena / Ona;19;Buena / Ona;5;Muy buena / Oso ona;;Buena / Ona
25/01/2017;;0,37;0,45;Muy buena / Oso ona;;25;40;68;Buena / Ona;78;20;56;Muy buena / Oso ona;;41;Buena / Ona;20;Buena / Ona;5;Muy buena / Oso ona;;Buena / Ona
24/01/2017;;0,32;0,47;Muy buena / Oso ona;;40;35;63;Buena / Ona;96;17;55;Muy buena / Oso ona;;32;Buena / Ona;18;Buena / Ona;5;Muy buena / Oso ona;;Buena / Ona
23/01/2017;;;;Sin datos / Daturik gabe;;34;36;75;Buena / Ona;88;17;53;Muy buena / Oso ona;;30;Buena / Ona;17;Buena / Ona;5;Muy buena / Oso ona;;Buena / Ona
22/01/2017;;0,48;0,64;Muy buena / Oso ona;;17;30;60;Buena / Ona;57;14;42;Muy buena / Oso ona;;37;Buena / Ona;21;Buena / Ona;5;Muy buena / Oso ona;;Buena / Ona
21/01/2017;;0,3;0,34;Muy buena / Oso ona;;28;35;49;Muy buena / Oso ona;78;11;32;Muy buena / Oso ona;;36;Buena / Ona;21;Buena / Ona;5;Muy buena / Oso ona;;Buena / Ona
20/01/2017;;;;Sin datos / Daturik gabe;;38;37;57;Buena / Ona;95;8;22;Muy buena / Oso ona;;42;Buena / Ona;23;Buena / Ona;5;Muy buena / Oso ona;;Buena / Ona
19/01/2017;;;;Sin datos / Daturik gabe;;10;33;50;Muy buena / Oso ona;48;17;;Sin datos / Daturik gabe;;36;Buena / Ona;20;Buena / Ona;4;Muy buena / Oso ona;;Buena / Ona
18/01/2017;;0,26;0,29;Muy buena / Oso ona;;8;31;54;Buena / Ona;43;22;49;Muy buena / Oso ona;;22;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
17/01/2017;;0,19;0,25;Muy buena / Oso ona;;7;23;60;Buena / Ona;33;45;53;Muy buena / Oso ona;;10;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;;Buena / Ona
16/01/2017;;0,15;0,2;Muy buena / Oso ona;;2;17;34;Muy buena / Oso ona;21;51;67;Buena / Ona;;9;Muy buena / Oso ona;2;Muy buena / Oso ona;4;Muy buena / Oso ona;;Buena / Ona
15/01/2017;;0,2;0,24;Muy buena / Oso ona;;2;16;36;Muy buena / Oso ona;19;51;59;Muy buena / Oso ona;;10;Muy buena / Oso ona;3;Muy buena / Oso ona;5;Muy buena / Oso ona;;Muy buena / Oso ona
14/01/2017;;0,23;0,24;Muy buena / Oso ona;;2;17;35;Muy buena / Oso ona;21;49;55;Muy buena / Oso ona;;9;Muy buena / Oso ona;3;Muy buena / Oso ona;5;Muy buena / Oso ona;;Muy buena / Oso ona
13/01/2017;;0,19;0,24;Muy buena / Oso ona;;3;22;60;Buena / Ona;27;51;63;Buena / Ona;;16;Muy buena / Oso ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;;Buena / Ona
12/01/2017;;0,25;0,31;Muy buena / Oso ona;;14;28;49;Muy buena / Oso ona;49;18;31;Muy buena / Oso ona;;24;Muy buena / Oso ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;;Muy buena / Oso ona
11/01/2017;;0,17;0,2;Muy buena / Oso ona;;3;21;40;Muy buena / Oso ona;25;36;57;Muy buena / Oso ona;;7;Muy buena / Oso ona;3;Muy buena / Oso ona;5;Muy buena / Oso ona;;Muy buena / Oso ona
10/01/2017;;0,29;0,54;Muy buena / Oso ona;;23;30;80;Buena / Ona;65;32;51;Muy buena / Oso ona;;27;Buena / Ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;;Buena / Ona
09/01/2017;;0,34;0,42;Muy buena / Oso ona;;33;35;54;Buena / Ona;85;15;40;Muy buena / Oso ona;;31;Buena / Ona;18;Buena / Ona;6;Muy buena / Oso ona;;Buena / Ona
08/01/2017;;0,32;0,37;Muy buena / Oso ona;;13;35;62;Buena / Ona;55;15;35;Muy buena / Oso ona;;22;Muy buena / Oso ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;;Buena / Ona
07/01/2017;;0,32;0,38;Muy buena / Oso ona;;17;30;55;Buena / Ona;57;13;31;Muy buena / Oso ona;;29;Buena / Ona;18;Buena / Ona;6;Muy buena / Oso ona;;Buena / Ona
06/01/2017;;0,33;0,42;Muy buena / Oso ona;;14;28;42;Muy buena / Oso ona;50;17;42;Muy buena / Oso ona;;33;Buena / Ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;;Buena / Ona
05/01/2017;;0,33;0,55;Muy buena / Oso ona;;22;39;61;Buena / Ona;73;16;42;Muy buena / Oso ona;;35;Buena / Ona;20;Buena / Ona;6;Muy buena / Oso ona;;Buena / Ona
04/01/2017;;0,46;0,55;Muy buena / Oso ona;;50;36;54;Buena / Ona;113;6;14;Muy buena / Oso ona;;56;Mejorable / Hobetzeko modukoa;29;Buena / Ona;7;Muy buena / Oso ona;;Mejorable / Hobetzeko modukoa
03/01/2017;;0,35;0,38;Muy buena / Oso ona;;48;33;62;Buena / Ona;107;6;16;Muy buena / Oso ona;;40;Buena / Ona;25;Buena / Ona;6;Muy buena / Oso ona;;Buena / Ona
02/01/2017;0,83;0,26;0,38;Muy buena / Oso ona;0,53;17;26;41;Muy buena / Oso ona;52;18;28;Muy buena / Oso ona;2,26;23;Muy buena / Oso ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;2,65;Muy buena / Oso ona
01/01/2017;0,85;0,34;0,47;Muy buena / Oso ona;0,56;20;23;38;Muy buena / Oso ona;55;11;28;Muy buena / Oso ona;2,5;39;Buena / Ona;26;Buena / Ona;6;Muy buena / Oso ona;3,3;Buena / Ona
