Título,Categoría,Descripción,Número plazas,Latitud,Longitud
"Calle Albareda, 43",Taxis,Parada de Taxis de 8 plazas,8,28.144717,-15.430275
"Calle Faro 1,3,5,7",Taxis,Parada de Taxi de 7 vehículos,7,28.14853032247063,-15.43012771191593
"Calle Profesor Lozano,14",Taxis,Parada de Taxi de 7 vehículos,7,28.156192576081004,-15.417723836326559
"Calle Alfredo L.Jones 31,33,35",Taxis,Parada de Taxi de 6 vehículos,6,28.1421092155082,-15.432856859588583
"Calle Tomás Miller, 85",Taxis,Parada de Taxi de 4 vehículos,4,28.14165511160173,-15.433827819251974
"Calle José Franchy Roca, 18-20-22",Taxis,Parada de Taxi de 7 plazas,7,28.13885121385311,-15.432907821559866
"Calle José Franchy Roca, 18-20-22",Taxis,Parada de Taxi de 7 plazas,7,28.13885121385311,-15.432907821559866
"Calle del General Vives, 14",Taxis,Parada de Taxi de 7 plazas,7,28.135344760173602,-15.43104636850353
"Avenida José Mesa y López, 13",Taxis,Parada de Taxis de 24 plazas,24,28.1346233507481,-15.431478204154928
"Avenida José Mesa y López, 41",Taxis,Parada de taxis de 11 plazas,11,28.133303513719415,-15.43635043683048
"Avenida José Mesa y López, 59",Taxis,Parada de Taxi de 3 plazas,3,28.13198602577712,-15.437875272655447
"Calle Fernando Guanarteme, 3-5",Taxis,Parada de Taxi de 3 plazas,3,28.139280495237994,-15.432695927047689
"Portugal,68",Taxis,Parada de Taxi de 4 plazas,4,28.135895866396485,-15.438641043329199
"Calle República Dominicana, 8",Taxis,Parada de Taxi de 4 plazas,4,28.13331060966095,-15.438360752487142
Calle Industrial José Sánchez Peñate (frente a C.C. Las Arenas),Taxis,Parada de Taxi de 14 plazas,14,28.12882824637172,-15.44776725950237
"Calle León y Castillo, 270",Taxis,Parada de Taxi de 3 plazas,3,28.12499384383078,-15.428753079795797
Calle Doctor Juan Carlos Marino Fiol (Hotel Santa Catalina),Taxis,Parada de Taxis de 4 plazas,4,28.121114358058534,-15.427513899230917
"Calle Luis Doreste Silva, 46",Taxis,Parada de Taxi de 19 plazas,19,28.118315836955926,-15.423157991790731
"Calle Pintor Juan Guillermo, 8",Taxis,Parada de Taxi de 7 plazas,7,28.12620024066567,-15.438291015052755
"Calle Granadera Canaria ,1",Taxis,Parada de Taxi de 5 plazas,5,28.096394716435054,-15.412666531228979
"Calle Málaga, 3",Taxis,Parada de Taxi de 8 plazas,8,28.092688112726467,-15.414684893512685
"Avenida Eufemiano Jurado, 1 (Nuevos Juzgados)",Taxis,Parada de Taxi de 7 plazas,7,28.09502590258705,-15.413681747341116
"Calle Munguía,1",Taxis,Parada de Taxi de 8 plazas,8,28.106380495533518,-15.415360810184438
"Calle Malteses, 1",Taxis,Parada de Taxi de 5 plazas,5,28.103938393408672,-15.415482488612042
"Calle General Bravo, 1",Taxis,Parada de Taxi de 6 plazas,6,28.102673875418677,-15.416463366952598
"Calle General Bravo, 1",Taxis,Parada de Taxi de 6 plazas,6,28.102673875418677,-15.416463366952598
"Calle Miguel de Cervantes, 6 frente",Taxis,Parada de Taxi de 6 plazas,6,28.104314848084083,-15.414316803212955
"Avenida Rafael Cabrera, 7",Taxis,Parada de Taxi de 3 plazas,3,28.105871630223863,-15.414760246174183
Parque de San Telmo,Taxis,Parada de Taxi de 20 plazas,20,28.108928525595235,-15.416283536729225
"Calle Mendizábal, 6",Taxis,Parada de Taxi de 6 plazas,6,28.102484802427032,-15.413926389220478
"Carretera General del Norte, 155 (C.C.La Ballena)",Taxis,Parada de Taxi de 13 plazas,13,28.10029875682453,-15.442367972755392
"Calzada Lateral Norte, 1",Taxis,Parada de Taxi de 7 plazas,7,28.10378316025432,-15.43339929023125
"Calle de Villa de Zaraus, 1",Taxis,Parada de Taxi de 20 plazas,20,28.0843415935179,-15.417430161279071
Materno Infantil,Taxis,Parada de Taxi de 5 plazas,5,28.08077476831063,-15.417706401967962
Hospital Insular,Taxis,Parada de Taxi de 14 plazas,14,28.08289510665637,-15.416889669322927
Carrefour Hoya Plata,Taxis,Parada de Taxi de 10 plazas,10,28.071936563978532,-15.4180192146016
"Plaza Ramón García Padrón ""Ramoncito el fontanero""",Taxis,Parada de Taxi de 3 plazas,3,28.110324391551437,-15.430598439598043
"Calle Orinoco, 1",Taxis,Parada de Taxi de 3 plazas,3,28.09226031196493,-15.444320127491096
"Calle Blas Cabrera Felipe, 46 (Frente a Mercadona)",Taxis,Parada de Taxi de 4 plazas,4,28.07048958679118,-15.417840512418707
"Calle Luis Correa Medina, 5",Taxis,Parada de Taxi de 7 plazas,7,28.102864476873325,-15.43548269724863
"Carretera a Las Torres, 23",Taxis,Parada de Taxi de 3 plazas,3,28.112354033053037,-15.455191132514983
"Avenida Juan Carlos I, 48F (CC.Las Ramblas)",Taxis,Parada de Taxi de 7 plazas,7,28.114139899595035,-15.448977528248975
"Avenida Pintor Felo Monzón, 44 (CC 7 Palmas)",Taxis,Parada de Taxi de 9 plazas,9,28.097547319858325,-15.455237290102446
"Avenida Pintor Felo Monzón, 46 (Corte Inglés- Hipercor)",Taxis,Parada de Taxi de 7 plazas,7,28.095875907877875,-15.455917524666575
"Avenida Pintor Felo Monzón, 46 (Corte Inglés- Hipercor)",Taxis,Parada de Taxi de 7 plazas,7,28.095875907877875,-15.455917524666575
"Calle Fondos de Segura, 1",Taxis,Parada de Taxi de 4 plazas,4,28.106514906749933,-15.453492711354102
"Calle Hoya del Enamorado, 111 (Parque Juan Pablo II)",Taxis,Parada de Taxi de 2 plazas,2,28.1032272672238,-15.449658694085542
"Calle Aldea Blanca, 1 (Tanatorio San Miguel)",Taxis,Parada de Taxi de 5 plazas,5,28.112645236788232,-15.455859484100301
"Calle Alférez Provisional, 129",Taxis,Parada de Taxi de 4 plazas,4,28.11077979379136,-15.446828774650157
"Calle Alférez Provisional, 6",Taxis,Parada de Taxi de 3 plazas,3,28.099962249036192,-15.449050223025665
"Calle Diego Betancor Suárez, 19",Taxis,Parada de Taxi de 3 plazas,3,28.10939155442289,-15.445500540380976
Plaza Barranco de la Ballena,Taxis,Parada de Taxi de 3 plazas,3,28.113863994169577,-15.447011181574453
"Calle Severo Ochoa, 13",Taxis,Parada de Taxi de 3 plazas,3,28.093467003855977,-15.429281452494365
"Calle Severo Ochoa, 3",Taxis,Parada de Taxi de 4 plazas,4,28.095969155828218,-15.42622841311902
"Calle Miguel Ángel Asturias,2",Taxis,Parada de Taxi de 3 plazas,3,28.095390448329166,-15.428985278116897
"Calle Betania, 57 Frente",Taxis,Parada de Taxi de 5 plazas,5,28.101502609037116,-15.469221840535852
"Calle Lucía Cabrera Suárez, 3 (Lateral Intercambiador)",Taxis,Parada de Taxi de 4 plazas,4,28.098698286845515,-15.47902177100741
Carretera General a Tamaraceite. 179,Taxis,Parada de Taxi de 8 plazas,8,28.098291151369484,-15.475289406204183
"Calle San José Artesano, 24",Taxis,Parada de Taxi de 4 plazas,4,28.084950172507966,-15.44311565915632
"Calle Carretera de Almatriche, 71 Frente",Taxis,Parada de Taxi de 4 plazas,4,28.089349514538767,-15.459345367623769
Consultas Externas Dr. Negrín,Taxis,Parada de Taxi de 14 plazas,14,28.119303773597554,-15.444874377130645
Hospitalización Dr. Negrín,Taxis,Parada de Taxi de 14 plazas,14,28.120896627471062,-15.443449762772161
"Calle Doctor Francisco Pérez Pérez,",Taxis,Parada de Taxi de 9 plazas,9,28.11245997650614,-15.418543091938773
"Calle La Tornera, 1",Taxis,Parada de Taxi de 3 plazas,3,28.055849965869783,-15.46285010528129
"Calle Planas de Poesía, 10",Taxis,Parada de Taxi de 4 plazas,4,28.04140879429682,-15.427992127269135
"Calle Juan Ramón Jiménez, 39",Taxis,Parada de Taxi de 4 plazas,3,28.11607456524098,-15.434917566713011
